Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Троицкая городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335					
		2.83%	3.06%	3.04%	3.00%	2.06%	2.34%	1.48%	3.10%	2.44%	3.26%	2.37%	2.14%	2.82%	2.02%	2.94%	1.99%	2.08%	4.18%	6.84%	4.01%	3.05%	4.75%	4.11%	3.45%	2.66%	3.40%	3.67%	1.94%	3.49%	2.05%	2.42%	2.11%	2.53%	1.63%	3.67%	3.07%	1.97%	2.92%	3.24%					
20	. Миронов Сергей Михайлович	271	6	2	5	9	5	15	3	4	3	16	0	3	18	9	5	11	15	5	3	8	5	3	5	5	4	6	10	9	8	4	2	22	11	4	9	12	5	2					
		0.70%	0.51%	0.36%	0.72%	0.77%	0.31%	0.96%	0.30%	0.61%	0.44%	0.97%	0.00%	0.28%	0.93%	1.06%	0.91%	0.72%	1.05%	0.65%	0.38%	0.45%	0.54%	0.54%	0.62%	0.74%	0.43%	0.73%	0.67%	0.71%	0.82%	0.88%	0.42%	1.39%	0.72%	0.52%	0.60%	1.24%	0.91%	0.32%					
21	. Путин Владимир Владимирович	26369	795	344	491	813	1135	975	723	478	495	1162	142	723	1381	605	412	1076	865	516	521	1366	571	318	542	423	722	577	1116	795	704	322	328	1054	964	491	913	682	387	442					
		68.38%	67.54%	61.54%	70.24%	69.67%	69.89%	62.54%	72.37%	72.98%	73.33%	70.60%	75.94%	67.95%	71.48%	71.18%	74.64%	70.05%	60.32%	66.58%	65.29%	77.04%	61.60%	56.89%	66.75%	62.48%	76.73%	70.62%	74.65%	63.10%	72.13%	70.77%	69.05%	66.54%	62.84%	64.44%	61.03%	70.67%	70.62%	71.52%					
22	. Хакамада Ирина Муцуовна	831	26	7	34	30	18	41	20	10	18	48	1	27	36	19	13	29	33	15	17	20	18	14	6	13	16	13	19	17	15	8	11	32	48	22	62	26	13	16					
		2.15%	2.21%	1.25%	4.86%	2.57%	1.11%	2.63%	2.00%	1.53%	2.67%	2.92%	0.53%	2.54%	1.86%	2.24%	2.36%	1.89%	2.30%	1.94%	2.13%	1.13%	1.94%	2.50%	0.74%	1.92%	1.70%	1.59%	1.27%	1.35%	1.54%	1.76%	2.32%	2.02%	3.13%	2.89%	4.14%	2.69%	2.37%	2.59%					
23	. Харитонов Николай Михайлович	7095	193	115	81	202	296	351	154	104	85	254	21	203	306	142	85	240	348	134	161	250	231	160	174	149	106	134	220	320	179	80	100	321	335	144	355	177	84	101					
		18.40%	16.40%	20.57%	11.59%	17.31%	18.23%	22.51%	15.42%	15.88%	12.59%	15.43%	11.23%	19.08%	15.84%	16.71%	15.40%	15.62%	24.27%	17.29%	20.18%	14.10%	24.92%	28.62%	21.43%	22.01%	11.26%	16.40%	14.72%	25.40%	18.34%	17.58%	21.05%	20.27%	21.84%	18.90%	23.73%	18.34%	15.33%	16.34%					
																																													
24	Против всех	1293	45	39	26	48	49	60	28	15	22	65	5	48	84	24	13	63	50	21	33	25	29	15	20	25	26	26	52	35	34	9	11	54	70	21	59	8	15	21					
		3.35%	3.82%	6.98%	3.72%	4.11%	3.02%	3.85%	2.80%	2.29%	3.26%	3.95%	2.67%	4.51%	4.35%	2.82%	2.36%	4.10%	3.49%	2.71%	4.14%	1.41%	3.13%	2.68%	2.46%	3.69%	2.76%	3.18%	3.48%	2.78%	3.48%	1.98%	2.32%	3.41%	4.56%	2.76%	3.94%	0.83%	2.74%	3.40%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
