Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Бежецкая																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75					
11	Число полученных открепительных  удостоверений	435	0	15	15	15	15	20	15	15	20	20	20	20	15	30	30	15	5	5	5	5	5	20	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	208	0	3	1	14	3	14	3	11	12	10	11	8	3	27	21	4	3	5	3	3	5	15	3	1	2	2	0	0	1	2	2	5	0	0	1	2	3	2	0	1	1	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	126	35	7	2	2	5	5	1	2	5	3	4	0	4	8	4	0	3	3	0	0	1	0	2	2	1	5	0	1	0	4	0	0	3	2	1	0	1	1	2	2	0	0	1	4					
14	Число неиспользованных открепительных удостоверений	227	0	12	14	1	12	6	12	4	8	10	9	12	12	3	9	11	2	0	2	2	0	5	2	4	3	3	5	5	4	3	3	0	5	5	4	3	2	3	5	4	4	5	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	29	0	0	0	1	0	0	1	2	1	2	3	3	1	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	2	3	1	2	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	860	4	34	15	48	13	70	25	59	70	39	45	53	44	85	63	25	14	5	7	8	5	7	8	2	2	1	0	2	14	8	7	8	8	5	1	5	11	1	7	18	0	6	7	1					
		4.38%	2.76%	6.40%	3.28%	7.08%	2.74%	6.05%	4.04%	5.86%	6.42%	5.31%	4.23%	5.68%	6.82%	7.23%	5.39%	6.19%	3.72%	1.98%	1.97%	3.08%	1.60%	2.98%	1.92%	1.49%	0.77%	0.47%	0.00%	0.73%	4.93%	1.57%	2.14%	3.19%	3.45%	5.00%	0.47%	1.64%	3.33%	0.46%	2.23%	3.82%	0.00%	3.57%	3.35%	0.93%					
19	. Малышкин Олег Александрович	394	2	10	9	17	12	19	17	45	2	5	21	15	14	20	31	5	10	11	10	5	12	3	16	2	8	2	1	3	4	11	3	2	1	2	1	8	6	1	3	12	2	4	6	1					
		2.01%	1.38%	1.88%	1.97%	2.51%	2.53%	1.64%	2.75%	4.47%	0.18%	0.68%	1.97%	1.61%	2.17%	1.70%	2.65%	1.24%	2.66%	4.37%	2.81%	1.92%	3.85%	1.28%	3.84%	1.49%	3.07%	0.95%	1.18%	1.09%	1.41%	2.16%	0.92%	0.80%	0.43%	2.00%	0.47%	2.63%	1.82%	0.46%	0.96%	2.55%	1.32%	2.38%	2.87%	0.93%					
20	. Миронов Сергей Михайлович	220	3	5	2	8	1	10	7	20	28	8	19	11	2	18	16	2	1	2	3	4	5	1	1	4	3	1	0	1	1	9	2	2	0	2	1	2	3	0	2	3	1	2	2	2					
		1.12%	2.07%	0.94%	0.44%	1.18%	0.21%	0.86%	1.13%	1.99%	2.57%	1.09%	1.79%	1.18%	0.31%	1.53%	1.37%	0.50%	0.27%	0.79%	0.84%	1.54%	1.60%	0.43%	0.24%	2.99%	1.15%	0.47%	0.00%	0.36%	0.35%	1.76%	0.61%	0.80%	0.00%	2.00%	0.47%	0.66%	0.91%	0.00%	0.64%	0.64%	0.66%	1.19%	0.96%	1.85%					
21	. Путин Владимир Владимирович	13747	103	334	312	423	352	721	452	659	717	518	733	625	439	727	790	262	280	194	268	171	222	173	309	100	189	160	73	244	184	410	264	183	167	79	159	219	280	161	262	345	118	124	159	83					
		69.97%	71.03%	62.90%	68.27%	62.39%	74.26%	62.32%	73.02%	65.44%	65.78%	70.48%	68.89%	66.99%	68.06%	61.82%	67.64%	64.85%	74.47%	76.98%	75.28%	65.77%	71.15%	73.62%	74.10%	74.63%	72.41%	75.83%	85.88%	88.73%	64.79%	80.39%	80.73%	72.91%	71.98%	79.00%	74.30%	72.04%	84.85%	74.54%	83.44%	73.25%	77.63%	73.81%	76.08%	76.85%					
22	. Хакамада Ирина Муцуовна	305	2	4	5	11	12	25	4	41	14	9	29	9	10	19	20	9	2	1	6	1	2	4	3	1	6	0	0	3	7	10	3	5	2	3	1	1	7	1	1	5	1	2	3	1					
		1.55%	1.38%	0.75%	1.09%	1.62%	2.53%	2.16%	0.65%	4.07%	1.28%	1.22%	2.73%	0.96%	1.55%	1.62%	1.71%	2.23%	0.53%	0.40%	1.69%	0.38%	0.64%	1.70%	0.72%	0.75%	2.30%	0.00%	0.00%	1.09%	2.46%	1.96%	0.92%	1.99%	0.86%	3.00%	0.47%	0.33%	2.12%	0.46%	0.32%	1.06%	0.66%	1.19%	1.44%	0.93%					
23	. Харитонов Николай Михайлович	3506	21	133	105	138	69	273	96	112	214	123	181	199	119	257	203	84	62	37	52	66	53	44	73	20	48	42	10	21	67	51	40	43	53	4	47	63	19	51	32	79	24	29	29	20					
		17.84%	14.48%	25.05%	22.98%	20.35%	14.56%	23.60%	15.51%	11.12%	19.63%	16.73%	17.01%	21.33%	18.45%	21.85%	17.38%	20.79%	16.49%	14.68%	14.61%	25.38%	16.99%	18.72%	17.51%	14.93%	18.39%	19.91%	11.76%	7.64%	23.59%	10.00%	12.23%	17.13%	22.84%	4.00%	21.96%	20.72%	5.76%	23.61%	10.19%	16.77%	15.79%	17.26%	13.88%	18.52%					
																																																			
24	Против всех	543	9	9	7	30	12	34	16	67	41	30	36	19	10	44	44	17	6	2	9	4	12	2	7	5	4	5	1	1	7	5	6	7	0	5	4	6	1	1	4	8	2	1	3	0					
		2.76%	6.21%	1.69%	1.53%	4.42%	2.53%	2.94%	2.58%	6.65%	3.76%	4.08%	3.38%	2.04%	1.55%	3.74%	3.77%	4.21%	1.60%	0.79%	2.53%	1.54%	3.85%	0.85%	1.68%	3.73%	1.53%	2.37%	1.18%	0.36%	2.46%	0.98%	1.83%	2.79%	0.00%	5.00%	1.87%	1.97%	0.30%	0.46%	1.27%	1.70%	1.32%	0.60%	1.44%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
