Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Октябрьская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852					
18	. Глазьев Сергей Юрьевич	362	37	55	22	19	32	14	35	13	14	4	15	4	1	3	3	26	9	12	9	1	1	1	9	8	9	6					
		3.09%	4.87%	5.20%	3.35%	2.79%	3.27%	4.06%	4.59%	4.01%	1.47%	1.12%	1.70%	0.84%	0.25%	1.03%	2.56%	4.26%	6.29%	3.72%	2.89%	0.68%	0.84%	0.92%	2.33%	3.88%	6.00%	3.43%					
19	. Малышкин Олег Александрович	318	14	26	19	33	20	13	29	12	27	2	25	6	7	4	4	21	1	9	8	6	1	0	13	2	7	9					
		2.71%	1.84%	2.46%	2.90%	4.85%	2.04%	3.77%	3.80%	3.70%	2.83%	0.56%	2.83%	1.26%	1.73%	1.38%	3.42%	3.44%	0.70%	2.79%	2.57%	4.11%	0.84%	0.00%	3.36%	0.97%	4.67%	5.14%					
20	. Миронов Сергей Михайлович	109	5	9	11	9	5	3	7	2	13	5	6	4	3	1	0	5	1	1	3	0	3	0	7	2	1	3					
		0.93%	0.66%	0.85%	1.68%	1.32%	0.51%	0.87%	0.92%	0.62%	1.36%	1.40%	0.68%	0.84%	0.74%	0.34%	0.00%	0.82%	0.70%	0.31%	0.96%	0.00%	2.52%	0.00%	1.81%	0.97%	0.67%	1.71%					
21	. Путин Владимир Владимирович	8038	443	622	431	437	687	197	481	231	701	289	669	376	289	259	77	402	94	221	210	112	95	75	276	141	84	139					
		68.59%	58.37%	58.85%	65.70%	64.26%	70.25%	57.10%	63.04%	71.30%	73.56%	81.18%	75.85%	79.16%	71.36%	89.31%	65.81%	65.90%	65.73%	68.42%	67.52%	76.71%	79.83%	68.81%	71.32%	68.45%	56.00%	79.43%					
22	. Хакамада Ирина Муцуовна	176	47	22	7	5	5	6	15	6	9	3	8	10	3	2	4	5	1	8	3	1	2	0	2	0	1	1					
		1.50%	6.19%	2.08%	1.07%	0.74%	0.51%	1.74%	1.97%	1.85%	0.94%	0.84%	0.91%	2.11%	0.74%	0.69%	3.42%	0.82%	0.70%	2.48%	0.96%	0.68%	1.68%	0.00%	0.52%	0.00%	0.67%	0.57%					
23	. Харитонов Николай Михайлович	2278	169	267	134	138	191	95	150	46	164	44	137	62	96	20	21	134	34	57	72	23	15	29	72	50	42	16					
		19.44%	22.27%	25.26%	20.43%	20.29%	19.53%	27.54%	19.66%	14.20%	17.21%	12.36%	15.53%	13.05%	23.70%	6.90%	17.95%	21.97%	23.78%	17.65%	23.15%	15.75%	12.61%	26.61%	18.60%	24.27%	28.00%	9.14%					
																																	
24	Против всех	330	35	48	26	27	31	15	35	14	21	4	12	6	6	1	5	11	0	12	6	2	1	1	4	3	4	0					
		2.82%	4.61%	4.54%	3.96%	3.97%	3.17%	4.35%	4.59%	4.32%	2.20%	1.12%	1.36%	1.26%	1.48%	0.34%	4.27%	1.80%	0.00%	3.72%	1.93%	1.37%	0.84%	0.92%	1.03%	1.46%	2.67%	0.00%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
