Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Лодейнопольская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625					
		1.97%	2.69%	1.93%	2.93%	2.47%	3.08%	3.46%	1.40%	0.65%	1.55%	1.80%	1.71%	0.00%	0.77%	1.29%	1.09%	0.00%	0.00%	1.76%	2.72%	1.37%	0.00%	0.00%	3.16%	1.67%	2.04%	2.29%	2.33%	0.32%					
23	. Харитонов Николай Михайлович	1477	159	152	99	170	108	72	8	75	76	60	50	3	57	4	10	17	5	20	11	79	2	17	8	24	14	26	69	82					
		9.73%	13.79%	11.74%	9.68%	11.05%	9.25%	8.31%	2.81%	9.70%	8.43%	7.19%	10.68%	2.56%	10.92%	2.58%	3.65%	15.60%	5.21%	5.87%	5.98%	9.02%	1.94%	7.73%	8.42%	20.00%	14.29%	7.45%	11.50%	13.25%					
																																			
24	Против всех	266	16	25	23	42	26	12	2	9	14	33	13	0	6	1	2	1	1	4	4	10	1	4	0	1	2	5	2	7					
		1.75%	1.39%	1.93%	2.25%	2.73%	2.23%	1.39%	0.70%	1.16%	1.55%	3.96%	2.78%	0.00%	1.15%	0.65%	0.73%	0.92%	1.04%	1.17%	2.17%	1.14%	0.97%	1.82%	0.00%	0.83%	2.04%	1.43%	0.33%	1.13%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
