Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Обоянская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826					
11	Число полученных открепительных  удостоверений	275	5	10	5	5	5	21	15	10	8	12	11	0	5	8	5	5	5	5	5	5	5	5	5	7	5	5	5	5	5	5	5	5	5	5	5	18	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	152	5	5	0	0	2	14	13	9	8	10	7	0	5	6	5	0	3	1	2	1	1	3	1	6	1	2	3	3	0	1	1	5	3	1	3	18	1	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	101	2	2	2	0	4	13	7	6	3	6	3	1	2	1	2	2	4	5	3	0	0	1	4	3	0	1	1	1	3	0	0	4	3	1	2	2	2	3	1	1	0	0					
14	Число неиспользованных открепительных удостоверений	123	0	5	5	5	3	7	2	1	0	2	4	0	0	2	0	5	2	4	3	4	4	2	4	1	4	3	2	2	5	4	4	0	2	4	2	0	4	2	5	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	2	2	0	0	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	485	0	6	3	6	6	65	30	37	22	47	45	4	31	8	13	2	13	5	1	2	5	27	4	6	2	13	4	14	11	3	6	3	12	4	2	3	2	6	1	4	6	1					
		2.59%	0.00%	4.29%	1.46%	4.14%	2.94%	5.16%	3.29%	2.81%	2.78%	4.73%	3.11%	1.97%	4.95%	1.29%	4.22%	1.59%	2.83%	1.55%	0.34%	0.77%	2.48%	3.02%	1.37%	1.32%	0.62%	2.56%	1.17%	2.55%	2.68%	1.15%	3.49%	0.55%	2.54%	1.08%	0.92%	1.00%	0.88%	2.15%	0.85%	2.40%	1.69%	0.33%					
19	. Малышкин Олег Александрович	443	13	4	3	7	3	42	12	31	17	24	40	6	8	13	7	1	13	4	5	3	1	28	4	9	9	15	10	7	11	2	1	6	11	16	7	14	4	9	1	3	9	10					
		2.37%	4.15%	2.86%	1.46%	4.83%	1.47%	3.34%	1.32%	2.35%	2.15%	2.41%	2.76%	2.96%	1.28%	2.09%	2.27%	0.79%	2.83%	1.24%	1.69%	1.15%	0.50%	3.13%	1.37%	1.97%	2.79%	2.95%	2.92%	1.28%	2.68%	0.76%	0.58%	1.11%	2.33%	4.32%	3.23%	4.68%	1.77%	3.23%	0.85%	1.80%	2.54%	3.28%					
20	. Миронов Сергей Михайлович	171	2	1	2	4	0	9	10	7	10	10	30	2	4	8	0	0	4	9	2	1	0	7	0	2	2	5	4	2	4	7	5	0	2	1	1	4	1	3	1	2	1	2					
		0.91%	0.64%	0.71%	0.97%	2.76%	0.00%	0.71%	1.10%	0.53%	1.26%	1.01%	2.07%	0.99%	0.64%	1.29%	0.00%	0.00%	0.87%	2.80%	0.68%	0.38%	0.00%	0.78%	0.00%	0.44%	0.62%	0.98%	1.17%	0.36%	0.98%	2.67%	2.91%	0.00%	0.42%	0.27%	0.46%	1.34%	0.44%	1.08%	0.85%	1.20%	0.28%	0.66%					
21	. Путин Владимир Владимирович	12210	225	112	134	77	131	753	564	881	486	621	928	153	444	437	203	85	298	237	211	202	109	623	195	339	233	253	222	370	240	194	85	435	317	213	161	186	110	191	47	66	231	208					
		65.26%	71.88%	80.00%	65.05%	53.10%	64.22%	59.81%	61.91%	66.84%	61.36%	62.47%	64.09%	75.37%	70.93%	70.37%	65.91%	67.46%	64.92%	73.60%	71.53%	77.39%	53.96%	69.61%	66.78%	74.34%	72.14%	49.80%	64.91%	67.40%	58.54%	74.05%	49.42%	80.41%	67.02%	57.57%	74.19%	62.21%	48.67%	68.46%	39.83%	39.52%	65.25%	68.20%					
22	. Хакамада Ирина Муцуовна	322	9	2	0	5	2	29	15	31	21	21	27	3	14	9	4	2	5	3	1	6	4	16	3	5	9	8	4	7	5	2	3	10	8	12	2	6	0	2	1	3	1	2					
		1.72%	2.88%	1.43%	0.00%	3.45%	0.98%	2.30%	1.65%	2.35%	2.65%	2.11%	1.86%	1.48%	2.24%	1.45%	1.30%	1.59%	1.09%	0.93%	0.34%	2.30%	1.98%	1.79%	1.03%	1.10%	2.79%	1.57%	1.17%	1.28%	1.22%	0.76%	1.74%	1.85%	1.69%	3.24%	0.92%	2.01%	0.00%	0.72%	0.85%	1.80%	0.28%	0.66%					
23	. Харитонов Николай Михайлович	4429	55	8	54	40	51	300	236	281	197	227	316	31	104	129	73	34	108	55	65	40	77	163	81	88	60	205	87	131	119	46	68	76	113	113	38	77	101	58	63	86	97	78					
		23.67%	17.57%	5.71%	26.21%	27.59%	25.00%	23.83%	25.91%	21.32%	24.87%	22.84%	21.82%	15.27%	16.61%	20.77%	23.70%	26.98%	23.53%	17.08%	22.03%	15.33%	38.12%	18.21%	27.74%	19.30%	18.58%	40.35%	25.44%	23.86%	29.02%	17.56%	39.53%	14.05%	23.89%	30.54%	17.51%	25.75%	44.69%	20.79%	53.39%	51.50%	27.40%	25.57%					
																																																	
24	Против всех	434	8	3	0	0	4	52	37	42	31	37	39	4	15	11	3	2	12	3	4	6	5	19	4	6	3	5	7	10	10	3	2	8	5	6	5	5	4	7	2	1	4	0					
		2.32%	2.56%	2.14%	0.00%	0.00%	1.96%	4.13%	4.06%	3.19%	3.91%	3.72%	2.69%	1.97%	2.40%	1.77%	0.97%	1.59%	2.61%	0.93%	1.36%	2.30%	2.48%	2.12%	1.37%	1.32%	0.93%	0.98%	2.05%	1.82%	2.44%	1.15%	1.16%	1.48%	1.06%	1.62%	2.30%	1.67%	1.77%	2.51%	1.69%	0.60%	1.13%	0.00%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
