Выборы Президента Российской Федерации																																											
																																											
"Наименование Избирательной комиссии:    Киров, Первомайская"																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535					
		13.29%	16.36%	11.62%	14.42%	13.00%	18.18%	17.09%	12.98%	12.73%	14.76%	13.88%	13.25%	11.07%	8.81%	12.83%	7.19%	14.01%	13.34%	10.26%	9.26%	13.93%	19.64%	10.47%	9.47%	12.12%	15.43%	11.51%	19.42%	15.41%	16.03%	10.42%	14.33%	15.31%	13.46%	17.86%	1.67%	13.64%					
																																											
24	Против всех	1452	34	54	48	49	62	57	49	42	61	56	41	33	43	23	54	40	52	55	33	61	31	38	36	29	22	56	22	33	26	62	10	31	6	13	42	48					
		3.89%	3.01%	4.27%	3.72%	4.25%	3.91%	3.90%	3.93%	3.61%	4.19%	4.32%	5.22%	3.62%	5.33%	4.04%	3.88%	3.48%	4.06%	3.92%	4.78%	4.52%	3.50%	4.47%	3.59%	4.23%	2.85%	7.67%	2.35%	2.79%	2.38%	3.69%	2.81%	4.94%	1.02%	2.90%	6.39%	3.26%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
