Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Тетюшская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695					
11	Число полученных открепительных  удостоверений	499	30	20	20	20	20	20	20	20	20	50	5	5	5	5	10	10	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	4	5	5	5	10	5	5	5	5	10	10	5	10	5	5	5	5	5					
12	Число выданных открепительных удостоверений	187	23	14	9	20	5	7	2	5	17	25	3	1	0	0	3	6	5	5	5	0	2	0	3	0	2	2	0	0	0	2	0	5	1	2	0	1	1	0	0	0	1	0	0	1	0	0	3	0	5	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	1	2	1	3	2	0	0	1	2	4	2	1	3	1	1	7	1	1	2	1	3	1	2	0	0	0	1	1	3	0	1	3	1	1	2	2	0	0	1	4	3	5	0	4	0	2	1	1	0	1	2	1	0	2					
14	Число неиспользованных открепительных удостоверений	312	7	6	11	0	15	13	18	15	3	25	2	4	5	5	7	4	0	5	0	5	3	5	2	5	3	3	5	5	5	3	5	0	9	3	5	4	3	5	5	5	9	5	5	4	5	10	7	5	5	4	5	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	58	12	6	2	0	4	0	0	3	1	2	0	0	0	0	4	1	0	3	1	2	0	1	0	0	0	2	1	4	1	0	0	0	1	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0					
		0.31%	1.35%	1.02%	0.31%	0.00%	0.43%	0.00%	0.00%	0.44%	0.12%	0.16%	0.00%	0.00%	0.00%	0.00%	0.80%	0.25%	0.00%	1.46%	0.23%	1.30%	0.00%	0.38%	0.00%	0.00%	0.00%	0.75%	0.70%	1.51%	0.51%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.71%	0.91%	0.00%	0.00%	0.40%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	35	9	0	0	0	3	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	2	3	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0					
		0.19%	1.01%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.44%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.59%	0.00%	0.00%	0.00%	0.00%	1.89%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.56%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	173	9	4	3	6	5	42	2	4	22	2	0	1	0	0	6	23	1	3	2	2	4	1	8	1	0	0	1	3	0	0	0	0	7	0	0	0	0	0	0	1	0	7	0	0	1	0	0	0	2	0	0	0	0	0					
		0.93%	1.01%	0.68%	0.47%	0.68%	0.54%	5.13%	1.05%	0.59%	2.53%	0.16%	0.00%	0.27%	0.00%	0.00%	1.20%	5.65%	0.27%	1.46%	0.47%	1.30%	1.26%	0.38%	1.57%	0.53%	0.00%	0.00%	0.70%	1.13%	0.00%	0.00%	0.00%	0.00%	2.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	3.95%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	17759	805	549	614	834	904	752	187	652	811	1221	161	360	243	192	415	344	373	185	413	145	308	246	465	185	172	263	138	229	187	144	355	360	293	107	111	138	107	264	146	241	403	154	210	184	268	260	367	108	426	119	107	273	157	104					
		95.15%	90.76%	93.37%	95.94%	94.88%	97.20%	91.82%	97.91%	96.02%	93.43%	99.03%	98.17%	98.09%	99.18%	93.66%	83.17%	84.52%	99.20%	90.24%	96.95%	94.16%	96.86%	93.89%	91.54%	97.88%	98.85%	98.50%	97.18%	86.42%	94.44%	97.30%	98.89%	97.83%	93.61%	98.17%	98.23%	97.87%	97.27%	97.42%	100.00%	96.02%	98.53%	87.01%	95.02%	93.88%	99.26%	97.38%	99.73%	93.91%	96.60%	100.00%	97.27%	98.20%	90.75%	98.11%					
22	. Хакамада Ирина Муцуовна	60	17	2	0	5	2	2	0	2	1	2	0	0	2	0	4	0	1	5	0	1	0	0	2	1	0	0	0	2	1	0	0	0	3	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.32%	1.92%	0.34%	0.00%	0.57%	0.22%	0.24%	0.00%	0.29%	0.12%	0.16%	0.00%	0.00%	0.82%	0.00%	0.80%	0.00%	0.27%	2.44%	0.00%	0.65%	0.00%	0.00%	0.39%	0.53%	0.00%	0.00%	0.00%	0.75%	0.51%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.40%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	410	18	17	12	14	11	20	2	6	32	1	3	6	0	13	31	35	1	8	3	4	6	9	27	1	2	2	2	19	5	2	4	3	8	2	2	2	2	4	0	5	6	5	11	8	0	7	1	7	3	0	3	5	8	2					
		2.20%	2.03%	2.89%	1.88%	1.59%	1.18%	2.44%	1.05%	0.88%	3.69%	0.08%	1.83%	1.63%	0.00%	6.34%	6.21%	8.60%	0.27%	3.90%	0.70%	2.60%	1.89%	3.44%	5.31%	0.53%	1.15%	0.75%	1.41%	7.17%	2.53%	1.35%	1.11%	0.82%	2.56%	1.83%	1.77%	1.42%	1.82%	1.48%	0.00%	1.99%	1.47%	2.82%	4.98%	4.08%	0.00%	2.62%	0.27%	6.09%	0.68%	0.00%	2.73%	1.80%	4.62%	1.89%					
																																																													
24	Против всех	62	11	3	4	20	0	0	0	4	1	2	0	0	0	0	8	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.33%	1.24%	0.51%	0.62%	2.28%	0.00%	0.00%	0.00%	0.59%	0.12%	0.16%	0.00%	0.00%	0.00%	0.00%	1.60%	0.00%	0.00%	0.49%	0.23%	0.00%	0.00%	0.38%	0.20%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.68%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
