Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Крыловская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536					
11	Число полученных открепительных  удостоверений	497	42	13	20	27	18	35	4	12	13	17	30	34	15	34	23	6	5	5	6	6	4	5	19	5	6	5	25	5	5	6	6	4	18	8	5	6					
12	Число выданных открепительных удостоверений	124	9	5	2	11	7	12	0	3	5	11	6	6	4	4	3	0	0	0	0	0	0	1	8	0	1	0	6	0	1	1	1	0	15	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	3	1	0	12	3	10	2	2	1	2	2	0	0	3	1	0	2	0	0	0	1	0	3	0	2	0	6	0	0	1	0	0	2	1	1	1					
14	Число неиспользованных открепительных удостоверений	373	33	8	18	16	11	23	4	9	8	6	24	28	11	30	20	6	5	5	6	6	4	4	11	5	5	5	19	5	4	5	5	4	3	6	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	522	31	22	26	39	17	44	4	15	15	15	33	20	18	28	29	1	4	4	3	2	3	2	21	9	3	1	62	3	0	5	4	3	20	7	1	8					
		3.21%	3.08%	4.63%	3.47%	4.03%	2.66%	3.24%	2.84%	4.04%	3.17%	2.52%	3.60%	2.04%	3.44%	2.54%	3.88%	0.51%	3.23%	2.88%	1.29%	1.01%	2.86%	1.48%	3.25%	4.81%	1.41%	0.93%	5.35%	2.14%	0.00%	2.46%	3.77%	3.61%	2.75%	2.99%	1.16%	6.61%					
19	. Малышкин Олег Александрович	453	19	8	24	25	11	29	0	10	8	21	17	13	7	24	18	16	2	1	10	19	11	4	21	5	7	4	64	4	4	5	6	2	23	4	0	7					
		2.79%	1.88%	1.68%	3.20%	2.59%	1.72%	2.14%	0.00%	2.70%	1.69%	3.53%	1.85%	1.33%	1.34%	2.18%	2.41%	8.16%	1.61%	0.72%	4.31%	9.55%	10.48%	2.96%	3.25%	2.67%	3.29%	3.74%	5.52%	2.86%	5.63%	2.46%	5.66%	2.41%	3.16%	1.71%	0.00%	5.79%					
20	. Миронов Сергей Михайлович	137	15	4	9	14	3	6	2	5	7	4	2	4	1	17	8	1	1	0	2	3	1	0	1	1	4	1	8	0	3	0	1	2	3	3	0	1					
		0.84%	1.49%	0.84%	1.20%	1.45%	0.47%	0.44%	1.42%	1.35%	1.48%	0.67%	0.22%	0.41%	0.19%	1.54%	1.07%	0.51%	0.81%	0.00%	0.86%	1.51%	0.95%	0.00%	0.15%	0.53%	1.88%	0.93%	0.69%	0.00%	4.23%	0.00%	0.94%	2.41%	0.41%	1.28%	0.00%	0.83%					
21	. Путин Владимир Владимирович	9239	534	252	408	521	372	750	74	228	257	379	535	609	334	681	374	103	83	79	147	112	53	35	436	101	153	58	617	99	56	150	64	54	267	118	74	72					
		56.83%	52.98%	53.05%	54.47%	53.88%	58.22%	55.23%	52.48%	61.46%	54.33%	63.70%	58.34%	62.27%	63.86%	61.74%	50.07%	52.55%	66.94%	56.83%	63.36%	56.28%	50.48%	25.93%	67.49%	54.01%	71.83%	54.21%	53.24%	70.71%	78.87%	73.89%	60.38%	65.06%	36.68%	50.43%	86.05%	59.50%					
22	. Хакамада Ирина Муцуовна	332	27	13	11	31	15	32	4	10	14	13	15	10	19	10	8	3	5	2	7	1	1	3	5	3	2	3	25	1	1	6	5	2	19	2	2	2					
		2.04%	2.68%	2.74%	1.47%	3.21%	2.35%	2.36%	2.84%	2.70%	2.96%	2.18%	1.64%	1.02%	3.63%	0.91%	1.07%	1.53%	4.03%	1.44%	3.02%	0.50%	0.95%	2.22%	0.77%	1.60%	0.94%	2.80%	2.16%	0.71%	1.41%	2.96%	4.72%	2.41%	2.61%	0.85%	2.33%	1.65%					
23	. Харитонов Николай Михайлович	5084	347	167	238	300	206	464	54	94	164	149	286	303	131	310	281	68	29	47	59	59	34	89	145	55	34	28	353	30	6	31	21	16	371	87	7	21					
		31.27%	34.42%	35.16%	31.78%	31.02%	32.24%	34.17%	38.30%	25.34%	34.67%	25.04%	31.19%	30.98%	25.05%	28.11%	37.62%	34.69%	23.39%	33.81%	25.43%	29.65%	32.38%	65.93%	22.45%	29.41%	15.96%	26.17%	30.46%	21.43%	8.45%	15.27%	19.81%	19.28%	50.96%	37.18%	8.14%	17.36%					
																																											
24	Против всех	387	24	7	23	30	10	28	2	7	7	12	23	16	9	26	18	4	0	6	1	3	1	2	11	11	10	11	25	3	1	5	5	4	20	12	1	9					
		2.38%	2.38%	1.47%	3.07%	3.10%	1.56%	2.06%	1.42%	1.89%	1.48%	2.02%	2.51%	1.64%	1.72%	2.36%	2.41%	2.04%	0.00%	4.32%	0.43%	1.51%	0.95%	1.48%	1.70%	5.88%	4.69%	10.28%	2.16%	2.14%	1.41%	2.46%	4.72%	4.82%	2.75%	5.13%	1.16%	7.44%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
