Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Старомайнская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	255	35	32	28	10	2	2	0	3	0	8	0	3	3	5	4	2	2	6	6	8	9	7	7	5	11	19	2	8	28					
		2.42%	3.35%	2.98%	2.69%	1.39%	2.74%	3.57%	0.00%	1.00%	0.00%	2.51%	0.00%	1.30%	1.20%	1.56%	2.14%	0.60%	0.38%	2.84%	3.17%	2.29%	3.18%	2.77%	1.41%	1.92%	6.47%	2.79%	1.06%	3.28%	5.26%					
19	. Малышкин Олег Александрович	274	24	27	27	5	1	1	1	17	1	22	0	17	5	13	10	6	14	6	2	12	3	7	5	9	5	8	2	4	20					
		2.60%	2.30%	2.51%	2.59%	0.69%	1.37%	1.79%	2.00%	5.67%	1.37%	6.90%	0.00%	7.39%	2.01%	4.05%	5.35%	1.81%	2.65%	2.84%	1.06%	3.43%	1.06%	2.77%	1.01%	3.45%	2.94%	1.17%	1.06%	1.64%	3.76%					
20	. Миронов Сергей Михайлович	83	6	7	17	4	0	0	1	1	1	4	2	7	1	1	2	0	4	2	2	1	1	2	6	3	3	2	0	1	2					
		0.79%	0.57%	0.65%	1.63%	0.55%	0.00%	0.00%	2.00%	0.33%	1.37%	1.25%	2.20%	3.04%	0.40%	0.31%	1.07%	0.00%	0.76%	0.95%	1.06%	0.29%	0.35%	0.79%	1.21%	1.15%	1.76%	0.29%	0.00%	0.41%	0.38%					
21	. Путин Владимир Владимирович	7535	719	786	801	619	63	44	33	211	56	231	58	154	201	187	113	214	376	150	104	268	139	167	314	165	109	531	169	183	370					
		71.41%	68.87%	73.12%	76.87%	85.73%	86.30%	78.57%	66.00%	70.33%	76.71%	72.41%	63.74%	66.96%	80.72%	58.26%	60.43%	64.46%	71.08%	71.09%	55.03%	76.57%	49.12%	66.01%	63.43%	63.22%	64.12%	77.86%	89.42%	75.00%	69.55%					
22	. Хакамада Ирина Муцуовна	106	20	9	6	6	0	0	0	6	1	3	0	0	2	8	3	7	2	1	2	3	3	5	4	2	0	3	0	7	3					
		1.00%	1.92%	0.84%	0.58%	0.83%	0.00%	0.00%	0.00%	2.00%	1.37%	0.94%	0.00%	0.00%	0.80%	2.49%	1.60%	2.11%	0.38%	0.47%	1.06%	0.86%	1.06%	1.98%	0.81%	0.77%	0.00%	0.44%	0.00%	2.87%	0.56%					
23	. Харитонов Николай Михайлович	2000	210	164	137	65	5	9	12	49	13	35	30	48	31	98	49	98	122	39	70	49	118	61	148	67	38	99	16	32	88					
		18.95%	20.11%	15.26%	13.15%	9.00%	6.85%	16.07%	24.00%	16.33%	17.81%	10.97%	32.97%	20.87%	12.45%	30.53%	26.20%	29.52%	23.06%	18.48%	37.04%	14.00%	41.70%	24.11%	29.90%	25.67%	22.35%	14.52%	8.47%	13.11%	16.54%					
																																				
24	Против всех	188	24	36	20	3	1	0	2	6	1	13	1	1	3	7	5	2	5	4	0	7	5	3	1	5	2	15	0	6	10					
		1.78%	2.30%	3.35%	1.92%	0.42%	1.37%	0.00%	4.00%	2.00%	1.37%	4.08%	1.10%	0.43%	1.20%	2.18%	2.67%	0.60%	0.95%	1.90%	0.00%	2.00%	1.77%	1.19%	0.20%	1.92%	1.18%	2.20%	0.00%	2.46%	1.88%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
