Выборы Президента Российской Федерации																																											
																																											
"Наименование Избирательной комиссии:    Уфа, Ленинская"																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196					
18	. Глазьев Сергей Юрьевич	1098	42	43	34	32	37	36	20	32	19	25	52	10	46	25	14	33	57	63	11	16	27	6	32	18	39	16	10	18	45	34	58	41	49	53	1	4					
		3.37%	3.89%	5.42%	4.98%	4.48%	4.27%	2.98%	2.60%	4.51%	2.60%	4.59%	5.11%	2.61%	4.93%	4.77%	2.36%	4.95%	5.00%	4.87%	2.24%	1.85%	3.58%	1.09%	3.85%	2.11%	3.21%	1.63%	0.59%	3.40%	3.39%	3.51%	4.20%	3.23%	3.49%	3.79%	0.76%	0.31%					
19	. Малышкин Олег Александрович	335	1	4	3	8	9	9	10	9	14	3	9	7	13	10	8	8	20	11	4	10	5	8	11	6	17	3	3	6	7	13	15	12	23	29	0	7					
		1.03%	0.09%	0.50%	0.44%	1.12%	1.04%	0.74%	1.30%	1.27%	1.92%	0.55%	0.88%	1.83%	1.39%	1.91%	1.35%	1.20%	1.75%	0.85%	0.81%	1.15%	0.66%	1.46%	1.32%	0.70%	1.40%	0.31%	0.18%	1.13%	0.53%	1.34%	1.09%	0.94%	1.64%	2.07%	0.00%	0.55%					
20	. Миронов Сергей Михайлович	235	2	5	2	4	8	13	7	13	11	0	6	1	6	3	0	8	7	9	3	3	3	2	6	3	11	5	5	5	11	7	22	8	9	17	1	9					
		0.72%	0.19%	0.63%	0.29%	0.56%	0.92%	1.08%	0.91%	1.83%	1.51%	0.00%	0.59%	0.26%	0.64%	0.57%	0.00%	1.20%	0.61%	0.70%	0.61%	0.35%	0.40%	0.36%	0.72%	0.35%	0.91%	0.51%	0.29%	0.95%	0.83%	0.72%	1.59%	0.63%	0.64%	1.22%	0.76%	0.71%					
21	. Путин Владимир Владимирович	25609	912	559	468	544	613	968	606	497	559	417	711	313	673	371	466	507	840	933	411	706	598	462	642	686	962	889	1622	377	1085	761	1007	987	1070	1060	100	1227					
		78.61%	84.37%	70.40%	68.52%	76.08%	70.79%	80.07%	78.70%	70.10%	76.58%	76.51%	69.84%	81.72%	72.13%	70.80%	78.45%	76.01%	73.62%	72.16%	83.71%	81.52%	79.21%	84.15%	77.16%	80.23%	79.24%	90.71%	95.64%	71.27%	81.64%	78.53%	72.87%	77.66%	76.21%	75.82%	76.34%	96.61%					
22	. Хакамада Ирина Муцуовна	1339	45	60	64	50	67	51	41	55	38	55	61	7	42	23	34	27	52	69	13	18	26	16	15	17	29	9	9	35	51	22	70	34	50	71	6	7					
		4.11%	4.16%	7.56%	9.37%	6.99%	7.74%	4.22%	5.32%	7.76%	5.21%	10.09%	5.99%	1.83%	4.50%	4.39%	5.72%	4.05%	4.56%	5.34%	2.65%	2.08%	3.44%	2.91%	1.80%	1.99%	2.39%	0.92%	0.53%	6.62%	3.84%	2.27%	5.07%	2.68%	3.56%	5.08%	4.58%	0.55%					
23	. Харитонов Николай Михайлович	3029	52	93	82	53	98	115	56	75	64	27	139	33	125	73	54	63	135	159	38	96	76	42	109	85	119	46	44	67	101	99	152	159	150	125	20	5					
		9.30%	4.81%	11.71%	12.01%	7.41%	11.32%	9.51%	7.27%	10.58%	8.77%	4.95%	13.65%	8.62%	13.40%	13.93%	9.09%	9.45%	11.83%	12.30%	7.74%	11.09%	10.07%	7.65%	13.10%	9.94%	9.80%	4.69%	2.59%	12.67%	7.60%	10.22%	11.00%	12.51%	10.68%	8.94%	15.27%	0.39%					
																																											
24	Против всех	690	24	23	29	24	30	12	26	21	20	15	30	7	24	14	16	13	26	38	11	8	11	8	12	18	19	6	1	14	24	25	44	17	38	31	2	9					
		2.12%	2.22%	2.90%	4.25%	3.36%	3.46%	0.99%	3.38%	2.96%	2.74%	2.75%	2.95%	1.83%	2.57%	2.67%	2.69%	1.95%	2.28%	2.94%	2.24%	0.92%	1.46%	1.46%	1.44%	2.11%	1.57%	0.61%	0.06%	2.65%	1.81%	2.58%	3.18%	1.34%	2.71%	2.22%	1.53%	0.71%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
