Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Новочеркасская городская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №2487	УИК №2488					
11	Число полученных открепительных  удостоверений	2425	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	30	45	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	90	0					
12	Число выданных открепительных удостоверений	1204	36	19	16	14	20	1	27	19	29	36	8	14	31	11	26	24	20	11	36	11	14	18	24	7	11	28	14	27	15	19	20	21	26	6	6	3	30	29	19	8	9	14	7	18	8	11	17	15	21	16	14	11	21	7	16	6	3	14	22	29	27	15	21	5	17	86	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1326	16	25	7	19	9	4	21	11	33	20	14	25	26	20	29	76	17	23	38	131	12	14	24	19	8	16	38	54	17	29	21	44	23	11	5	3	2	10	8	7	16	5	17	12	18	24	15	7	12	4	24	6	13	12	14	9	21	29	10	12	41	17	13	17	14	15	0					
14	Число неиспользованных открепительных удостоверений	1221	4	21	24	26	20	39	13	21	11	4	32	26	9	29	14	16	20	29	4	29	26	22	16	33	29	12	26	13	25	21	20	19	14	34	34	37	0	16	11	22	21	16	23	12	22	19	13	15	9	14	16	19	9	23	14	24	27	16	8	1	13	15	9	25	13	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																										
18	. Глазьев Сергей Юрьевич	4995	140	142	85	111	69	5	132	150	138	78	65	61	81	58	95	110	93	82	60	68	75	78	99	60	39	59	61	111	78	24	95	68	65	41	16	10	76	93	89	72	74	72	62	58	85	84	71	82	79	116	65	65	75	72	105	24	30	32	57	91	72	72	102	98	77	39	4					
		5.74%	7.58%	9.12%	7.22%	8.84%	7.08%	1.68%	8.78%	9.07%	9.10%	8.24%	6.52%	6.08%	5.11%	6.32%	4.63%	6.57%	6.66%	8.27%	5.30%	5.87%	4.26%	6.63%	7.14%	4.49%	5.64%	4.36%	4.94%	7.13%	6.79%	3.94%	5.80%	6.01%	4.56%	4.91%	2.68%	3.40%	4.32%	5.37%	5.53%	4.41%	5.89%	6.44%	5.50%	4.51%	7.13%	6.43%	5.47%	5.32%	5.53%	7.26%	6.05%	6.45%	5.34%	5.35%	6.96%	2.76%	6.05%	4.05%	4.40%	4.96%	4.47%	4.30%	4.99%	5.19%	4.41%	2.42%	0.37%					
19	. Малышкин Олег Александрович	2081	31	32	20	28	32	2	21	38	29	21	28	23	38	19	77	36	37	29	27	29	41	25	40	50	14	41	31	34	29	9	47	28	43	13	17	12	41	46	36	59	27	21	22	16	40	26	19	36	24	36	18	18	32	31	39	17	12	22	34	37	47	41	60	50	54	24	25					
		2.39%	1.68%	2.06%	1.70%	2.23%	3.28%	0.67%	1.40%	2.30%	1.91%	2.22%	2.81%	2.29%	2.40%	2.07%	3.75%	2.15%	2.65%	2.92%	2.39%	2.50%	2.33%	2.13%	2.89%	3.75%	2.02%	3.03%	2.51%	2.19%	2.52%	1.48%	2.87%	2.47%	3.02%	1.56%	2.85%	4.08%	2.33%	2.66%	2.24%	3.62%	2.15%	1.88%	1.95%	1.24%	3.36%	1.99%	1.46%	2.34%	1.68%	2.25%	1.67%	1.79%	2.28%	2.30%	2.59%	1.96%	2.42%	2.78%	2.63%	2.02%	2.92%	2.45%	2.93%	2.65%	3.09%	1.49%	2.29%					
20	. Миронов Сергей Михайлович	555	16	11	9	6	5	4	8	12	5	7	3	1	8	4	10	14	11	6	10	12	12	10	9	12	4	10	2	8	5	8	10	5	8	3	6	1	18	11	10	12	5	5	3	4	7	2	6	10	9	10	1	7	12	10	7	4	5	6	9	19	19	14	15	16	10	10	4					
		0.64%	0.87%	0.71%	0.76%	0.48%	0.51%	1.35%	0.53%	0.73%	0.33%	0.74%	0.30%	0.10%	0.50%	0.44%	0.49%	0.84%	0.79%	0.60%	0.88%	1.04%	0.68%	0.85%	0.65%	0.90%	0.58%	0.74%	0.16%	0.51%	0.44%	1.31%	0.61%	0.44%	0.56%	0.36%	1.01%	0.34%	1.02%	0.64%	0.62%	0.74%	0.40%	0.45%	0.27%	0.31%	0.59%	0.15%	0.46%	0.65%	0.63%	0.63%	0.09%	0.69%	0.85%	0.74%	0.46%	0.46%	1.01%	0.76%	0.70%	1.04%	1.18%	0.84%	0.73%	0.85%	0.57%	0.62%	0.37%					
21	. Путин Владимир Владимирович	56998	1172	947	673	786	605	234	897	994	901	611	649	672	1089	595	1442	1051	885	654	762	791	1305	790	934	962	506	960	863	1026	704	435	1058	805	990	534	397	213	1142	1140	1058	1103	767	671	696	837	749	774	841	976	900	1020	641	615	887	845	968	642	322	513	827	1147	1052	1066	1304	1188	1098	1309	1008					
		65.52%	63.42%	60.82%	57.18%	62.58%	62.05%	78.79%	59.64%	60.13%	59.43%	64.52%	65.10%	66.93%	68.71%	64.89%	70.24%	62.75%	63.35%	65.93%	67.31%	68.31%	74.11%	67.18%	67.39%	72.06%	73.12%	70.95%	69.94%	65.94%	61.27%	71.43%	64.55%	71.11%	69.52%	63.95%	66.50%	72.45%	64.96%	65.86%	65.76%	67.63%	61.07%	60.02%	61.76%	65.03%	62.84%	59.22%	64.74%	63.34%	62.98%	63.83%	59.63%	61.01%	63.18%	62.83%	64.19%	73.88%	64.92%	64.94%	63.91%	62.51%	65.26%	63.64%	63.73%	62.86%	62.89%	81.35%	92.22%					
22	. Хакамада Ирина Муцуовна	2859	99	62	46	32	36	8	70	82	72	49	30	32	66	50	72	88	87	39	39	32	46	33	38	27	22	34	23	73	59	34	69	42	44	46	14	4	29	41	32	36	26	31	37	43	39	32	36	38	38	55	25	25	55	54	39	15	6	19	43	52	45	36	78	43	47	52	13					
		3.29%	5.36%	3.98%	3.91%	2.55%	3.69%	2.69%	4.65%	4.96%	4.75%	5.17%	3.01%	3.19%	4.16%	5.45%	3.51%	5.25%	6.23%	3.93%	3.45%	2.76%	2.61%	2.81%	2.74%	2.02%	3.18%	2.51%	1.86%	4.69%	5.13%	5.58%	4.21%	3.71%	3.09%	5.51%	2.35%	1.36%	1.65%	2.37%	1.99%	2.21%	2.07%	2.77%	3.28%	3.34%	3.27%	2.45%	2.77%	2.47%	2.66%	3.44%	2.33%	2.48%	3.92%	4.01%	2.59%	1.73%	1.21%	2.41%	3.32%	2.83%	2.79%	2.15%	3.81%	2.28%	2.69%	3.23%	1.19%					
23	. Харитонов Николай Михайлович	15344	269	283	292	236	176	37	305	306	292	130	178	168	249	154	212	279	216	136	168	166	191	193	215	173	84	199	188	224	216	47	295	125	212	159	132	43	377	328	307	279	301	277	258	279	222	344	260	314	308	289	277	225	268	270	287	126	110	167	256	388	283	365	377	376	383	95	0					
		17.64%	14.56%	18.18%	24.81%	18.79%	18.05%	12.46%	20.28%	18.51%	19.26%	13.73%	17.85%	16.73%	15.71%	16.79%	10.33%	16.66%	15.46%	13.71%	14.84%	14.34%	10.85%	16.41%	15.51%	12.96%	12.14%	14.71%	15.24%	14.40%	18.80%	7.72%	18.00%	11.04%	14.89%	19.04%	22.11%	14.63%	21.44%	18.95%	19.08%	17.11%	23.96%	24.78%	22.89%	21.68%	18.62%	26.32%	20.02%	20.38%	21.55%	18.09%	25.77%	22.32%	19.09%	20.07%	19.03%	14.50%	22.18%	21.14%	19.78%	21.14%	17.56%	21.79%	18.43%	19.89%	21.94%	5.90%	0.00%					
																																																																										
24	Против всех	3700	115	70	49	51	43	4	64	67	75	50	38	43	46	35	136	91	60	40	55	52	79	40	47	42	19	40	56	74	54	52	59	49	55	39	8	8	75	64	70	62	53	37	47	43	46	40	51	70	69	66	41	47	69	53	57	32	10	23	68	94	66	72	98	106	63	69	34					
		4.25%	6.22%	4.50%	4.16%	4.06%	4.41%	1.35%	4.26%	4.05%	4.95%	5.28%	3.81%	4.28%	2.90%	3.82%	6.62%	5.43%	4.29%	4.03%	4.86%	4.49%	4.49%	3.40%	3.39%	3.15%	2.75%	2.96%	4.54%	4.76%	4.70%	8.54%	3.60%	4.33%	3.86%	4.67%	1.34%	2.72%	4.27%	3.70%	4.35%	3.80%	4.22%	3.31%	4.17%	3.34%	3.86%	3.06%	3.93%	4.54%	4.83%	4.13%	3.81%	4.66%	4.91%	3.94%	3.78%	3.68%	2.02%	2.91%	5.26%	5.12%	4.09%	4.30%	4.79%	5.61%	3.61%	4.29%	3.11%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
