Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Белинская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276					
11	Число полученных открепительных  удостоверений	393	45	36	15	10	8	6	3	7	12	13	10	8	8	2	5	14	6	0	6	5	1	10	3	3	6	10	25	10	5	3	15	13	10	5	10	5	5	3	10	3	3	6	5	5					
12	Число выданных открепительных удостоверений	234	45	27	11	5	8	0	1	5	12	13	5	7	2	0	0	14	0	0	2	4	1	6	0	1	0	6	15	3	1	0	15	13	7	0	2	0	0	0	2	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	0	10	2	5	1	1	0	1	0	2	0	1	0	3	0	1	1	3	2	1	1	4	0	0	2	1	2	2	1	0	2	2	2	3	3	5	0	0	3	0	0	2	0	1					
14	Число неиспользованных открепительных удостоверений	159	0	9	4	5	0	6	2	2	0	0	5	1	6	2	5	0	6	0	4	1	0	4	3	2	6	4	10	7	4	3	0	0	3	5	8	5	5	3	8	3	3	6	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	383	47	49	48	6	2	0	3	3	6	9	23	12	5	5	1	5	0	7	8	3	7	25	0	0	6	8	30	2	3	0	19	3	10	2	11	2	0	0	5	0	0	6	2	0					
		2.07%	3.68%	3.95%	3.75%	1.32%	0.56%	0.00%	4.11%	0.55%	0.90%	2.81%	3.33%	3.29%	1.68%	0.98%	0.75%	1.32%	0.00%	3.24%	2.71%	1.81%	0.94%	3.26%	0.00%	0.00%	2.41%	1.03%	2.27%	0.43%	1.54%	0.00%	1.83%	0.69%	2.02%	1.85%	2.04%	1.03%	0.00%	0.00%	1.20%	0.00%	0.00%	2.09%	1.74%	0.00%					
19	. Малышкин Олег Александрович	376	19	33	24	11	14	4	2	7	21	13	9	10	10	4	2	7	4	7	4	1	2	19	2	0	5	8	27	17	5	5	12	11	6	4	13	6	0	0	10	2	0	13	2	1					
		2.03%	1.49%	2.66%	1.87%	2.42%	3.93%	2.26%	2.74%	1.28%	3.14%	4.06%	1.30%	2.74%	3.36%	0.78%	1.50%	1.84%	1.86%	3.24%	1.36%	0.60%	0.27%	2.48%	4.08%	0.00%	2.01%	1.03%	2.04%	3.69%	2.56%	5.95%	1.15%	2.52%	1.21%	3.70%	2.42%	3.08%	0.00%	0.00%	2.40%	2.17%	0.00%	4.53%	1.74%	0.88%					
20	. Миронов Сергей Михайлович	95	8	5	6	2	4	1	0	3	2	4	1	0	2	2	0	4	2	0	3	0	4	2	0	0	1	2	9	2	2	0	12	4	3	0	4	0	0	0	0	0	0	0	1	0					
		0.51%	0.63%	0.40%	0.47%	0.44%	1.12%	0.56%	0.00%	0.55%	0.30%	1.25%	0.14%	0.00%	0.67%	0.39%	0.00%	1.05%	0.93%	0.00%	1.02%	0.00%	0.54%	0.26%	0.00%	0.00%	0.40%	0.26%	0.68%	0.43%	1.03%	0.00%	1.15%	0.92%	0.60%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%					
21	. Путин Владимир Владимирович	13575	910	859	925	321	278	131	56	414	486	227	547	274	210	388	114	273	165	113	232	138	454	559	44	67	170	636	903	381	144	68	738	341	360	64	443	153	102	64	306	64	69	192	91	101					
		73.42%	71.21%	69.16%	72.21%	70.55%	78.09%	74.01%	76.71%	75.96%	72.65%	70.94%	79.16%	75.07%	70.47%	75.93%	85.71%	71.84%	76.74%	52.31%	78.64%	83.13%	61.27%	72.88%	89.80%	82.72%	68.27%	81.85%	68.36%	82.65%	73.85%	80.95%	70.96%	78.03%	72.58%	59.26%	82.34%	78.46%	93.58%	96.97%	73.56%	69.57%	80.23%	66.90%	79.13%	89.38%					
22	. Хакамада Ирина Муцуовна	241	32	25	19	8	1	0	2	3	13	4	4	4	11	6	2	1	1	2	0	0	8	6	0	0	1	4	19	7	3	1	16	3	8	1	2	4	0	0	6	1	2	7	2	2					
		1.30%	2.50%	2.01%	1.48%	1.76%	0.28%	0.00%	2.74%	0.55%	1.94%	1.25%	0.58%	1.10%	3.69%	1.17%	1.50%	0.26%	0.47%	0.93%	0.00%	0.00%	1.08%	0.78%	0.00%	0.00%	0.40%	0.51%	1.44%	1.52%	1.54%	1.19%	1.54%	0.69%	1.61%	0.93%	0.37%	2.05%	0.00%	0.00%	1.44%	1.09%	2.33%	2.44%	1.74%	1.77%					
23	. Харитонов Николай Михайлович	3378	203	231	218	100	53	40	9	107	127	54	103	49	54	102	14	86	42	81	48	21	238	145	3	13	56	112	302	45	32	10	188	70	95	34	47	30	6	2	82	24	15	62	16	9					
		18.27%	15.88%	18.60%	17.02%	21.98%	14.89%	22.60%	12.33%	19.63%	18.98%	16.88%	14.91%	13.42%	18.12%	19.96%	10.53%	22.63%	19.53%	37.50%	16.27%	12.65%	32.12%	18.90%	6.12%	16.05%	22.49%	14.41%	22.86%	9.76%	16.41%	11.90%	18.08%	16.02%	19.15%	31.48%	8.74%	15.38%	5.50%	3.03%	19.71%	26.09%	17.44%	21.60%	13.91%	7.96%					
																																																			
24	Против всех	300	45	36	32	5	3	0	1	7	4	3	2	5	3	4	0	4	1	3	0	1	5	6	0	1	6	3	20	6	6	0	47	2	9	2	14	0	1	0	7	0	0	5	1	0					
		1.62%	3.52%	2.90%	2.50%	1.10%	0.84%	0.00%	1.37%	1.28%	0.60%	0.94%	0.29%	1.37%	1.01%	0.78%	0.00%	1.05%	0.47%	1.39%	0.00%	0.60%	0.67%	0.78%	0.00%	1.23%	2.41%	0.39%	1.51%	1.30%	3.08%	0.00%	4.52%	0.46%	1.81%	1.85%	2.60%	0.00%	0.92%	0.00%	1.68%	0.00%	0.00%	1.74%	0.87%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
