Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Дзержинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110					
11	Число полученных открепительных  удостоверений	700	38	4	34	6	4	4	3	5	4	8	6	3	9	2	39	15	4	4	7	9	29	36	33	30	32	19	34	16	28	34	29	29	29	34	19	15	9	8	8	4	13	4					
12	Число выданных открепительных удостоверений	150	21	0	11	2	0	2	0	0	1	2	1	0	1	0	11	2	0	1	1	2	0	7	8	2	13	1	4	1	5	7	1	3	5	4	7	2	6	1	1	0	12	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	144	4	2	3	2	4	2	4	2	5	2	1	0	2	3	5	8	0	1	6	0	1	6	10	9	5	4	3	5	8	7	6	4	0	2	2	4	1	2	1	1	2	5					
14	Число неиспользованных открепительных удостоверений	550	17	4	23	4	4	2	3	5	3	6	5	3	8	2	28	13	4	3	6	7	29	29	25	28	19	18	30	15	23	27	28	26	24	30	12	13	3	7	7	4	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	49	1	1	0	2	2	0	0	3	0	0	0	0	1	0	1	2	0	2	1	0	1	1	0	2	1	1	1	3	2	1	0	4	0	2	5	1	3	3	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	908	55	7	29	5	4	8	8	3	5	13	8	4	12	0	50	23	3	5	11	14	5	32	42	34	54	32	45	10	32	29	45	53	50	58	45	24	18	14	3	8	4	4					
		3.68%	3.53%	4.14%	2.12%	2.33%	2.63%	4.02%	10.67%	1.81%	2.99%	3.75%	3.74%	5.56%	3.67%	0.00%	3.48%	4.12%	2.48%	2.60%	3.63%	4.33%	3.94%	2.62%	3.77%	3.24%	4.61%	4.98%	4.39%	2.31%	3.23%	2.73%	3.59%	5.08%	4.51%	5.61%	4.12%	4.12%	3.35%	3.25%	1.97%	2.64%	3.05%	3.42%					
19	. Малышкин Олег Александрович	512	44	2	19	1	1	2	1	1	2	5	10	0	5	0	32	16	1	2	4	4	4	30	27	25	21	15	27	15	17	18	24	23	20	28	22	16	11	5	3	4	1	4					
		2.08%	2.83%	1.18%	1.39%	0.47%	0.66%	1.01%	1.33%	0.60%	1.20%	1.44%	4.67%	0.00%	1.53%	0.00%	2.23%	2.87%	0.83%	1.04%	1.32%	1.24%	3.15%	2.46%	2.43%	2.39%	1.79%	2.33%	2.63%	3.47%	1.72%	1.69%	1.91%	2.20%	1.81%	2.71%	2.02%	2.75%	2.04%	1.16%	1.97%	1.32%	0.76%	3.42%					
20	. Миронов Сергей Михайлович	122	10	0	15	0	3	0	0	0	0	1	2	1	0	1	11	1	0	1	1	0	1	6	5	9	4	3	5	2	5	5	9	6	1	6	4	2	2	0	0	0	0	0					
		0.50%	0.64%	0.00%	1.10%	0.00%	1.97%	0.00%	0.00%	0.00%	0.00%	0.29%	0.93%	1.39%	0.00%	1.59%	0.77%	0.18%	0.00%	0.52%	0.33%	0.00%	0.79%	0.49%	0.45%	0.86%	0.34%	0.47%	0.49%	0.46%	0.51%	0.47%	0.72%	0.57%	0.09%	0.58%	0.37%	0.34%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	17775	1016	127	1004	182	123	167	55	128	130	286	145	65	259	52	972	399	81	156	230	238	94	950	781	752	798	450	718	300	749	755	901	721	828	701	788	387	360	363	132	244	109	79					
		72.14%	65.25%	75.15%	73.45%	84.65%	80.92%	83.92%	73.33%	77.11%	77.84%	82.42%	67.76%	90.28%	79.20%	82.54%	67.69%	71.51%	66.94%	81.25%	75.91%	73.68%	74.02%	77.81%	70.17%	71.76%	68.15%	69.98%	70.05%	69.44%	75.66%	71.03%	71.79%	69.06%	74.73%	67.86%	72.23%	66.49%	66.91%	84.22%	86.84%	80.53%	83.21%	67.52%					
22	. Хакамада Ирина Муцуовна	709	37	4	29	3	1	6	0	2	3	1	11	1	5	1	51	15	2	1	7	7	2	13	36	39	32	23	40	13	29	29	37	40	44	57	40	10	24	4	3	3	1	3					
		2.88%	2.38%	2.37%	2.12%	1.40%	0.66%	3.02%	0.00%	1.20%	1.80%	0.29%	5.14%	1.39%	1.53%	1.59%	3.55%	2.69%	1.65%	0.52%	2.31%	2.17%	1.57%	1.06%	3.23%	3.72%	2.73%	3.58%	3.90%	3.01%	2.93%	2.73%	2.95%	3.83%	3.97%	5.52%	3.67%	1.72%	4.46%	0.93%	1.97%	0.99%	0.76%	2.56%					
23	. Харитонов Николай Михайлович	3504	310	23	209	21	13	14	10	24	20	36	27	1	39	9	237	87	29	25	43	47	19	131	179	130	196	97	138	76	123	204	178	154	93	125	124	112	86	35	9	32	16	23					
		14.22%	19.91%	13.61%	15.29%	9.77%	8.55%	7.04%	13.33%	14.46%	11.98%	10.37%	12.62%	1.39%	11.93%	14.29%	16.50%	15.59%	23.97%	13.02%	14.19%	14.55%	14.96%	10.73%	16.08%	12.40%	16.74%	15.09%	13.46%	17.59%	12.42%	19.19%	14.18%	14.75%	8.39%	12.10%	11.37%	19.24%	15.99%	8.12%	5.92%	10.56%	12.21%	19.66%					
																																																	
24	Против всех	906	70	4	51	2	6	2	1	4	5	3	9	0	7	0	59	10	4	1	6	8	2	47	40	52	58	18	45	12	31	16	51	34	61	50	56	24	32	10	2	10	0	3					
		3.68%	4.50%	2.37%	3.73%	0.93%	3.95%	1.01%	1.33%	2.41%	2.99%	0.86%	4.21%	0.00%	2.14%	0.00%	4.11%	1.79%	3.31%	0.52%	1.98%	2.48%	1.57%	3.85%	3.59%	4.96%	4.95%	2.80%	4.39%	2.78%	3.13%	1.51%	4.06%	3.26%	5.51%	4.84%	5.13%	4.12%	5.95%	2.32%	1.32%	3.30%	0.00%	2.56%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
