Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Мокшанская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477					
		3.18%	1.44%	3.40%	4.59%	2.07%	2.81%	2.50%	2.67%	3.49%	2.37%	3.61%	3.36%	4.03%	0.97%	4.71%	2.86%	0.57%	2.60%	2.70%	0.63%	0.00%	6.01%	1.09%	6.25%	2.78%	3.44%	3.24%	2.17%	2.34%	1.15%	4.32%	2.74%	1.25%	4.07%	3.60%	1.47%	4.16%	4.44%	4.45%	3.81%					
20	. Миронов Сергей Михайлович	141	4	3	3	7	1	1	2	0	10	3	2	2	1	4	1	2	5	3	3	1	0	0	2	1	4	5	3	0	0	3	5	5	9	4	3	8	13	6	12					
		0.88%	1.44%	0.64%	0.81%	1.81%	0.40%	1.25%	1.07%	0.00%	0.76%	1.20%	0.48%	1.34%	0.32%	0.99%	0.57%	0.57%	0.54%	1.16%	0.94%	1.10%	0.00%	0.00%	0.57%	0.69%	0.81%	0.74%	0.59%	0.00%	0.00%	1.00%	2.28%	3.12%	1.08%	0.68%	0.49%	0.92%	1.65%	0.67%	1.27%					
21	. Путин Владимир Владимирович	9793	170	327	258	193	160	58	93	65	840	190	217	102	232	202	94	245	540	181	274	67	110	70	231	105	232	453	295	153	66	165	133	108	495	341	384	492	383	518	551					
		61.11%	61.15%	69.57%	69.73%	49.87%	64.26%	72.50%	49.73%	75.58%	64.22%	76.31%	52.04%	68.46%	75.08%	50.12%	53.71%	69.41%	58.44%	69.88%	85.89%	73.63%	60.11%	76.09%	65.62%	72.92%	46.96%	66.62%	58.30%	71.50%	75.86%	54.82%	60.73%	67.50%	59.28%	58.39%	62.64%	56.81%	48.54%	57.62%	58.37%					
22	. Хакамада Ирина Муцуовна	321	1	8	7	4	3	0	3	1	39	5	11	0	2	11	4	3	22	8	2	1	0	1	4	3	14	12	4	4	2	5	0	1	12	15	14	28	21	24	22					
		2.00%	0.36%	1.70%	1.89%	1.03%	1.20%	0.00%	1.60%	1.16%	2.98%	2.01%	2.64%	0.00%	0.65%	2.73%	2.29%	0.85%	2.38%	3.09%	0.63%	1.10%	0.00%	1.09%	1.14%	2.08%	2.83%	1.76%	0.79%	1.87%	2.30%	1.66%	0.00%	0.62%	1.44%	2.57%	2.28%	3.23%	2.66%	2.67%	2.33%					
23	. Харитонов Николай Михайлович	4066	86	87	65	155	65	12	68	13	323	31	144	25	59	147	59	90	246	45	22	17	46	16	70	24	189	160	165	42	16	94	56	27	211	151	152	223	198	234	233					
		25.37%	30.94%	18.51%	17.57%	40.05%	26.10%	15.00%	36.36%	15.12%	24.69%	12.45%	34.53%	16.78%	19.09%	36.48%	33.71%	25.50%	26.62%	17.37%	6.90%	18.68%	25.14%	17.39%	19.89%	16.67%	38.26%	23.53%	32.61%	19.63%	18.39%	31.23%	25.57%	16.88%	25.27%	25.86%	24.80%	25.75%	25.10%	26.03%	24.68%					
																																														
24	Против всех	456	4	13	7	10	8	5	5	1	14	1	9	5	4	3	7	3	16	8	4	1	4	2	2	0	11	8	4	5	1	7	5	6	43	15	17	30	105	29	34					
		2.85%	1.44%	2.77%	1.89%	2.58%	3.21%	6.25%	2.67%	1.16%	1.07%	0.40%	2.16%	3.36%	1.29%	0.74%	4.00%	0.85%	1.73%	3.09%	1.25%	1.10%	2.19%	2.17%	0.57%	0.00%	2.23%	1.18%	0.79%	2.34%	1.15%	2.33%	2.28%	3.75%	5.15%	2.57%	2.77%	3.46%	13.31%	3.23%	3.60%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
