Выборы Президента Российской Федерации																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Новомосковская																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	941	14	11	11	6	11	12	5	5	11	11	13	11	14	15	16	6	13	3	5	13	124	22	17	12	7	12	9	14	8	7	4	13	9	5	8	8	18	13	1	16	9	19	12	5	7	6	11	9	9	2	81	81	4	53	9	3	3	4	3	2	9	8	0	2	1	5	3	2	4	5	3	5	7	6	1	4	1	5	4	1					
14	Число неиспользованных открепительных удостоверений	234	4	8	0	0	1	1	2	3	5	1	0	7	4	4	0	4	3	1	4	0	0	0	3	0	5	3	3	2	3	5	0	6	8	0	5	1	6	5	10	6	3	6	8	3	0	4	4	9	5	5	2	0	1	0	0	2	3	2	0	5	4	0	5	3	0	0	0	2	0	5	3	5	5	4	5	0	4	4	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	77	0	1	1	2	1	1	0	1	0	2	1	1	0	1	2	0	2	1	1	2	0	0	2	2	4	1	1	0	0	1	3	0	1	1	0	1	1	2	1	0	0	6	4	3	3	1	0	1	1	0	0	0	2	0	3	1	0	4	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																							
18	. Глазьев Сергей Юрьевич	3471	21	18	69	66	55	74	60	41	57	71	63	45	89	66	104	92	76	56	65	85	8	1	71	68	84	68	67	39	71	49	48	48	71	40	60	37	62	69	157	87	53	78	74	74	76	43	39	61	73	3	33	3	14	3	46	47	38	29	20	4	5	5	9	9	2	35	21	3	3	1	6	26	6	5	1	1	12	19	7	6					
		4.88%	2.38%	4.49%	5.42%	4.69%	5.20%	6.18%	6.38%	4.88%	5.21%	6.27%	4.79%	6.02%	6.18%	4.32%	6.49%	6.28%	5.40%	5.15%	5.80%	6.08%	6.45%	4.00%	4.94%	5.35%	7.40%	6.19%	5.78%	4.26%	5.60%	4.22%	4.09%	5.47%	5.04%	3.69%	5.10%	2.88%	4.96%	5.89%	10.84%	7.39%	4.69%	5.17%	5.54%	6.53%	5.67%	4.22%	3.69%	4.18%	5.03%	2.36%	2.90%	3.70%	3.04%	0.88%	3.83%	3.92%	2.96%	3.40%	2.85%	1.79%	2.30%	1.47%	3.45%	2.98%	1.17%	4.08%	2.22%	1.71%	1.45%	1.79%	2.97%	3.43%	2.01%	4.10%	0.61%	0.55%	2.05%	3.39%	2.40%	1.64%					
19	. Малышкин Олег Александрович	1278	20	5	29	18	23	11	17	14	14	15	24	8	17	21	24	14	24	19	25	26	1	0	33	9	18	16	22	15	22	28	21	26	36	33	21	26	23	15	26	16	19	28	18	24	22	26	34	23	27	3	12	2	12	14	26	21	24	12	15	8	1	4	2	9	6	27	16	4	6	0	5	8	3	2	5	4	8	9	5	9					
		1.80%	2.27%	1.25%	2.28%	1.28%	2.18%	0.92%	1.81%	1.66%	1.28%	1.33%	1.82%	1.07%	1.18%	1.37%	1.50%	0.96%	1.71%	1.75%	2.23%	1.86%	0.81%	0.00%	2.29%	0.71%	1.59%	1.46%	1.90%	1.64%	1.74%	2.41%	1.79%	2.96%	2.55%	3.04%	1.78%	2.02%	1.84%	1.28%	1.79%	1.36%	1.68%	1.85%	1.35%	2.12%	1.64%	2.55%	3.21%	1.58%	1.86%	2.36%	1.05%	2.47%	2.60%	4.09%	2.16%	1.75%	1.87%	1.41%	2.14%	3.57%	0.46%	1.18%	0.77%	2.98%	3.51%	3.15%	1.69%	2.29%	2.90%	0.00%	2.48%	1.06%	1.00%	1.64%	3.03%	2.21%	1.37%	1.60%	1.71%	2.47%					
20	. Миронов Сергей Михайлович	372	3	2	5	6	7	2	5	5	4	11	5	5	4	10	4	11	8	7	6	4	0	0	9	10	9	5	8	5	8	10	8	7	6	10	6	5	12	2	7	4	5	4	6	3	3	4	5	6	8	0	4	0	3	0	11	4	8	8	3	1	1	4	2	1	1	3	3	1	1	0	1	5	0	2	1	1	5	5	3	1					
		0.52%	0.34%	0.50%	0.39%	0.43%	0.66%	0.17%	0.53%	0.59%	0.37%	0.97%	0.38%	0.67%	0.28%	0.65%	0.25%	0.75%	0.57%	0.64%	0.54%	0.29%	0.00%	0.00%	0.63%	0.79%	0.79%	0.46%	0.69%	0.55%	0.63%	0.86%	0.68%	0.80%	0.43%	0.92%	0.51%	0.39%	0.96%	0.17%	0.48%	0.34%	0.44%	0.26%	0.45%	0.26%	0.22%	0.39%	0.47%	0.41%	0.55%	0.00%	0.35%	0.00%	0.65%	0.00%	0.92%	0.33%	0.62%	0.94%	0.43%	0.45%	0.46%	1.18%	0.77%	0.33%	0.58%	0.35%	0.32%	0.57%	0.48%	0.00%	0.50%	0.66%	0.00%	1.64%	0.61%	0.55%	0.85%	0.89%	1.03%	0.27%					
21	. Путин Владимир Владимирович	48743	599	274	826	921	708	795	584	544	722	737	873	510	924	1072	1063	969	967	760	736	976	75	21	980	864	756	701	764	620	872	774	842	590	976	749	789	990	895	841	880	789	786	1074	984	757	940	739	746	973	962	102	876	48	345	227	789	796	850	544	453	180	178	282	205	223	140	585	697	128	150	37	158	527	208	76	133	128	441	417	237	294					
		68.56%	67.99%	68.33%	64.89%	65.41%	66.98%	66.42%	62.13%	64.68%	65.94%	65.11%	66.34%	68.18%	64.17%	70.11%	66.35%	66.14%	68.73%	69.92%	65.71%	69.76%	60.48%	84.00%	68.15%	68.03%	66.61%	63.84%	65.86%	67.69%	68.77%	66.72%	71.66%	67.20%	69.22%	69.10%	67.03%	76.98%	71.66%	71.82%	60.73%	66.98%	69.62%	71.13%	73.65%	66.75%	70.15%	72.52%	70.51%	66.69%	66.30%	80.31%	76.98%	59.26%	74.84%	66.37%	65.70%	66.44%	66.25%	63.77%	64.53%	80.36%	82.03%	83.19%	78.54%	73.84%	81.87%	68.18%	73.68%	73.14%	72.46%	66.07%	78.22%	69.53%	69.57%	62.30%	80.61%	70.72%	75.26%	74.33%	81.16%	80.55%					
22	. Хакамада Ирина Муцуовна	2411	25	10	61	72	43	67	30	38	37	41	62	40	76	63	77	58	61	39	50	36	4	2	56	71	45	28	34	28	45	40	54	29	57	30	36	37	42	38	38	49	39	50	40	34	45	37	36	50	42	0	34	2	9	15	17	18	34	16	18	1	4	8	4	9	2	14	33	0	0	3	1	7	1	1	1	6	4	13	8	6					
		3.39%	2.84%	2.49%	4.79%	5.11%	4.07%	5.60%	3.19%	4.52%	3.38%	3.62%	4.71%	5.35%	5.28%	4.12%	4.81%	3.96%	4.34%	3.59%	4.46%	2.57%	3.23%	8.00%	3.89%	5.59%	3.96%	2.55%	2.93%	3.06%	3.55%	3.45%	4.60%	3.30%	4.04%	2.77%	3.06%	2.88%	3.36%	3.25%	2.62%	4.16%	3.45%	3.31%	2.99%	3.00%	3.36%	3.63%	3.40%	3.43%	2.89%	0.00%	2.99%	2.47%	1.95%	4.39%	1.42%	1.50%	2.65%	1.88%	2.56%	0.45%	1.84%	2.36%	1.53%	2.98%	1.17%	1.63%	3.49%	0.00%	0.00%	5.36%	0.50%	0.92%	0.33%	0.82%	0.61%	3.31%	0.68%	2.32%	2.74%	1.64%					
23	. Харитонов Николай Михайлович	11267	177	77	222	264	170	183	206	160	199	207	217	98	263	229	234	244	171	162	187	202	28	1	199	165	174	230	211	162	204	192	147	130	182	184	208	134	155	146	260	186	171	184	142	187	170	128	140	271	257	18	132	19	61	5	262	256	244	204	160	22	26	30	28	48	13	128	134	36	42	12	29	145	73	28	14	37	95	79	24	43					
		15.85%	20.09%	19.20%	17.44%	18.75%	16.08%	15.29%	21.91%	19.02%	18.17%	18.29%	16.49%	13.10%	18.26%	14.98%	14.61%	16.66%	12.15%	14.90%	16.70%	14.44%	22.58%	4.00%	13.84%	12.99%	15.33%	20.95%	18.19%	17.69%	16.09%	16.55%	12.51%	14.81%	12.91%	16.97%	17.67%	10.42%	12.41%	12.47%	17.94%	15.79%	15.15%	12.19%	10.63%	16.49%	12.69%	12.56%	13.23%	18.57%	17.71%	14.17%	11.60%	23.46%	13.23%	1.46%	21.82%	21.37%	19.02%	23.92%	22.79%	9.82%	11.98%	8.85%	10.73%	15.89%	7.60%	14.92%	14.16%	20.57%	20.29%	21.43%	14.36%	19.13%	24.41%	22.95%	8.48%	20.44%	16.21%	14.08%	8.22%	11.78%					
																																																																																							
24	Против всех	3070	31	14	56	53	47	57	37	34	48	43	67	37	59	63	87	70	86	36	50	62	7	0	82	76	46	41	41	36	37	52	50	42	68	37	44	50	57	50	72	39	51	81	56	47	73	34	49	54	66	1	43	7	16	67	43	42	77	40	27	8	1	6	7	3	7	57	39	1	4	2	2	31	6	8	6	4	15	12	7	6					
		4.32%	3.52%	3.49%	4.40%	3.76%	4.45%	4.76%	3.94%	4.04%	4.38%	3.80%	5.09%	4.95%	4.10%	4.12%	5.43%	4.78%	6.11%	3.31%	4.46%	4.43%	5.65%	0.00%	5.70%	5.98%	4.05%	3.73%	3.53%	3.93%	2.92%	4.48%	4.26%	4.78%	4.82%	3.41%	3.74%	3.89%	4.56%	4.27%	4.97%	3.31%	4.52%	5.36%	4.19%	4.14%	5.45%	3.34%	4.63%	3.70%	4.55%	0.79%	3.78%	8.64%	3.47%	19.59%	3.58%	3.51%	6.00%	4.69%	3.85%	3.57%	0.46%	1.77%	2.68%	0.99%	4.09%	6.64%	4.12%	0.57%	1.93%	3.57%	0.99%	4.09%	2.01%	6.56%	3.64%	2.21%	2.56%	2.14%	2.40%	1.64%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
