Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Лесная городская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127					
		3.88%	3.65%	3.87%	3.99%	4.70%	3.91%	4.45%	3.83%	4.75%	4.26%	4.88%	5.59%	4.91%	3.54%	3.87%	4.24%	3.69%	3.08%	3.37%	3.34%	2.68%	1.85%	3.80%	0.74%	1.99%					
23	. Харитонов Николай Михайлович	1573	64	84	56	49	46	79	81	83	72	144	85	84	73	44	76	80	53	66	74	36	18	79	15	32					
		4.84%	5.31%	5.24%	4.22%	4.19%	2.20%	6.63%	5.64%	4.99%	6.96%	7.81%	5.00%	7.23%	6.81%	3.79%	5.03%	5.56%	3.98%	3.84%	4.26%	4.59%	1.33%	4.01%	3.68%	5.79%					
																															
24	Против всех	784	25	33	42	16	66	37	42	39	16	43	36	26	22	28	42	41	42	43	49	13	21	48	5	9					
		2.41%	2.07%	2.06%	3.16%	1.37%	3.15%	3.11%	2.92%	2.35%	1.55%	2.33%	2.12%	2.24%	2.05%	2.41%	2.78%	2.85%	3.16%	2.50%	2.82%	1.66%	1.55%	2.43%	1.23%	1.63%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
