Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Пластовская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297					
		0.62%	0.51%	0.66%	0.72%	0.54%	0.55%	2.03%	1.01%	0.19%	0.50%	0.28%	0.59%	0.53%	0.68%	0.56%	0.00%	0.33%	0.27%	0.00%	1.14%	0.00%	0.76%	0.00%	0.65%	1.11%	1.63%	0.49%	0.00%					
21	. Путин Владимир Владимирович	8641	649	974	872	875	615	288	302	355	384	485	234	115	264	242	108	182	224	37	55	66	78	142	394	311	113	201	76					
		65.30%	66.09%	64.59%	69.76%	67.26%	67.96%	65.01%	61.26%	67.11%	63.89%	68.02%	68.82%	60.53%	59.59%	67.22%	85.71%	60.26%	59.89%	56.92%	62.50%	50.38%	59.54%	86.59%	63.96%	68.81%	61.41%	49.63%	55.47%					
22	. Хакамада Ирина Муцуовна	224	19	30	27	33	15	4	5	14	11	12	4	4	3	3	2	2	3	0	6	4	4	3	4	4	1	5	2					
		1.69%	1.93%	1.99%	2.16%	2.54%	1.66%	0.90%	1.01%	2.65%	1.83%	1.68%	1.18%	2.11%	0.68%	0.83%	1.59%	0.66%	0.80%	0.00%	6.82%	3.05%	3.05%	1.83%	0.65%	0.88%	0.54%	1.23%	1.46%					
23	. Харитонов Николай Михайлович	2658	222	297	202	210	150	79	120	81	132	122	65	46	66	68	12	81	91	12	15	49	39	11	151	78	50	169	40					
		20.09%	22.61%	19.69%	16.16%	16.14%	16.57%	17.83%	24.34%	15.31%	21.96%	17.11%	19.12%	24.21%	14.90%	18.89%	9.52%	26.82%	24.33%	18.46%	17.05%	37.40%	29.77%	6.71%	24.51%	17.26%	27.17%	41.73%	29.20%					
																																		
24	Против всех	551	37	79	62	79	53	22	17	23	26	36	5	6	9	15	1	5	22	5	5	5	1	0	18	9	3	5	3					
		4.16%	3.77%	5.24%	4.96%	6.07%	5.86%	4.97%	3.45%	4.35%	4.33%	5.05%	1.47%	3.16%	2.03%	4.17%	0.79%	1.66%	5.88%	7.69%	5.68%	3.82%	0.76%	0.00%	2.92%	1.99%	1.63%	1.23%	2.19%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
