Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Тамбов, Советская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
20	. Миронов Сергей Михайлович	317	6	14	9	18	5	3	9	3	13	4	14	10	5	2	10	7	3	6	17	9	11	8	12	6	6	6	15	11	11	11	9	6	11	10	5	5	7					
		0.66%	0.39%	0.89%	0.51%	1.06%	0.33%	0.37%	0.82%	0.31%	1.06%	0.51%	1.33%	0.81%	0.60%	0.30%	1.10%	0.93%	0.36%	0.61%	0.91%	0.48%	0.68%	0.57%	0.85%	0.49%	0.43%	0.45%	0.78%	0.77%	1.38%	0.91%	0.54%	0.42%	0.68%	0.62%	0.36%	0.39%	0.73%					
21	. Путин Владимир Владимирович	29380	925	988	1305	1082	905	507	668	589	734	478	645	768	522	463	577	428	522	609	1220	1201	962	847	931	777	806	757	1138	825	476	751	919	891	966	987	860	768	583					
		61.52%	60.06%	62.61%	73.73%	63.83%	59.93%	62.06%	60.67%	60.10%	59.58%	61.13%	61.31%	62.44%	62.82%	68.39%	63.41%	56.76%	62.29%	61.70%	65.35%	64.64%	59.20%	60.63%	65.80%	63.02%	57.99%	57.09%	59.15%	57.49%	59.65%	62.07%	54.87%	62.26%	59.63%	61.08%	61.38%	59.26%	61.05%					
22	. Хакамада Ирина Муцуовна	1531	82	53	46	56	52	23	32	41	32	22	41	70	32	10	13	22	37	28	55	42	30	33	39	35	44	45	86	59	29	39	56	48	41	59	47	34	18					
		3.21%	5.32%	3.36%	2.60%	3.30%	3.44%	2.82%	2.91%	4.18%	2.60%	2.81%	3.90%	5.69%	3.85%	1.48%	1.43%	2.92%	4.42%	2.84%	2.95%	2.26%	1.85%	2.36%	2.76%	2.84%	3.17%	3.39%	4.47%	4.11%	3.63%	3.22%	3.34%	3.35%	2.53%	3.65%	3.35%	2.62%	1.88%					
23	. Харитонов Николай Михайлович	10706	312	309	209	288	361	178	239	241	316	197	243	252	186	139	217	204	200	252	359	344	395	325	257	293	350	358	393	362	179	275	481	316	389	388	309	358	232					
		22.42%	20.26%	19.58%	11.81%	16.99%	23.91%	21.79%	21.71%	24.59%	25.65%	25.19%	23.10%	20.49%	22.38%	20.53%	23.85%	27.06%	23.87%	25.53%	19.23%	18.51%	24.31%	23.26%	18.16%	23.76%	25.18%	27.00%	20.43%	25.23%	22.43%	22.73%	28.72%	22.08%	24.01%	24.01%	22.06%	27.62%	24.29%					
																																												
24	Против всех	2486	107	78	103	116	69	50	76	42	49	28	42	57	34	28	32	31	39	48	133	121	84	70	72	48	87	72	138	67	42	50	81	68	82	59	68	55	60					
		5.21%	6.95%	4.94%	5.82%	6.84%	4.57%	6.12%	6.90%	4.29%	3.98%	3.58%	3.99%	4.63%	4.09%	4.14%	3.52%	4.11%	4.65%	4.86%	7.12%	6.51%	5.17%	5.01%	5.09%	3.89%	6.26%	5.43%	7.17%	4.67%	5.26%	4.13%	4.84%	4.75%	5.06%	3.65%	4.85%	4.24%	6.28%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
