Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Благоварская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	13	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0					
		0.07%	0.47%	0.13%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	4	0	0	0					
		0.06%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.38%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	26	0	2	3	0	0	0	0	0	0	0	5	0	0	0	5	1	0	1	0	0	0	0	1	0	0	0	1	3	2	2	0	0	0					
		0.15%	0.00%	0.25%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.58%	0.14%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.10%	0.32%	0.18%	0.16%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	17345	1052	773	1397	169	120	355	140	253	449	433	890	200	470	194	845	702	157	654	309	331	899	187	258	177	518	189	954	926	1068	1224	389	256	407					
		98.58%	98.13%	98.47%	99.01%	99.41%	99.17%	98.89%	99.29%	99.22%	98.68%	99.31%	98.67%	100.00%	98.12%	99.49%	98.37%	98.46%	100.00%	98.05%	99.04%	98.51%	96.67%	98.94%	98.10%	98.33%	99.04%	99.47%	98.66%	98.09%	98.43%	98.79%	98.23%	100.00%	100.00%					
22	. Хакамада Ирина Муцуовна	16	3	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	2	3	0	0	0					
		0.09%	0.28%	0.13%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.18%	0.24%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	146	12	7	5	1	0	3	1	2	6	3	4	0	7	0	9	7	0	6	3	3	19	2	3	1	4	1	10	10	6	5	6	0	0					
		0.83%	1.12%	0.89%	0.35%	0.59%	0.00%	0.84%	0.71%	0.78%	1.32%	0.69%	0.44%	0.00%	1.46%	0.00%	1.05%	0.98%	0.00%	0.90%	0.96%	0.89%	2.04%	1.06%	1.14%	0.56%	0.76%	0.53%	1.03%	1.06%	0.55%	0.40%	1.52%	0.00%	0.00%					
																																								
24	Против всех	16	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	6	1	1	0	0					
		0.09%	0.00%	0.00%	0.00%	0.00%	0.83%	0.28%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.08%	0.25%	0.00%	0.00%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
