Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Тосненская																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974					
		78.04%	78.91%	75.90%	74.04%	77.02%	77.19%	79.50%	72.69%	77.10%	76.37%	76.73%	75.72%	76.34%	77.10%	75.09%	77.55%	78.41%	76.74%	77.04%	79.36%	72.32%	76.21%	75.80%	81.26%	80.55%	75.62%	67.02%	72.46%	75.17%	74.96%	84.35%	78.78%	81.07%	77.11%	78.35%	76.52%	79.07%	71.91%	78.40%	80.70%	71.66%	83.18%	83.52%	83.29%	84.42%	81.65%	80.50%	85.69%	79.61%	82.72%	79.05%	83.33%	79.47%	78.69%	83.23%	89.41%	77.96%	86.36%	84.47%	88.73%	80.70%	80.47%	82.81%					
22	. Хакамада Ирина Муцуовна	1545	29	46	52	4	40	2	51	30	64	61	60	58	62	69	8	17	9	21	57	45	33	28	41	21	35	9	35	15	20	6	3	8	9	12	28	30	29	15	31	10	21	0	14	8	23	5	6	34	28	52	4	4	17	6	1	49	0	1	2	6	38	23					
		3.01%	2.32%	3.00%	3.62%	1.29%	3.05%	0.50%	5.42%	4.07%	3.82%	3.84%	3.53%	4.33%	3.72%	5.05%	1.66%	3.14%	2.62%	3.98%	3.72%	3.55%	3.91%	2.63%	2.94%	3.03%	4.38%	2.37%	3.87%	2.59%	3.50%	1.08%	0.87%	1.07%	1.94%	2.15%	4.35%	3.97%	3.77%	3.00%	2.47%	1.63%	2.47%	0.00%	1.95%	1.81%	1.92%	2.50%	0.95%	3.50%	2.23%	3.73%	1.59%	0.88%	1.92%	1.26%	0.59%	2.69%	0.00%	0.97%	1.41%	1.90%	2.56%	2.67%					
23	. Харитонов Николай Михайлович	5191	116	198	180	44	153	48	110	87	163	166	168	130	154	125	60	47	50	60	100	180	76	126	94	59	76	91	83	69	67	39	59	86	67	57	56	68	101	52	117	95	79	16	46	35	93	21	44	68	113	134	26	46	83	40	11	221	15	9	3	28	148	35					
		10.11%	9.27%	12.93%	12.53%	14.24%	11.67%	12.00%	11.69%	11.79%	9.73%	10.44%	9.88%	9.70%	9.23%	9.16%	12.47%	8.67%	14.53%	11.39%	6.53%	14.20%	8.99%	11.82%	6.75%	8.50%	9.50%	24.01%	9.18%	11.90%	11.73%	7.01%	17.15%	11.54%	14.47%	10.20%	8.71%	9.01%	13.13%	10.40%	9.33%	15.47%	9.29%	9.09%	6.41%	7.90%	7.76%	10.50%	7.00%	7.00%	9.00%	9.61%	10.32%	10.15%	9.36%	8.39%	6.47%	12.12%	8.52%	8.74%	2.11%	8.86%	9.97%	4.07%					
																																																																					
24	Против всех	1485	33	35	46	3	23	9	45	17	59	47	68	43	74	61	9	11	5	14	48	32	26	35	43	15	35	9	47	16	17	10	2	17	5	15	13	17	29	12	41	30	9	0	23	7	39	3	12	28	13	30	5	12	25	9	1	42	2	1	3	4	46	55					
		2.89%	2.64%	2.29%	3.20%	0.97%	1.75%	2.25%	4.78%	2.30%	3.52%	2.96%	4.00%	3.21%	4.44%	4.47%	1.87%	2.03%	1.45%	2.66%	3.14%	2.52%	3.08%	3.28%	3.09%	2.16%	4.38%	2.37%	5.20%	2.76%	2.98%	1.80%	0.58%	2.28%	1.08%	2.68%	2.02%	2.25%	3.77%	2.40%	3.27%	4.89%	1.06%	0.00%	3.20%	1.58%	3.25%	1.50%	1.91%	2.88%	1.04%	2.15%	1.98%	2.65%	2.82%	1.89%	0.59%	2.30%	1.14%	0.97%	2.11%	1.27%	3.10%	6.39%					
																																																																					
																																																																					
