Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Сурская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627					
		1.08%	0.00%	1.45%	0.00%	1.78%	0.47%	1.17%	1.61%	1.84%	0.25%	1.39%	0.82%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.75%	1.36%	1.16%	0.00%	0.73%	0.00%	2.25%	1.25%	1.82%	1.09%	0.00%	1.47%	1.29%	0.00%	0.00%	0.94%	0.90%	1.58%	1.64%	0.91%	1.95%	5.03%	0.58%	0.89%	0.00%	0.00%	4.41%	0.99%	1.42%					
23	. Харитонов Николай Михайлович	2980	28	8	1	28	185	58	28	63	167	55	90	6	2	125	42	42	11	61	29	45	21	94	16	32	14	19	49	21	114	42	12	18	206	13	379	308	217	16	33	45	17	9	23	34	101	53					
		23.72%	16.09%	11.59%	2.13%	12.44%	29.09%	33.92%	45.16%	38.65%	42.39%	38.19%	24.52%	8.70%	4.35%	28.22%	28.77%	15.33%	16.92%	15.25%	13.18%	26.01%	15.91%	22.87%	14.41%	17.98%	17.50%	11.52%	17.82%	28.77%	20.96%	18.03%	11.76%	22.22%	24.18%	11.71%	31.53%	25.31%	24.74%	10.39%	16.58%	13.04%	15.18%	16.67%	12.30%	50.00%	33.33%	25.12%					
																																																					
24	Против всех	238	1	0	0	4	7	0	3	1	4	3	8	1	0	5	0	0	1	13	1	4	4	0	0	3	0	1	4	1	16	8	0	1	6	1	42	47	30	3	4	3	0	0	2	0	5	1					
		1.89%	0.57%	0.00%	0.00%	1.78%	1.10%	0.00%	4.84%	0.61%	1.02%	2.08%	2.18%	1.45%	0.00%	1.13%	0.00%	0.00%	1.54%	3.25%	0.45%	2.31%	3.03%	0.00%	0.00%	1.69%	0.00%	0.61%	1.45%	1.37%	2.94%	3.43%	0.00%	1.23%	0.70%	0.90%	3.49%	3.86%	3.42%	1.95%	2.01%	0.87%	0.00%	0.00%	1.07%	0.00%	1.65%	0.47%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
