Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Корткеросская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	230	7	10	3	1	1	9	9	28	18	10	2	6	2	11	6	3	2	4	7	5	4	6	11	6	16	4	9	4	4	22					
		1.89%	2.35%	1.18%	2.36%	0.86%	0.92%	1.62%	1.55%	2.46%	2.54%	3.55%	1.43%	1.51%	0.92%	2.31%	2.60%	0.78%	1.23%	1.27%	0.95%	1.82%	1.02%	1.53%	2.27%	0.94%	3.43%	1.75%	3.45%	1.36%	3.70%	2.70%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1889	33	145	30	13	16	84	146	248	160	54	15	51	20	63	28	40	5	30	105	23	20	71	40	115	56	23	23	59	14	159					
		15.51%	11.07%	17.14%	23.62%	11.21%	14.68%	15.11%	25.13%	21.79%	22.54%	19.15%	10.71%	12.81%	9.17%	13.21%	12.12%	10.39%	3.09%	9.55%	14.21%	8.36%	5.12%	18.11%	8.26%	18.05%	12.02%	10.04%	8.81%	20.00%	12.96%	19.49%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	190	0	19	0	3	1	5	16	28	14	10	2	8	4	8	2	6	2	5	6	5	5	4	2	7	6	1	4	3	1	13					
		1.56%	0.00%	2.25%	0.00%	2.59%	0.92%	0.90%	2.75%	2.46%	1.97%	3.55%	1.43%	2.01%	1.83%	1.68%	0.87%	1.56%	1.23%	1.59%	0.81%	1.82%	1.28%	1.02%	0.41%	1.10%	1.29%	0.44%	1.53%	1.02%	0.93%	1.59%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6353	146	412	53	67	67	305	225	427	283	109	97	233	151	245	132	208	102	205	426	163	287	205	299	319	232	123	165	143	75	449					
		52.15%	48.99%	48.70%	41.73%	57.76%	61.47%	54.86%	38.73%	37.52%	39.86%	38.65%	69.29%	58.54%	69.27%	51.36%	57.14%	54.03%	62.96%	65.29%	57.65%	59.27%	73.40%	52.30%	61.78%	50.08%	49.79%	53.71%	63.22%	48.47%	69.44%	55.02%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	109	3	6	2	0	0	1	6	20	14	4	3	2	0	5	3	1	0	1	5	3	2	6	1	1	7	2	2	4	0	5					
		0.89%	1.01%	0.71%	1.57%	0.00%	0.00%	0.18%	1.03%	1.76%	1.97%	1.42%	2.14%	0.50%	0.00%	1.05%	1.30%	0.26%	0.00%	0.32%	0.68%	1.09%	0.51%	1.53%	0.21%	0.16%	1.50%	0.87%	0.77%	1.36%	0.00%	0.61%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
