Выборы Президента Российской Федерации																																																										
																																																										
"Наименование Избирательной комиссии:    Хабаровск, Железнодорожная"																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
23	. Харитонов Николай Михайлович	8661	287	140	198	203	184	187	166	163	219	213	231	73	156	183	284	253	141	259	180	202	120	143	159	231	194	191	172	130	193	136	161	144	169	102	174	112	69	157	229	157	186	238	255	226	62	59	123	28	127	102	190					
		11.97%	14.48%	10.37%	9.50%	12.22%	11.83%	11.65%	9.15%	10.51%	12.42%	13.87%	12.19%	5.71%	14.74%	11.97%	18.09%	17.82%	16.59%	16.16%	13.31%	12.70%	27.21%	10.27%	10.09%	15.79%	11.42%	12.30%	9.71%	9.38%	12.97%	14.72%	11.88%	11.86%	13.04%	11.43%	10.76%	8.33%	10.44%	6.71%	13.06%	10.07%	10.76%	14.16%	16.26%	13.77%	4.58%	6.68%	10.33%	11.29%	13.54%	10.26%	13.81%					
																																																										
24	Против всех	4837	109	85	82	108	78	118	108	100	137	113	123	75	75	93	93	71	56	104	113	126	10	91	148	115	108	100	132	110	81	59	97	72	98	83	127	87	49	133	121	118	132	116	110	89	127	48	67	20	72	49	101					
		6.68%	5.50%	6.30%	3.93%	6.50%	5.01%	7.35%	5.95%	6.45%	7.77%	7.36%	6.49%	5.86%	7.09%	6.08%	5.92%	5.00%	6.59%	6.49%	8.36%	7.92%	2.27%	6.54%	9.39%	7.86%	6.36%	6.44%	7.45%	7.94%	5.44%	6.39%	7.16%	5.93%	7.56%	9.30%	7.85%	6.47%	7.41%	5.68%	6.90%	7.57%	7.64%	6.90%	7.02%	5.42%	9.38%	5.44%	5.63%	8.06%	7.68%	4.93%	7.34%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
