Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Сосновская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	844	19	2	8	18	14	79	63	8	4	53	24	5	1	58	7	6	8	7	3	13	5	1	24	10	31	54	8	6	39	6	6	0	5	24	37	19	2	26	20	5	11	48	25	8	7	2	7	1	7					
		2.96%	3.87%	1.15%	1.77%	3.97%	2.62%	4.24%	3.34%	1.27%	1.38%	4.12%	2.71%	2.82%	0.81%	4.65%	1.75%	3.05%	3.36%	3.12%	1.01%	4.38%	3.50%	0.70%	2.18%	6.02%	1.95%	3.39%	3.19%	2.06%	3.78%	2.08%	2.55%	0.00%	2.44%	4.63%	4.25%	4.09%	0.85%	3.54%	2.40%	1.09%	4.89%	2.39%	2.83%	1.84%	1.77%	1.28%	2.24%	0.88%	1.36%					
19	. Малышкин Олег Александрович	692	5	4	20	9	23	48	34	8	12	28	21	2	1	35	19	4	6	12	1	4	1	11	24	4	42	24	8	19	20	2	4	1	4	10	17	16	10	18	44	3	4	29	18	11	12	4	15	3	18					
		2.43%	1.02%	2.30%	4.42%	1.99%	4.30%	2.57%	1.80%	1.27%	4.15%	2.18%	2.37%	1.13%	0.81%	2.81%	4.76%	2.03%	2.52%	5.36%	0.34%	1.35%	0.70%	7.75%	2.18%	2.41%	2.64%	1.51%	3.19%	6.53%	1.94%	0.69%	1.70%	0.56%	1.95%	1.93%	1.95%	3.45%	4.24%	2.45%	5.28%	0.66%	1.78%	1.45%	2.04%	2.53%	3.03%	2.56%	4.81%	2.65%	3.50%					
20	. Миронов Сергей Михайлович	166	3	0	4	5	0	13	19	2	2	10	4	0	0	18	1	2	0	0	0	1	0	1	3	2	3	4	1	2	5	2	0	0	3	0	6	1	3	2	7	2	1	12	6	6	3	3	1	0	3					
		0.58%	0.61%	0.00%	0.88%	1.10%	0.00%	0.70%	1.01%	0.32%	0.69%	0.78%	0.45%	0.00%	0.00%	1.44%	0.25%	1.02%	0.00%	0.00%	0.00%	0.34%	0.00%	0.70%	0.27%	1.20%	0.19%	0.25%	0.40%	0.69%	0.48%	0.69%	0.00%	0.00%	1.46%	0.00%	0.69%	0.22%	1.27%	0.27%	0.84%	0.44%	0.44%	0.60%	0.68%	1.38%	0.76%	1.92%	0.32%	0.00%	0.58%					
21	. Путин Владимир Владимирович	21694	346	143	320	316	375	1411	1441	528	237	978	712	159	105	897	309	153	191	160	168	228	114	94	750	124	1257	1306	199	203	733	207	173	144	138	378	635	350	184	587	612	348	178	1573	713	339	296	109	255	95	423					
		76.06%	70.47%	82.18%	70.64%	69.76%	70.09%	75.66%	76.28%	83.81%	82.01%	76.05%	80.36%	89.83%	85.37%	71.93%	77.44%	77.66%	80.25%	71.43%	56.57%	76.77%	79.72%	66.20%	68.24%	74.70%	79.11%	81.93%	79.28%	69.76%	70.96%	71.63%	73.62%	80.90%	67.32%	72.97%	72.90%	75.43%	77.97%	79.86%	73.38%	75.98%	79.11%	78.41%	80.66%	77.93%	74.75%	69.87%	81.73%	84.07%	82.30%					
22	. Хакамада Ирина Муцуовна	809	11	4	13	9	20	62	77	19	5	27	19	2	5	44	13	9	4	5	13	10	5	0	25	7	53	46	9	9	27	4	5	4	7	14	35	16	10	27	18	11	9	55	16	7	5	4	1	0	9					
		2.84%	2.24%	2.30%	2.87%	1.99%	3.74%	3.32%	4.08%	3.02%	1.73%	2.10%	2.14%	1.13%	4.07%	3.53%	3.26%	4.57%	1.68%	2.23%	4.38%	3.37%	3.50%	0.00%	2.27%	4.22%	3.34%	2.89%	3.59%	3.09%	2.61%	1.38%	2.13%	2.25%	3.41%	2.70%	4.02%	3.45%	4.24%	3.67%	2.16%	2.40%	4.00%	2.74%	1.81%	1.61%	1.26%	2.56%	0.32%	0.00%	1.75%					
23	. Харитонов Николай Михайлович	3222	101	15	73	72	78	160	166	59	21	148	62	8	2	146	32	20	23	29	107	35	9	30	223	14	156	103	18	43	165	55	41	22	39	71	92	27	20	43	98	67	18	226	72	47	54	25	33	12	42					
		11.30%	20.57%	8.62%	16.11%	15.89%	14.58%	8.58%	8.79%	9.37%	7.27%	11.51%	7.00%	4.52%	1.63%	11.71%	8.02%	10.15%	9.66%	12.95%	36.03%	11.78%	6.29%	21.13%	20.29%	8.43%	9.82%	6.46%	7.17%	14.78%	15.97%	19.03%	17.45%	12.36%	19.02%	13.71%	10.56%	5.82%	8.47%	5.85%	11.75%	14.63%	8.00%	11.27%	8.14%	10.80%	13.64%	16.03%	10.58%	10.62%	8.17%					
																																																								
24	Против всех	756	3	4	10	13	20	76	74	4	2	31	31	1	7	25	8	3	6	5	2	5	9	5	26	5	47	46	7	8	22	8	5	1	4	8	35	25	5	18	26	11	3	45	18	13	11	6	0	1	8					
		2.65%	0.61%	2.30%	2.21%	2.87%	3.74%	4.08%	3.92%	0.63%	0.69%	2.41%	3.50%	0.56%	5.69%	2.00%	2.01%	1.52%	2.52%	2.23%	0.67%	1.68%	6.29%	3.52%	2.37%	3.01%	2.96%	2.89%	2.79%	2.75%	2.13%	2.77%	2.13%	0.56%	1.95%	1.54%	4.02%	5.39%	2.12%	2.45%	3.12%	2.40%	1.33%	2.24%	2.04%	2.99%	2.78%	3.85%	0.00%	0.88%	1.56%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
