Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Никольская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059					
18	. Глазьев Сергей Юрьевич	646	36	62	53	53	58	53	43	47	36	44	9	11	3	1	1	1	8	2	1	2	12	11	0	4	5	3	9	6	1	1	10	11	6	3	2	8	1	3	2	3	21					
		3.16%	3.47%	5.07%	4.50%	5.00%	5.61%	5.30%	3.89%	4.40%	3.10%	4.30%	1.34%	2.40%	1.35%	0.79%	0.53%	0.27%	3.15%	1.48%	0.32%	1.31%	7.64%	1.68%	0.00%	1.31%	2.89%	1.94%	2.97%	2.78%	0.33%	1.27%	1.56%	5.09%	1.02%	0.91%	0.45%	1.43%	0.52%	1.52%	1.02%	3.16%	2.60%					
19	. Малышкин Олег Александрович	420	19	35	29	33	18	17	29	28	25	19	14	8	6	1	1	10	9	4	5	4	3	13	0	11	7	2	4	3	4	0	11	4	7	1	5	7	4	2	2	0	16					
		2.05%	1.83%	2.86%	2.46%	3.11%	1.74%	1.70%	2.63%	2.62%	2.15%	1.86%	2.09%	1.74%	2.70%	0.79%	0.53%	2.71%	3.54%	2.96%	1.62%	2.61%	1.91%	1.98%	0.00%	3.61%	4.05%	1.29%	1.32%	1.39%	1.31%	0.00%	1.72%	1.85%	1.19%	0.30%	1.12%	1.25%	2.08%	1.02%	1.02%	0.00%	1.98%					
20	. Миронов Сергей Михайлович	140	11	8	12	9	7	7	7	8	6	10	5	2	1	1	1	2	1	1	0	3	2	6	0	4	1	2	0	1	1	2	1	0	1	0	2	1	1	1	5	1	6					
		0.68%	1.06%	0.65%	1.02%	0.85%	0.68%	0.70%	0.63%	0.75%	0.52%	0.98%	0.75%	0.44%	0.45%	0.79%	0.53%	0.54%	0.39%	0.74%	0.00%	1.96%	1.27%	0.92%	0.00%	1.31%	0.58%	1.29%	0.00%	0.46%	0.33%	2.53%	0.16%	0.00%	0.17%	0.00%	0.45%	0.18%	0.52%	0.51%	2.55%	1.05%	0.74%					
21	. Путин Владимир Владимирович	14292	678	768	778	694	669	615	730	717	766	642	515	324	162	107	166	281	155	92	267	109	114	395	44	227	114	135	237	180	223	65	486	170	456	264	392	461	157	175	138	73	551					
		69.91%	65.44%	62.75%	65.99%	65.47%	64.76%	61.50%	66.12%	67.20%	65.98%	62.76%	76.75%	70.59%	72.97%	84.92%	88.77%	76.15%	61.02%	68.15%	86.69%	71.24%	72.61%	60.31%	70.97%	74.43%	65.90%	87.10%	78.22%	83.33%	73.11%	82.28%	76.06%	78.70%	77.82%	79.76%	88.09%	82.62%	81.77%	88.83%	70.41%	76.84%	68.19%					
22	. Хакамада Ирина Муцуовна	296	21	30	10	21	22	26	18	23	17	19	4	3	0	0	3	1	2	3	8	0	3	11	0	4	5	2	1	4	3	0	4	1	4	0	3	3	3	1	3	0	10					
		1.45%	2.03%	2.45%	0.85%	1.98%	2.13%	2.60%	1.63%	2.16%	1.46%	1.86%	0.60%	0.65%	0.00%	0.00%	1.60%	0.27%	0.79%	2.22%	2.60%	0.00%	1.91%	1.68%	0.00%	1.31%	2.89%	1.29%	0.33%	1.85%	0.98%	0.00%	0.63%	0.46%	0.68%	0.00%	0.67%	0.54%	1.56%	0.51%	1.53%	0.00%	1.24%					
23	. Харитонов Николай Михайлович	3955	213	273	259	211	213	229	231	191	275	240	116	92	42	16	12	69	72	32	26	33	22	196	17	49	38	7	24	14	72	10	121	30	73	54	41	71	22	14	45	12	178					
		19.35%	20.56%	22.30%	21.97%	19.91%	20.62%	22.90%	20.92%	17.90%	23.69%	23.46%	17.29%	20.04%	18.92%	12.70%	6.42%	18.70%	28.35%	23.70%	8.44%	21.57%	14.01%	29.92%	27.42%	16.07%	21.97%	4.52%	7.92%	6.48%	23.61%	12.66%	18.94%	13.89%	12.46%	16.31%	9.21%	12.72%	11.46%	7.11%	22.96%	12.63%	22.03%					
																																																
24	Против всех	434	30	37	30	35	31	41	38	42	26	34	4	3	6	0	3	3	6	1	1	1	0	5	0	4	2	4	6	5	0	1	3	0	5	2	0	7	0	0	1	2	15					
		2.12%	2.90%	3.02%	2.54%	3.30%	3.00%	4.10%	3.44%	3.94%	2.24%	3.32%	0.60%	0.65%	2.70%	0.00%	1.60%	0.81%	2.36%	0.74%	0.32%	0.65%	0.00%	0.76%	0.00%	1.31%	1.16%	2.58%	1.98%	2.31%	0.00%	1.27%	0.47%	0.00%	0.85%	0.60%	0.00%	1.25%	0.00%	0.00%	0.51%	2.11%	1.86%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
