Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Карасукская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344					
		1.90%	1.66%	1.74%	1.84%	1.56%	1.94%	1.90%	3.48%	2.17%	2.20%	1.86%	1.65%	1.47%	2.03%	2.04%	1.13%	1.55%	2.36%	3.86%	0.00%	1.48%	3.60%	1.84%	0.59%	3.30%	1.04%	0.00%	0.00%	1.08%	1.72%	0.00%	2.98%	2.27%	0.00%	10.96%	0.85%	4.95%	1.89%	0.60%	2.65%	2.45%	1.21%	0.00%	0.71%	2.25%	1.43%	1.24%	1.54%	0.42%	3.85%	0.00%					
20	. Миронов Сергей Михайлович	102	3	3	6	2	4	3	10	9	5	5	5	1	1	1	1	0	1	1	0	1	1	2	1	2	3	0	2	0	9	0	1	0	0	0	3	0	0	1	4	0	0	2	4	0	0	0	1	2	2	0					
		0.45%	0.50%	0.22%	0.55%	0.18%	0.29%	0.57%	0.79%	0.81%	0.58%	0.40%	0.32%	0.16%	0.29%	0.34%	0.16%	0.00%	0.26%	0.48%	0.00%	0.21%	0.20%	1.23%	0.59%	2.20%	0.78%	0.00%	2.60%	0.00%	1.29%	0.00%	0.25%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.60%	3.54%	0.00%	0.00%	3.28%	0.95%	0.00%	0.00%	0.00%	0.77%	0.84%	1.10%	0.00%					
21	. Путин Владимир Владимирович	12396	316	747	612	649	698	264	726	561	556	708	890	144	113	138	263	271	204	117	101	225	329	109	58	71	225	85	40	49	325	54	253	118	97	38	362	127	64	96	72	385	171	52	190	48	37	203	55	170	95	115					
		54.27%	52.32%	54.13%	56.20%	59.38%	50.04%	50.29%	57.39%	50.68%	64.35%	57.14%	56.33%	23.45%	32.75%	46.94%	42.35%	52.52%	53.54%	56.52%	68.71%	47.67%	65.80%	66.87%	34.12%	78.02%	58.75%	82.52%	51.95%	52.69%	46.49%	64.29%	62.78%	44.70%	61.78%	52.05%	61.77%	62.87%	40.25%	57.49%	63.72%	59.05%	69.23%	85.25%	45.13%	53.93%	52.86%	62.85%	42.31%	71.13%	52.20%	57.21%					
22	. Хакамада Ирина Муцуовна	416	11	36	17	28	28	12	33	14	21	17	43	5	5	2	4	10	7	2	3	7	7	0	5	1	6	3	0	0	10	3	11	1	2	4	3	2	6	0	6	6	6	2	7	5	0	9	2	2	0	2					
		1.82%	1.82%	2.61%	1.56%	2.56%	2.01%	2.29%	2.61%	1.26%	2.43%	1.37%	2.72%	0.81%	1.45%	0.68%	0.64%	1.94%	1.84%	0.97%	2.04%	1.48%	1.40%	0.00%	2.94%	1.10%	1.57%	2.91%	0.00%	0.00%	1.43%	3.57%	2.73%	0.38%	1.27%	5.48%	0.51%	0.99%	3.77%	0.00%	5.31%	0.92%	2.43%	3.28%	1.66%	5.62%	0.00%	2.79%	1.54%	0.84%	0.00%	1.00%					
23	. Харитонов Николай Михайлович	8270	236	464	382	336	556	199	379	406	195	400	533	430	209	126	330	190	151	70	42	206	132	47	94	13	124	12	35	31	314	25	110	126	55	21	188	53	83	57	23	218	63	3	195	28	24	86	64	57	71	78					
		36.21%	39.07%	33.62%	35.08%	30.74%	39.86%	37.90%	29.96%	36.68%	22.57%	32.28%	33.73%	70.03%	60.58%	42.86%	53.14%	36.82%	39.63%	33.82%	28.57%	43.64%	26.40%	28.83%	55.29%	14.29%	32.38%	11.65%	45.45%	33.33%	44.92%	29.76%	27.30%	47.73%	35.03%	28.77%	32.08%	26.24%	52.20%	34.13%	20.35%	33.44%	25.51%	4.92%	46.32%	31.46%	34.29%	26.63%	49.23%	23.85%	39.01%	38.81%					
																																																									
24	Против всех	442	12	40	22	22	32	16	21	38	26	29	39	14	7	4	2	12	4	1	0	7	5	1	8	1	10	1	0	1	4	1	9	6	1	0	4	3	1	3	1	11	1	0	6	1	3	3	1	1	5	2					
		1.94%	1.99%	2.90%	2.02%	2.01%	2.29%	3.05%	1.66%	3.43%	3.01%	2.34%	2.47%	2.28%	2.03%	1.36%	0.32%	2.33%	1.05%	0.48%	0.00%	1.48%	1.00%	0.61%	4.71%	1.10%	2.61%	0.97%	0.00%	1.08%	0.57%	1.19%	2.23%	2.27%	0.64%	0.00%	0.68%	1.49%	0.63%	1.80%	0.88%	1.69%	0.40%	0.00%	1.43%	1.12%	4.29%	0.93%	0.77%	0.42%	2.75%	1.00%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
