Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Башмаковская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190					
11	Число полученных открепительных  удостоверений	333	8	38	28	25	26	17	4	15	5	2	2	4	2	5	6	15	16	2	8	9	10	13	4	3	2	8	2	10	2	4	2	2	10	3	10	5	6					
12	Число выданных открепительных удостоверений	209	6	26	24	8	16	15	0	13	4	0	0	1	2	5	3	8	14	0	8	3	4	10	0	0	0	5	0	6	0	2	0	1	10	1	9	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	3	5	1	6	9	2	0	1	1	1	1	2	0	2	1	1	0	2	0	3	1	4	0	0	0	1	0	1	1	1	1	0	2	1	2	0	2					
14	Число неиспользованных открепительных удостоверений	124	2	12	4	17	10	2	4	2	1	2	2	3	0	0	3	7	2	2	0	6	6	3	4	3	2	3	2	4	2	2	2	1	0	2	1	5	1					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	310	7	31	17	17	24	23	1	6	11	0	0	7	2	13	2	14	6	4	4	17	6	10	0	1	0	5	3	11	3	3	0	1	17	3	7	22	12					
		2.36%	2.22%	2.82%	2.31%	2.86%	2.18%	2.66%	0.57%	0.99%	2.81%	0.00%	0.00%	2.39%	1.75%	3.69%	1.39%	1.86%	2.10%	5.41%	1.82%	3.47%	2.13%	3.12%	0.00%	0.71%	0.00%	1.72%	3.37%	1.62%	3.80%	0.82%	0.00%	0.59%	2.68%	3.23%	2.20%	7.28%	3.55%					
19	. Малышкин Олег Александрович	325	4	31	20	13	41	25	4	12	6	1	1	4	0	15	2	14	6	1	5	7	5	3	9	4	3	4	0	12	2	12	4	11	19	5	6	6	8					
		2.47%	1.27%	2.82%	2.72%	2.19%	3.73%	2.89%	2.30%	1.99%	1.53%	1.14%	1.39%	1.37%	0.00%	4.26%	1.39%	1.86%	2.10%	1.35%	2.27%	1.43%	1.77%	0.93%	6.08%	2.86%	3.41%	1.38%	0.00%	1.77%	2.53%	3.30%	6.78%	6.51%	3.00%	5.38%	1.89%	1.99%	2.37%					
20	. Миронов Сергей Михайлович	81	2	6	5	0	8	5	1	1	3	0	2	3	0	3	1	2	2	0	2	4	0	2	0	3	2	3	0	6	1	2	0	2	3	0	1	3	3					
		0.62%	0.63%	0.55%	0.68%	0.00%	0.73%	0.58%	0.57%	0.17%	0.77%	0.00%	2.78%	1.02%	0.00%	0.85%	0.69%	0.27%	0.70%	0.00%	0.91%	0.82%	0.00%	0.62%	0.00%	2.14%	2.27%	1.03%	0.00%	0.88%	1.27%	0.55%	0.00%	1.18%	0.47%	0.00%	0.31%	0.99%	0.89%					
21	. Путин Владимир Владимирович	9044	219	745	518	373	703	547	128	485	260	43	42	180	80	243	115	455	133	63	166	358	222	211	121	107	65	222	68	474	53	294	38	97	452	59	250	218	237					
		68.75%	69.52%	67.79%	70.48%	62.79%	63.91%	63.24%	73.56%	80.30%	66.50%	48.86%	58.33%	61.43%	70.18%	69.03%	79.86%	60.51%	46.50%	85.14%	75.45%	73.06%	78.72%	65.73%	81.76%	76.43%	73.86%	76.55%	76.40%	69.81%	67.09%	80.77%	64.41%	57.40%	71.29%	63.44%	78.62%	72.19%	70.12%					
22	. Хакамада Ирина Муцуовна	204	8	28	15	11	13	12	2	6	6	1	1	4	1	9	0	10	10	0	2	4	1	6	2	2	1	4	1	6	0	3	0	1	12	3	4	8	7					
		1.55%	2.54%	2.55%	2.04%	1.85%	1.18%	1.39%	1.15%	0.99%	1.53%	1.14%	1.39%	1.37%	0.88%	2.56%	0.00%	1.33%	3.50%	0.00%	0.91%	0.82%	0.35%	1.87%	1.35%	1.43%	1.14%	1.38%	1.12%	0.88%	0.00%	0.82%	0.00%	0.59%	1.89%	3.23%	1.26%	2.65%	2.07%					
23	. Харитонов Николай Михайлович	2779	65	204	128	149	281	226	29	76	100	42	24	87	29	49	19	232	119	6	32	87	39	80	10	20	15	46	16	154	20	45	15	53	119	23	43	38	59					
		21.13%	20.63%	18.56%	17.41%	25.08%	25.55%	26.13%	16.67%	12.58%	25.58%	47.73%	33.33%	29.69%	25.44%	13.92%	13.19%	30.85%	41.61%	8.11%	14.55%	17.76%	13.83%	24.92%	6.76%	14.29%	17.05%	15.86%	17.98%	22.68%	25.32%	12.36%	25.42%	31.36%	18.77%	24.73%	13.52%	12.58%	17.46%					
																																												
24	Против всех	259	6	43	23	25	16	23	7	8	3	0	1	7	1	17	5	10	8	0	3	3	4	2	1	0	2	1	0	9	0	5	2	4	7	0	3	3	7					
		1.97%	1.90%	3.91%	3.13%	4.21%	1.45%	2.66%	4.02%	1.32%	0.77%	0.00%	1.39%	2.39%	0.88%	4.83%	3.47%	1.33%	2.80%	0.00%	1.36%	0.61%	1.42%	0.62%	0.68%	0.00%	2.27%	0.34%	0.00%	1.33%	0.00%	1.37%	3.39%	2.37%	1.10%	0.00%	0.94%	0.99%	2.07%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
