Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:     район Измайлово																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №3084	УИК №3085					
21	. Путин Владимир Владимирович	23719	468	567	627	672	698	664	635	493	756	779	561	537	743	1062	866	828	546	671	702	636	609	881	725	712	657	1042	715	976	859	559	759	672	829	129	84					
		66.39%	71.23%	70.26%	68.67%	70.51%	69.66%	70.12%	68.21%	66.35%	68.23%	64.59%	62.61%	65.41%	65.29%	72.84%	63.44%	64.49%	67.49%	59.80%	67.11%	68.91%	67.29%	62.62%	63.76%	66.11%	62.10%	72.36%	59.78%	67.13%	62.75%	66.39%	66.23%	64.18%	67.95%	62.32%	92.31%					
22	. Хакамада Ирина Муцуовна	3326	60	61	96	79	72	72	85	79	92	125	92	89	110	89	118	122	87	114	104	70	82	144	103	104	149	116	125	140	140	65	97	115	111	17	2					
		9.31%	9.13%	7.56%	10.51%	8.29%	7.19%	7.60%	9.13%	10.63%	8.30%	10.36%	10.27%	10.84%	9.67%	6.10%	8.64%	9.50%	10.75%	10.16%	9.94%	7.58%	9.06%	10.23%	9.06%	9.66%	14.08%	8.06%	10.45%	9.63%	10.23%	7.72%	8.46%	10.98%	9.10%	8.21%	2.20%					
23	. Харитонов Николай Михайлович	2812	28	69	68	51	79	66	60	58	95	111	74	70	71	112	126	92	56	90	81	62	73	136	70	88	74	100	121	113	122	78	105	88	99	24	2					
		7.87%	4.26%	8.55%	7.45%	5.35%	7.88%	6.97%	6.44%	7.81%	8.57%	9.20%	8.26%	8.53%	6.24%	7.68%	9.23%	7.17%	6.92%	8.02%	7.74%	6.72%	8.07%	9.67%	6.16%	8.17%	6.99%	6.94%	10.12%	7.77%	8.91%	9.26%	9.16%	8.40%	8.11%	11.59%	2.20%					
																																										
24	Против всех	2504	52	38	33	63	68	63	74	54	67	69	61	60	94	87	93	119	51	106	75	51	53	110	126	72	89	46	98	107	117	60	84	76	71	17	0					
		7.01%	7.91%	4.71%	3.61%	6.61%	6.79%	6.65%	7.95%	7.27%	6.05%	5.72%	6.81%	7.31%	8.26%	5.97%	6.81%	9.27%	6.30%	9.45%	7.17%	5.53%	5.86%	7.82%	11.08%	6.69%	8.41%	3.19%	8.19%	7.36%	8.55%	7.13%	7.33%	7.26%	5.82%	8.21%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
