Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Тверь, Заволжская"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК  1039	УИК  1040	УИК  1041	УИК  1042	УИК  1043	УИК  1044	УИК  1045	УИК  1046	УИК  1047	УИК  1048	УИК  1049	УИК  1050	УИК  1051	УИК  1052	УИК  1053	УИК  1054	УИК  1055	УИК  1056	УИК  1057	УИК  1058	УИК  1059	УИК  1060	УИК  1061	УИК  1062	УИК  1063	УИК  1064	УИК  1065	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091					
		5.84%	1.20%	6.50%	7.29%	6.62%	5.47%	5.36%	5.81%	4.31%	4.77%	4.53%	5.03%	4.98%	5.35%	6.19%	6.41%	6.69%	7.28%	6.20%	4.55%	9.87%	6.04%	7.61%	8.76%	6.43%	8.28%	4.76%	3.36%	5.21%	5.27%	6.10%	4.62%	3.60%	2.59%	2.72%	5.76%	7.44%	7.63%	6.34%	8.40%	7.52%	7.41%	7.43%	5.74%	5.02%	5.72%	4.11%	4.10%	3.80%	3.86%	5.67%	17.07%	4.40%	5.56%					
19	. Малышкин Олег Александрович	798	24	21	23	21	22	21	16	19	20	32	9	23	11	10	15	21	20	16	14	25	25	19	12	9	16	16	15	12	12	15	12	9	12	10	16	9	14	14	10	13	14	12	28	5	9	18	17	21	17	3	1	0	0					
		1.37%	1.80%	1.53%	1.75%	1.90%	1.69%	1.52%	1.21%	1.61%	1.64%	3.92%	0.78%	1.59%	0.76%	0.76%	1.25%	2.01%	1.58%	1.44%	0.96%	1.78%	1.71%	1.48%	0.85%	0.58%	1.42%	1.55%	2.10%	1.14%	1.58%	1.22%	0.91%	1.41%	1.30%	1.29%	1.20%	0.79%	1.16%	1.32%	0.85%	1.06%	0.94%	0.82%	2.73%	0.90%	1.26%	1.57%	1.55%	1.90%	1.17%	0.90%	2.44%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	368	4	8	6	6	10	12	3	8	5	3	8	7	7	6	4	4	10	7	17	12	10	12	7	10	15	8	5	5	3	6	8	2	5	9	15	7	10	10	6	9	4	14	8	2	6	5	7	2	9	1	1	0	0					
		0.63%	0.30%	0.58%	0.46%	0.54%	0.77%	0.87%	0.23%	0.68%	0.41%	0.37%	0.69%	0.48%	0.49%	0.45%	0.33%	0.38%	0.79%	0.63%	1.17%	0.85%	0.69%	0.93%	0.50%	0.65%	1.34%	0.78%	0.70%	0.47%	0.40%	0.49%	0.61%	0.31%	0.54%	1.16%	1.12%	0.61%	0.83%	0.95%	0.51%	0.74%	0.27%	0.95%	0.78%	0.36%	0.84%	0.44%	0.64%	0.18%	0.62%	0.30%	2.44%	0.00%	0.00%					
21	. Путин Владимир Владимирович	38436	911	934	929	729	834	883	873	844	845	576	810	969	1024	899	761	650	762	704	1052	819	919	784	869	930	708	691	536	734	523	828	907	462	709	542	861	676	724	670	714	785	919	899	695	374	486	751	753	791	1020	244	20	70	34					
		66.07%	68.14%	68.22%	70.54%	66.09%	64.20%	63.94%	65.84%	71.40%	69.49%	70.50%	70.19%	67.06%	71.16%	67.90%	63.36%	62.08%	60.33%	63.25%	72.50%	58.17%	63.03%	60.92%	61.89%	60.39%	63.05%	67.09%	75.07%	69.57%	68.91%	67.32%	68.71%	72.30%	76.57%	70.12%	64.45%	59.19%	60.03%	63.39%	60.56%	64.19%	61.39%	61.28%	67.67%	67.03%	67.78%	65.65%	68.58%	71.52%	70.39%	72.84%	48.78%	76.92%	62.96%					
22	. Хакамада Ирина Муцуовна	4152	121	95	76	77	90	104	98	70	92	48	57	115	103	96	88	52	89	90	69	103	111	119	87	159	88	80	29	69	37	77	101	49	38	23	126	106	122	86	112	89	136	123	68	56	52	69	61	74	53	13	1	4	1					
		7.14%	9.05%	6.94%	5.77%	6.98%	6.93%	7.53%	7.39%	5.92%	7.57%	5.88%	4.94%	7.96%	7.16%	7.25%	7.33%	4.97%	7.05%	8.09%	4.76%	7.32%	7.61%	9.25%	6.20%	10.32%	7.84%	7.77%	4.06%	6.54%	4.87%	6.26%	7.65%	7.67%	4.10%	2.98%	9.43%	9.28%	10.12%	8.14%	9.50%	7.28%	9.08%	8.38%	6.62%	10.04%	7.25%	6.03%	5.56%	6.69%	3.66%	3.88%	2.44%	4.40%	1.85%					
23	. Харитонов Николай Михайлович	8022	196	135	130	151	220	207	186	146	158	78	170	161	161	171	191	175	216	164	139	238	224	173	204	248	146	144	77	136	115	167	158	64	90	140	186	214	180	165	179	166	213	196	131	68	91	190	154	116	219	44	8	7	16					
		13.79%	14.66%	9.86%	9.87%	13.69%	16.94%	14.99%	14.03%	12.35%	12.99%	9.55%	14.73%	11.14%	11.19%	12.92%	15.90%	16.71%	17.10%	14.73%	9.58%	16.90%	15.36%	13.44%	14.53%	16.10%	13.00%	13.98%	10.78%	12.89%	15.15%	13.58%	11.97%	10.02%	9.72%	18.11%	13.92%	18.74%	14.93%	15.61%	15.18%	13.57%	14.23%	13.36%	12.76%	12.19%	12.69%	16.61%	14.03%	10.49%	15.11%	13.13%	19.51%	7.69%	29.63%					
																																																												
24	Против всех	2776	60	77	56	46	49	70	71	38	36	42	38	73	53	58	61	67	74	59	85	70	74	80	98	75	54	42	28	41	22	57	70	27	44	23	52	43	59	39	58	65	98	108	30	22	27	62	54	56	67	11	3	4	0					
		4.77%	4.49%	5.62%	4.25%	4.17%	3.77%	5.07%	5.35%	3.21%	2.96%	5.14%	3.29%	5.05%	3.68%	4.38%	5.08%	6.40%	5.86%	5.30%	5.86%	4.97%	5.08%	6.22%	6.98%	4.87%	4.81%	4.08%	3.92%	3.89%	2.90%	4.63%	5.30%	4.23%	4.75%	2.98%	3.89%	3.77%	4.89%	3.69%	4.92%	5.31%	6.55%	7.36%	2.92%	3.94%	3.77%	5.42%	4.92%	5.06%	4.62%	3.28%	7.32%	4.40%	0.00%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
