Выборы Президента Российской Федерации																																																	
																																																	
"Наименование Избирательной комиссии:    Оренбург, Центральная"																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1363	8	13	18	2	6	11	24	12	14	29	19	34	12	13	425	13	19	11	23	16	14	22	27	24	14	15	23	18	18	13	8	10	132	14	41	8	66	42	11	0	13	108					
14	Число неиспользованных открепительных удостоверений	967	34	33	24	18	33	34	22	20	40	27	31	19	29	30	35	25	25	30	30	32	26	22	26	18	27	20	20	31	30	21	31	22	28	27	23	24	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	3286	47	71	60	9	36	93	77	117	94	91	74	85	94	141	89	103	71	79	84	63	112	89	112	164	64	81	103	83	113	122	109	130	108	127	102	40	3	20	1	11	5	9					
		7.40%	6.11%	7.40%	4.91%	4.25%	3.80%	7.67%	6.23%	10.04%	8.04%	7.60%	6.64%	4.68%	7.49%	11.99%	6.50%	8.23%	5.26%	7.88%	6.67%	6.51%	8.94%	6.63%	9.05%	9.41%	5.35%	6.16%	6.34%	8.40%	9.75%	9.73%	10.04%	9.86%	6.08%	8.38%	7.41%	4.81%	4.00%	7.55%	2.78%	9.17%	4.50%	8.33%					
19	. Малышкин Олег Александрович	1225	20	27	42	7	45	27	38	12	26	13	34	38	51	21	53	36	34	35	51	31	26	51	28	38	37	26	46	27	33	20	45	26	57	38	46	23	1	7	1	7	0	1					
		2.76%	2.60%	2.81%	3.43%	3.30%	4.75%	2.23%	3.08%	1.03%	2.22%	1.09%	3.05%	2.09%	4.06%	1.79%	3.87%	2.88%	2.52%	3.49%	4.05%	3.21%	2.08%	3.80%	2.26%	2.18%	3.09%	1.98%	2.83%	2.73%	2.85%	1.59%	4.14%	1.97%	3.21%	2.51%	3.34%	2.76%	1.33%	2.64%	2.78%	5.83%	0.00%	0.93%					
20	. Миронов Сергей Михайлович	273	5	5	6	2	7	12	8	3	5	8	8	7	15	2	13	10	8	6	3	7	5	9	6	7	5	9	7	7	8	16	4	6	8	12	13	4	1	2	1	1	2	0					
		0.62%	0.65%	0.52%	0.49%	0.94%	0.74%	0.99%	0.65%	0.26%	0.43%	0.67%	0.72%	0.39%	1.20%	0.17%	0.95%	0.80%	0.59%	0.60%	0.24%	0.72%	0.40%	0.67%	0.49%	0.40%	0.42%	0.68%	0.43%	0.71%	0.69%	1.28%	0.37%	0.46%	0.45%	0.79%	0.94%	0.48%	1.33%	0.75%	2.78%	0.83%	1.80%	0.00%					
21	. Путин Владимир Владимирович	28285	519	632	782	139	643	777	845	706	719	750	702	1298	817	686	943	781	901	630	837	642	777	818	776	1085	738	882	1040	629	698	764	626	787	1183	877	874	536	57	153	19	87	51	79					
		63.73%	67.49%	65.83%	63.94%	65.57%	67.83%	64.11%	68.42%	60.60%	61.51%	62.66%	63.02%	71.44%	65.10%	58.33%	68.83%	62.43%	66.74%	62.81%	66.43%	66.39%	62.01%	60.91%	62.73%	62.28%	61.71%	67.12%	64.04%	63.66%	60.22%	60.93%	57.64%	59.71%	66.61%	57.89%	63.52%	64.42%	76.00%	57.74%	52.78%	72.50%	45.95%	73.15%					
22	. Хакамада Ирина Муцуовна	1637	25	33	46	5	36	60	49	64	50	62	57	69	43	59	62	85	46	22	17	24	59	44	38	78	28	41	47	39	45	42	24	58	47	50	43	21	1	6	0	2	1	9					
		3.69%	3.25%	3.44%	3.76%	2.36%	3.80%	4.95%	3.97%	5.49%	4.28%	5.18%	5.12%	3.80%	3.43%	5.02%	4.53%	6.79%	3.41%	2.19%	1.35%	2.48%	4.71%	3.28%	3.07%	4.48%	2.34%	3.12%	2.89%	3.95%	3.88%	3.35%	2.21%	4.40%	2.65%	3.30%	3.12%	2.52%	1.33%	2.26%	0.00%	1.67%	0.90%	8.33%					
23	. Харитонов Николай Михайлович	6981	116	140	202	33	135	158	142	186	216	194	176	168	186	200	100	152	201	167	200	142	199	253	203	259	262	192	299	149	191	225	206	234	264	299	227	173	8	55	9	8	49	3					
		15.73%	15.08%	14.58%	16.52%	15.57%	14.24%	13.04%	11.50%	15.97%	18.48%	16.21%	15.80%	9.25%	14.82%	17.01%	7.30%	12.15%	14.89%	16.65%	15.87%	14.68%	15.88%	18.84%	16.41%	14.87%	21.91%	14.61%	18.41%	15.08%	16.48%	17.94%	18.97%	17.75%	14.86%	19.74%	16.50%	20.79%	10.67%	20.75%	25.00%	6.67%	44.14%	2.78%					
																																																	
24	Против всех	2292	28	28	65	13	37	69	67	70	52	71	60	141	43	57	101	72	72	47	49	43	67	58	65	101	58	76	65	46	63	56	72	67	92	96	61	26	4	18	3	4	2	7					
		5.16%	3.64%	2.92%	5.31%	6.13%	3.90%	5.69%	5.43%	6.01%	4.45%	5.93%	5.39%	7.76%	3.43%	4.85%	7.37%	5.76%	5.33%	4.69%	3.89%	4.45%	5.35%	4.32%	5.25%	5.80%	4.85%	5.78%	4.00%	4.66%	5.44%	4.47%	6.63%	5.08%	5.18%	6.34%	4.43%	3.12%	5.33%	6.79%	8.33%	3.33%	1.80%	6.48%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
