Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Чебулинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577					
11	Число полученных открепительных  удостоверений	249	5	3	5	5	5	5	3	10	3	3	18	0	3	10	10	3	3	3	3	3	0	50	59	30	3	4					
12	Число выданных открепительных удостоверений	116	3	1	0	4	1	5	1	4	3	1	16	0	3	4	2	0	0	0	0	0	0	28	26	14	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	5	2	2	1	3	9	2	4	3	2	4	0	2	3	3	4	3	1	6	0	0	7	10	0	1	2					
14	Число неиспользованных открепительных удостоверений	133	2	2	5	1	4	0	2	6	0	2	2	0	0	6	8	3	3	3	3	3	0	22	33	16	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	192	3	0	6	10	10	9	4	25	2	5	9	2	1	10	4	1	2	2	5	3	0	25	36	18	0	0					
		1.80%	0.55%	0.00%	1.14%	2.10%	2.35%	1.73%	1.21%	2.71%	0.89%	1.28%	1.69%	1.60%	0.46%	2.07%	0.80%	0.43%	1.80%	0.59%	2.62%	2.46%	0.00%	2.64%	2.36%	2.74%	0.00%	0.00%					
19	. Малышкин Олег Александрович	343	17	1	11	27	18	13	12	32	6	11	5	6	7	16	17	9	3	22	7	6	0	23	37	33	1	3					
		3.22%	3.14%	1.05%	2.10%	5.67%	4.24%	2.50%	3.64%	3.47%	2.67%	2.81%	0.94%	4.80%	3.23%	3.31%	3.39%	3.86%	2.70%	6.53%	3.66%	4.92%	0.00%	2.43%	2.42%	5.02%	0.77%	5.17%					
20	. Миронов Сергей Михайлович	83	4	1	7	3	4	4	1	9	0	3	5	2	0	3	7	1	0	0	6	0	0	7	8	6	2	0					
		0.78%	0.74%	1.05%	1.33%	0.63%	0.94%	0.77%	0.30%	0.98%	0.00%	0.77%	0.94%	1.60%	0.00%	0.62%	1.40%	0.43%	0.00%	0.00%	3.14%	0.00%	0.00%	0.74%	0.52%	0.91%	1.54%	0.00%					
21	. Путин Владимир Владимирович	8182	471	89	424	377	297	423	278	661	109	299	413	106	160	394	392	187	60	262	153	87	15	701	1171	483	120	50					
		76.91%	87.06%	93.68%	80.76%	79.20%	69.88%	81.50%	84.24%	71.77%	48.44%	76.47%	77.63%	84.80%	73.73%	81.40%	78.24%	80.26%	54.05%	77.74%	80.10%	71.31%	83.33%	74.02%	76.69%	73.40%	92.31%	86.21%					
22	. Хакамада Ирина Муцуовна	177	4	0	6	5	5	11	6	15	1	3	7	3	3	7	10	8	3	6	1	4	1	20	31	16	1	0					
		1.66%	0.74%	0.00%	1.14%	1.05%	1.18%	2.12%	1.82%	1.63%	0.44%	0.77%	1.32%	2.40%	1.38%	1.45%	2.00%	3.43%	2.70%	1.78%	0.52%	3.28%	5.56%	2.11%	2.03%	2.43%	0.77%	0.00%					
23	. Харитонов Николай Михайлович	1382	37	2	60	37	81	48	27	151	99	69	78	5	36	44	51	22	42	33	10	16	2	135	207	83	3	4					
		12.99%	6.84%	2.11%	11.43%	7.77%	19.06%	9.25%	8.18%	16.40%	44.00%	17.65%	14.66%	4.00%	16.59%	9.09%	10.18%	9.44%	37.84%	9.79%	5.24%	13.11%	11.11%	14.26%	13.56%	12.61%	2.31%	6.90%					
																																	
24	Против всех	198	5	2	4	13	7	8	0	15	2	0	10	1	6	4	13	2	1	8	5	6	0	32	33	17	3	1					
		1.86%	0.92%	2.11%	0.76%	2.73%	1.65%	1.54%	0.00%	1.63%	0.89%	0.00%	1.88%	0.80%	2.76%	0.83%	2.59%	0.86%	0.90%	2.37%	2.62%	4.92%	0.00%	3.38%	2.16%	2.58%	2.31%	1.72%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
