Выборы Президента Российской Федерации																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Наро-Фоминская																																																																																																						
																																																																																																						
Итоги голосования 																																																																																																						
																																																																																																						
		Сумма	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618					
11	Число полученных открепительных  удостоверений	3338	30	10	20	20	14	0	20	15	20	20	14	10	15	16	20	15	10	5	10	40	30	40	800	40	210	20	50	90	10	10	30	20	20	20	24	13	10	20	100	100	20	30	30	30	6	20	35	20	30	20	5	20	10	17	10	10	25	20	10	0	10	10	20	20	10	20	34	5	30	20	10	20	40	20	20	20	40	5	15	20	100	100	30	50	50	45	70	70	5	10	10	10	10	10	30					
12	Число выданных открепительных удостоверений	1957	14	6	10	10	13	0	18	11	17	14	8	6	10	15	20	14	8	5	5	38	19	30	314	38	171	16	26	67	3	10	30	20	14	19	23	10	9	17	10	10	17	19	26	27	3	20	35	9	16	14	5	19	5	17	10	8	14	20	8	0	2	1	15	18	8	12	3	0	13	17	1	6	23	0	9	9	10	1	5	0	70	79	30	44	26	38	41	46	0	1	4	1	4	0	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1196	16	11	30	8	27	8	11	11	11	5	13	7	5	2	6	9	27	8	8	11	10	26	53	4	20	0	9	11	31	5	12	10	4	19	11	24	3	8	16	25	22	27	21	28	5	13	8	8	21	19	8	14	5	3	13	5	6	0	13	8	3	37	7	8	27	3	41	3	12	14	1	3	20	14	23	7	25	13	19	15	4	5	4	15	26	16	10	14	4	4	1	6	4	1	5					
14	Число неиспользованных открепительных удостоверений	1380	16	4	10	10	1	0	2	4	3	6	6	4	5	0	0	1	2	0	5	2	11	10	486	2	39	4	24	23	7	0	0	0	6	1	1	3	1	3	90	90	3	11	4	3	3	0	0	11	14	6	0	1	5	0	0	2	11	0	2	0	8	9	5	2	2	8	31	5	17	3	9	14	17	20	11	11	30	4	10	20	30	21	0	6	24	7	29	24	5	9	6	9	6	10	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1156	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	641	18	196	218	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																						
18	. Глазьев Сергей Юрьевич	5642	95	68	86	70	75	12	96	38	82	75	94	51	63	59	124	84	58	21	24	111	70	100	57	112	46	56	36	58	23	45	54	99	47	52	78	46	9	68	122	169	132	82	158	136	21	91	81	44	98	69	52	107	44	91	45	18	18	51	26	13	48	42	54	60	44	39	28	4	65	65	15	14	122	50	86	65	27	24	40	10	66	45	71	61	45	80	72	84	12	3	13	9	23	4	42					
		6.67%	8.47%	6.76%	8.17%	8.47%	7.02%	6.56%	7.63%	6.41%	7.94%	8.43%	8.94%	6.82%	7.22%	7.38%	8.12%	8.57%	7.69%	6.48%	5.10%	6.70%	4.65%	6.09%	4.21%	7.63%	3.01%	3.43%	2.63%	4.73%	9.58%	6.32%	5.45%	7.55%	6.56%	5.47%	10.03%	8.53%	3.98%	6.37%	11.76%	15.08%	8.77%	6.21%	10.59%	8.33%	7.27%	6.27%	5.56%	6.04%	9.23%	7.37%	7.95%	9.65%	11.89%	8.78%	4.68%	3.81%	4.72%	5.03%	4.13%	5.44%	6.73%	12.24%	7.91%	7.98%	5.73%	5.60%	4.73%	2.96%	5.38%	8.27%	5.45%	4.55%	9.10%	10.94%	9.40%	10.37%	3.90%	8.54%	5.81%	6.90%	2.66%	2.03%	5.95%	3.75%	4.56%	6.80%	7.32%	5.76%	10.43%	1.55%	11.93%	4.41%	3.77%	5.48%	11.32%					
19	. Малышкин Олег Александрович	1319	26	13	21	12	8	1	15	12	15	9	8	10	14	14	21	12	10	6	9	23	20	36	31	21	32	28	20	24	1	11	19	13	8	15	9	14	2	19	14	14	20	10	23	14	3	25	29	19	26	15	12	7	1	16	17	12	10	13	4	4	9	11	11	10	14	13	14	2	17	23	6	10	16	9	8	5	17	6	12	5	29	26	11	28	25	23	13	23	2	8	3	7	6	0	7					
		1.56%	2.32%	1.29%	1.99%	1.45%	0.75%	0.55%	1.19%	2.02%	1.45%	1.01%	0.76%	1.34%	1.60%	1.75%	1.38%	1.22%	1.33%	1.85%	1.91%	1.39%	1.33%	2.19%	2.29%	1.43%	2.09%	1.72%	1.46%	1.96%	0.42%	1.54%	1.92%	0.99%	1.12%	1.58%	1.16%	2.60%	0.88%	1.78%	1.35%	1.25%	1.33%	0.76%	1.54%	0.86%	1.04%	1.72%	1.99%	2.61%	2.45%	1.60%	1.83%	0.63%	0.27%	1.54%	1.77%	2.54%	2.62%	1.28%	0.63%	1.67%	1.26%	3.21%	1.61%	1.33%	1.82%	1.87%	2.36%	1.48%	1.41%	2.93%	2.18%	3.25%	1.19%	1.97%	0.87%	0.80%	2.45%	2.14%	1.74%	3.45%	1.17%	1.17%	0.92%	1.72%	2.54%	1.96%	1.32%	1.58%	1.74%	4.15%	2.75%	3.43%	0.98%	0.00%	1.89%					
20	. Миронов Сергей Михайлович	377	3	3	2	3	0	1	3	4	6	4	7	2	1	4	4	4	3	1	2	13	6	11	11	4	1	9	4	4	0	6	6	7	5	4	3	3	0	4	5	9	7	2	9	3	2	9	8	4	4	5	1	6	5	5	4	5	1	1	0	7	3	4	3	8	3	1	5	1	4	3	0	3	2	1	2	3	4	0	1	5	13	3	5	13	8	3	6	5	1	2	0	0	2	0	0					
		0.45%	0.27%	0.30%	0.19%	0.36%	0.00%	0.55%	0.24%	0.67%	0.58%	0.45%	0.67%	0.27%	0.11%	0.50%	0.26%	0.41%	0.40%	0.31%	0.42%	0.78%	0.40%	0.67%	0.81%	0.27%	0.07%	0.55%	0.29%	0.33%	0.00%	0.84%	0.61%	0.53%	0.70%	0.42%	0.39%	0.56%	0.00%	0.37%	0.48%	0.80%	0.47%	0.15%	0.60%	0.18%	0.69%	0.62%	0.55%	0.55%	0.38%	0.53%	0.15%	0.54%	1.35%	0.48%	0.42%	1.06%	0.26%	0.10%	0.00%	2.93%	0.42%	1.17%	0.44%	1.06%	0.39%	0.14%	0.84%	0.74%	0.33%	0.38%	0.00%	0.97%	0.15%	0.22%	0.22%	0.48%	0.58%	0.00%	0.15%	3.45%	0.52%	0.14%	0.42%	0.80%	0.81%	0.26%	0.61%	0.34%	0.87%	1.04%	0.00%	0.00%	0.33%	0.00%	0.00%					
21	. Путин Владимир Владимирович	63284	834	759	762	616	818	144	958	451	724	653	753	566	626	601	1078	706	583	250	359	1223	1183	1238	1084	1035	1279	1378	1180	962	162	528	735	964	517	679	519	355	161	764	720	709	1054	948	957	1123	213	1107	1102	527	718	647	464	759	285	769	769	365	294	854	505	194	550	228	483	519	585	547	437	119	869	561	213	219	893	339	622	434	552	195	527	96	2169	1977	860	1322	741	900	715	1095	84	139	77	146	477	63	261					
		74.83%	74.33%	75.45%	72.36%	74.58%	76.52%	78.69%	76.15%	76.05%	70.09%	73.37%	71.58%	75.67%	71.71%	75.22%	70.60%	72.04%	77.32%	77.16%	76.22%	73.81%	78.60%	75.40%	80.12%	70.55%	83.59%	84.49%	86.07%	78.40%	67.50%	74.16%	74.17%	73.53%	72.21%	71.47%	66.71%	65.86%	71.24%	71.54%	69.43%	63.25%	70.03%	71.82%	64.14%	68.77%	73.70%	76.29%	75.69%	72.29%	67.61%	69.12%	70.95%	68.44%	77.03%	74.23%	79.94%	77.17%	77.17%	84.22%	80.16%	81.17%	77.14%	66.47%	70.72%	69.02%	76.17%	78.48%	73.82%	88.15%	71.88%	71.37%	77.45%	71.10%	66.64%	74.18%	67.98%	69.22%	79.65%	69.40%	76.60%	66.21%	87.57%	89.21%	72.09%	81.30%	75.15%	76.53%	72.74%	75.10%	73.04%	72.02%	70.64%	71.57%	78.20%	86.30%	70.35%					
22	. Хакамада Ирина Муцуовна	2719	32	15	37	32	21	3	30	28	24	21	17	16	32	16	81	32	27	10	22	59	47	39	27	39	42	42	40	39	17	27	40	55	37	71	47	30	14	46	20	24	68	70	76	92	12	37	33	22	41	43	19	51	6	41	23	3	5	21	16	5	12	10	20	26	23	6	18	4	33	18	11	23	31	8	32	23	22	16	26	3	45	34	39	42	41	42	48	48	4	7	1	5	12	0	4					
		3.22%	2.85%	1.49%	3.51%	3.87%	1.96%	1.64%	2.38%	4.72%	2.32%	2.36%	1.62%	2.14%	3.67%	2.00%	5.30%	3.27%	3.58%	3.09%	4.67%	3.56%	3.12%	2.38%	2.00%	2.66%	2.75%	2.58%	2.92%	3.18%	7.08%	3.79%	4.04%	4.20%	5.17%	7.47%	6.04%	5.57%	6.19%	4.31%	1.93%	2.14%	4.52%	5.30%	5.09%	5.63%	4.15%	2.55%	2.27%	3.02%	3.86%	4.59%	2.91%	4.60%	1.62%	3.96%	2.39%	0.63%	1.31%	2.07%	2.54%	2.09%	1.68%	2.92%	2.93%	3.46%	2.99%	0.86%	3.04%	2.96%	2.73%	2.29%	4.00%	7.47%	2.31%	1.75%	3.50%	3.67%	3.17%	5.69%	3.78%	2.07%	1.82%	1.53%	3.27%	2.58%	4.16%	3.57%	4.88%	3.29%	3.48%	3.63%	0.92%	2.45%	1.97%	0.00%	1.08%					
23	. Харитонов Николай Михайлович	7041	95	111	94	65	94	15	106	36	126	91	114	68	99	67	139	86	50	31	35	141	99	127	56	189	54	59	34	76	19	57	94	99	69	87	81	64	29	104	108	144	142	131	165	150	26	110	122	75	109	94	79	115	20	64	70	51	33	52	62	4	62	35	72	78	65	54	56	4	160	79	17	16	205	23	97	56	38	27	48	24	61	44	128	89	68	72	57	125	8	23	12	27	78	5	42					
		8.33%	8.47%	11.03%	8.93%	7.87%	8.79%	8.20%	8.43%	6.07%	12.20%	10.22%	10.84%	9.09%	11.34%	8.39%	9.10%	8.78%	6.63%	9.57%	7.43%	8.51%	6.58%	7.73%	4.14%	12.88%	3.53%	3.62%	2.48%	6.19%	7.92%	8.01%	9.49%	7.55%	9.64%	9.16%	10.41%	11.87%	12.83%	9.74%	10.41%	12.85%	9.44%	9.92%	11.06%	9.19%	9.00%	7.58%	8.38%	10.29%	10.26%	10.04%	12.08%	10.37%	5.41%	6.18%	7.28%	10.78%	8.66%	5.13%	9.84%	1.67%	8.70%	10.20%	10.54%	10.37%	8.46%	7.75%	9.46%	2.96%	13.23%	10.05%	6.18%	5.19%	15.30%	5.03%	10.60%	8.93%	5.48%	9.61%	6.98%	16.55%	2.46%	1.99%	10.73%	5.47%	6.90%	6.12%	5.80%	8.57%	6.96%	11.92%	11.01%	13.24%	12.79%	6.85%	11.32%					
																																																																																																						
24	Против всех	3429	28	28	35	27	44	5	45	15	38	33	47	28	36	25	72	49	20	5	19	83	72	76	79	50	70	53	54	56	11	34	31	56	27	41	32	21	8	54	29	43	66	73	90	109	11	57	69	30	47	45	24	59	7	38	31	10	9	12	10	9	22	11	30	34	24	17	32	1	44	27	9	21	55	21	31	34	31	10	30	2	80	78	70	64	53	50	65	61	4	7	1	9	5	1	10					
		4.05%	2.50%	2.78%	3.32%	3.27%	4.12%	2.73%	3.58%	2.53%	3.68%	3.71%	4.47%	3.74%	4.12%	3.13%	4.72%	5.00%	2.65%	1.54%	4.03%	5.01%	4.78%	4.63%	5.84%	3.41%	4.58%	3.25%	3.94%	4.56%	4.58%	4.78%	3.13%	4.27%	3.77%	4.32%	4.11%	3.90%	3.54%	5.06%	2.80%	3.84%	4.39%	5.53%	6.03%	6.67%	3.81%	3.93%	4.74%	4.12%	4.43%	4.81%	3.67%	5.32%	1.89%	3.67%	3.22%	2.11%	2.36%	1.18%	1.59%	3.77%	3.09%	3.21%	4.39%	4.52%	3.12%	2.44%	5.41%	0.74%	3.64%	3.44%	3.27%	6.82%	4.10%	4.60%	3.39%	5.42%	4.47%	3.56%	4.36%	1.38%	3.23%	3.52%	5.87%	3.94%	5.38%	4.25%	6.61%	4.18%	3.48%	3.63%	0.92%	4.41%	0.82%	1.37%	2.70%					
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
