Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Прокопьевск, Зенковская"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №850	УИК №851	УИК №852	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949					
		0.57%	0.24%	0.00%	0.28%	0.00%	0.00%	0.40%	0.62%	0.17%	0.80%	0.45%	0.00%	0.88%	1.57%	0.00%	0.56%	0.75%	0.61%	0.48%	0.06%	0.46%	0.84%	0.56%	1.42%	0.88%	0.00%	0.78%	0.37%	1.23%	0.17%	1.28%	0.17%	0.50%	1.11%	0.46%	0.00%					
21	. Путин Владимир Владимирович	31838	668	897	912	60	217	688	975	2169	1350	1967	40	1123	1041	434	1226	1594	1946	1086	1423	1539	788	1537	245	895	70	1289	1216	685	1026	521	440	330	308	1101	32					
		83.25%	81.07%	90.06%	84.52%	100.00%	76.41%	91.61%	66.74%	92.93%	90.12%	88.01%	100.00%	70.54%	74.25%	78.77%	86.34%	75.12%	84.98%	85.99%	85.01%	87.69%	73.30%	85.58%	58.06%	87.57%	100.00%	91.94%	90.68%	76.37%	85.43%	74.11%	76.79%	81.68%	85.79%	83.73%	100.00%					
22	. Хакамада Ирина Муцуовна	529	11	15	3	0	6	2	37	0	19	15	0	32	41	9	12	52	46	5	2	4	31	23	11	20	0	9	9	25	7	14	13	11	7	38	0					
		1.38%	1.33%	1.51%	0.28%	0.00%	2.11%	0.27%	2.53%	0.00%	1.27%	0.67%	0.00%	2.01%	2.92%	1.63%	0.85%	2.45%	2.01%	0.40%	0.12%	0.23%	2.88%	1.28%	2.61%	1.96%	0.00%	0.64%	0.67%	2.79%	0.58%	1.99%	2.27%	2.72%	1.95%	2.89%	0.00%					
23	. Харитонов Николай Михайлович	2738	84	7	108	0	27	17	193	80	65	168	0	194	124	51	114	183	104	32	164	182	127	81	85	38	0	48	55	74	118	63	62	29	15	46	0					
		7.16%	10.19%	0.70%	10.01%	0.00%	9.51%	2.26%	13.21%	3.43%	4.34%	7.52%	0.00%	12.19%	8.84%	9.26%	8.03%	8.62%	4.54%	2.53%	9.80%	10.37%	11.81%	4.51%	20.14%	3.72%	0.00%	3.42%	4.10%	8.25%	9.83%	8.96%	10.82%	7.18%	4.18%	3.50%	0.00%					
																																										
24	Против всех	707	15	4	15	0	4	14	96	5	6	10	0	92	37	16	20	107	7	23	3	8	48	28	22	27	0	6	0	17	4	31	19	8	3	12	0					
		1.85%	1.82%	0.40%	1.39%	0.00%	1.41%	1.86%	6.57%	0.21%	0.40%	0.45%	0.00%	5.78%	2.64%	2.90%	1.41%	5.04%	0.31%	1.82%	0.18%	0.46%	4.47%	1.56%	5.21%	2.64%	0.00%	0.43%	0.00%	1.90%	0.33%	4.41%	3.32%	1.98%	0.84%	0.91%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
