Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Зубово-Полянская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247					
		0.59%	0.65%	0.37%	0.23%	0.27%	0.86%	0.00%	0.64%	1.10%	0.66%	1.42%	0.43%	0.00%	0.40%	0.38%	0.36%	0.46%	0.36%	0.00%	0.66%	0.00%	0.00%	0.28%	0.22%	0.65%	0.45%	0.64%	0.90%	0.85%	0.61%	0.39%	0.41%	2.17%	0.50%	0.55%	0.81%	0.43%	0.00%	0.64%	3.30%	0.49%	0.69%	1.45%	1.12%	0.32%	1.12%	0.10%	1.38%	1.09%	0.00%	0.58%	0.31%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	3	0	0	0	0	1					
		0.05%	0.13%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.11%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.11%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.06%	0.09%	0.31%	0.00%	0.00%	0.00%	0.00%	0.16%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32875	1529	1608	1317	1460	914	259	308	446	594	348	454	250	248	260	548	431	542	177	300	252	139	355	883	761	436	774	437	698	325	515	476	88	797	1440	123	927	436	466	88	810	427	409	1758	1560	1053	964	996	990	354	511	634					
		98.79%	98.90%	98.95%	99.10%	99.73%	98.60%	100.00%	98.72%	98.02%	98.67%	98.58%	98.70%	99.21%	98.80%	99.24%	98.38%	99.31%	98.55%	98.88%	99.34%	98.82%	99.29%	99.16%	99.10%	98.96%	98.87%	98.60%	98.65%	98.73%	98.78%	99.23%	98.14%	95.65%	99.01%	98.70%	99.19%	98.83%	99.09%	99.15%	96.70%	98.90%	98.84%	98.55%	98.71%	99.05%	97.86%	98.07%	98.03%	98.41%	99.72%	98.46%	98.91%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.02%	0.06%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																										
																																																										
																																																										
