Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    район Братеево																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	2066	76	82	111	72	86	56	72	63	61	68	59	69	71	53	67	72	66	71	98	61	81	69	116	46	244	76					
		5.04%	5.04%	5.13%	5.57%	4.41%	5.32%	3.25%	5.22%	4.08%	4.10%	5.16%	4.10%	5.11%	5.78%	6.35%	4.07%	5.09%	5.15%	3.21%	6.42%	3.11%	3.68%	3.72%	6.28%	2.84%	14.25%	6.99%					
19	. Малышкин Олег Александрович	605	17	24	24	9	27	53	15	29	19	24	18	28	20	8	24	23	8	29	33	22	26	12	29	24	26	34					
		1.47%	1.13%	1.50%	1.20%	0.55%	1.67%	3.08%	1.09%	1.88%	1.28%	1.82%	1.25%	2.07%	1.63%	0.96%	1.46%	1.63%	0.62%	1.31%	2.16%	1.12%	1.18%	0.65%	1.57%	1.48%	1.52%	3.12%					
20	. Миронов Сергей Михайлович	263	7	9	12	11	7	4	7	6	8	5	9	9	5	6	7	6	4	11	14	5	10	8	19	16	11	47					
		0.64%	0.46%	0.56%	0.60%	0.67%	0.43%	0.23%	0.51%	0.39%	0.54%	0.38%	0.63%	0.67%	0.41%	0.72%	0.43%	0.42%	0.31%	0.50%	0.92%	0.25%	0.45%	0.43%	1.03%	0.99%	0.64%	4.32%					
21	. Путин Владимир Владимирович	31074	1160	1173	1545	1291	1213	1407	988	1236	1150	999	1123	952	892	591	1285	1062	940	1827	1088	1634	1620	1508	1358	1153	1161	718					
		75.74%	76.87%	73.40%	77.56%	79.01%	75.02%	81.71%	71.59%	79.95%	77.23%	75.85%	78.04%	70.52%	72.64%	70.86%	78.02%	75.05%	73.32%	82.48%	71.30%	83.20%	73.64%	81.34%	73.48%	71.13%	67.82%	65.99%					
22	. Хакамада Ирина Муцуовна	2256	89	147	97	82	90	47	119	62	77	58	110	121	102	64	97	65	64	68	85	86	91	54	135	99	63	84					
		5.50%	5.90%	9.20%	4.87%	5.02%	5.57%	2.73%	8.62%	4.01%	5.17%	4.40%	7.64%	8.96%	8.31%	7.67%	5.89%	4.59%	4.99%	3.07%	5.57%	4.38%	4.14%	2.91%	7.31%	6.11%	3.68%	7.72%					
23	. Харитонов Николай Михайлович	2163	71	91	90	77	81	81	90	67	93	71	34	76	74	51	85	77	103	92	89	61	82	107	155	110	95	60					
		5.27%	4.71%	5.69%	4.52%	4.71%	5.01%	4.70%	6.52%	4.33%	6.25%	5.39%	2.36%	5.63%	6.03%	6.12%	5.16%	5.44%	8.03%	4.15%	5.83%	3.11%	3.73%	5.77%	8.39%	6.79%	5.55%	5.51%					
																																	
24	Против всех	2388	84	69	102	83	107	65	80	74	74	79	78	92	62	53	74	96	91	106	114	89	269	80	36	162	100	69					
		5.82%	5.57%	4.32%	5.12%	5.08%	6.62%	3.77%	5.80%	4.79%	4.97%	6.00%	5.42%	6.81%	5.05%	6.35%	4.49%	6.78%	7.10%	4.79%	7.47%	4.53%	12.23%	4.31%	1.95%	9.99%	5.84%	6.34%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
