Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Комсомольская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589					
20	. Миронов Сергей Михайлович	124	2	2	6	1	0	1	0	4	3	13	8	4	5	0	7	7	5	7	6	16	6	1	8	4	5	3					
		0.68%	2.50%	1.32%	0.49%	0.14%	0.00%	0.92%	0.00%	1.25%	1.04%	0.88%	0.54%	0.49%	0.74%	0.00%	0.72%	1.58%	0.43%	1.52%	0.81%	1.16%	0.36%	0.46%	0.68%	0.77%	0.51%	0.64%					
21	. Путин Владимир Владимирович	13512	53	118	824	526	198	95	207	211	228	909	1117	533	484	240	704	307	958	354	574	985	1533	153	837	400	652	312					
		73.90%	66.25%	77.63%	67.93%	76.12%	85.34%	87.16%	81.82%	65.73%	79.17%	61.88%	75.17%	64.76%	71.81%	81.08%	72.50%	69.30%	81.53%	76.79%	77.88%	71.53%	91.25%	70.18%	71.36%	77.37%	66.94%	66.10%					
22	. Хакамада Ирина Муцуовна	553	4	4	33	17	6	1	10	14	5	58	65	30	26	3	34	24	23	10	30	32	28	10	26	12	43	5					
		3.02%	5.00%	2.63%	2.72%	2.46%	2.59%	0.92%	3.95%	4.36%	1.74%	3.95%	4.37%	3.65%	3.86%	1.01%	3.50%	5.42%	1.96%	2.17%	4.07%	2.32%	1.67%	4.59%	2.22%	2.32%	4.41%	1.06%					
23	. Харитонов Николай Михайлович	1788	9	12	148	71	15	8	17	47	21	268	96	137	60	25	111	53	39	42	28	166	21	17	133	39	131	74					
		9.78%	11.25%	7.89%	12.20%	10.27%	6.47%	7.34%	6.72%	14.64%	7.29%	18.24%	6.46%	16.65%	8.90%	8.45%	11.43%	11.96%	3.32%	9.11%	3.80%	12.06%	1.25%	7.80%	11.34%	7.54%	13.45%	15.68%					
																																	
24	Против всех	860	2	7	79	27	2	1	7	10	10	65	104	31	36	9	36	11	72	18	56	53	42	9	65	21	57	30					
		4.70%	2.50%	4.61%	6.51%	3.91%	0.86%	0.92%	2.77%	3.12%	3.47%	4.42%	7.00%	3.77%	5.34%	3.04%	3.71%	2.48%	6.13%	3.90%	7.60%	3.85%	2.50%	4.13%	5.54%	4.06%	5.85%	6.36%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
