Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Бижбулякская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	233	10	4	2	3	0	2	10	1	77	1	1	2	2	1	1	0	4	3	7	2	2	3	3	3	1	2	4	1	2	0	2	4	3	1	4	1	6	6	15	4	4	14	5	3	4	3					
14	Число неиспользованных открепительных удостоверений	69	4	2	1	0	1	0	0	10	5	0	0	0	0	0	2	3	0	0	0	0	0	1	1	3	3	2	0	0	4	1	3	3	2	0	3	0	0	0	1	0	2	1	9	0	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	92	2	0	0	1	0	0	16	17	0	6	5	0	0	0	0	0	11	1	3	0	1	1	0	1	0	4	0	1	1	0	4	0	0	0	0	2	2	3	5	2	0	1	2	0	0	0					
		0.52%	0.24%	0.00%	0.00%	0.16%	0.00%	0.00%	1.49%	2.41%	0.00%	0.85%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	2.40%	0.34%	0.40%	0.00%	0.42%	0.80%	0.00%	0.50%	0.00%	0.70%	0.00%	0.28%	0.28%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	1.00%	0.21%	0.58%	1.57%	1.36%	0.00%	0.39%	0.34%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	51	2	0	0	1	0	0	5	8	1	1	0	0	0	0	0	0	3	2	1	0	0	0	1	0	0	0	0	2	1	0	2	3	2	3	0	0	1	4	4	1	0	1	2	0	0	0					
		0.29%	0.24%	0.00%	0.00%	0.16%	0.00%	0.00%	0.47%	1.13%	0.13%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.67%	0.13%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.55%	0.28%	0.00%	0.25%	0.84%	0.50%	0.44%	0.00%	0.00%	0.10%	0.77%	1.25%	0.68%	0.00%	0.39%	0.34%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	36	2	1	0	0	0	0	9	6	2	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	2	1	0	1	0	0	0					
		0.20%	0.24%	0.63%	0.00%	0.00%	0.00%	0.00%	0.84%	0.85%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	1.01%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	1.36%	0.38%	0.00%	0.17%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	16590	831	150	114	606	161	326	857	529	759	671	583	243	127	271	278	65	415	252	712	300	230	120	235	200	139	557	145	350	348	105	770	349	385	656	124	194	953	480	278	125	250	242	564	241	182	118					
		94.03%	98.00%	94.94%	98.28%	96.04%	93.06%	97.31%	80.02%	74.93%	95.23%	94.91%	95.42%	96.81%	98.45%	95.42%	96.86%	94.20%	90.41%	84.56%	95.19%	100.00%	97.46%	96.00%	97.11%	99.01%	98.58%	96.87%	90.06%	96.95%	97.21%	97.22%	96.86%	97.49%	96.98%	97.04%	96.88%	96.52%	98.86%	92.49%	87.15%	85.03%	96.15%	93.80%	97.07%	97.97%	97.33%	97.52%					
22	. Хакамада Ирина Муцуовна	84	2	0	0	1	0	0	24	10	8	5	3	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	2	1	1	0	5	1	2	1	0	0	0	3	3	2	1	0	2	0	0	0					
		0.48%	0.24%	0.00%	0.00%	0.16%	0.00%	0.00%	2.24%	1.42%	1.00%	0.71%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.34%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	1.24%	0.28%	0.28%	0.00%	0.63%	0.28%	0.50%	0.15%	0.00%	0.00%	0.00%	0.58%	0.94%	1.36%	0.38%	0.00%	0.34%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	662	8	7	2	21	11	6	153	122	22	24	18	6	1	7	9	2	25	35	23	0	4	4	5	1	2	6	5	3	4	3	10	4	6	16	1	5	7	3	22	14	5	12	7	3	5	3					
		3.75%	0.94%	4.43%	1.72%	3.33%	6.36%	1.79%	14.29%	17.28%	2.76%	3.39%	2.95%	2.39%	0.78%	2.46%	3.14%	2.90%	5.45%	11.74%	3.07%	0.00%	1.69%	3.20%	2.07%	0.50%	1.42%	1.04%	3.11%	0.83%	1.12%	2.78%	1.26%	1.12%	1.51%	2.37%	0.78%	2.49%	0.73%	0.58%	6.90%	9.52%	1.92%	4.65%	1.20%	1.22%	2.67%	2.48%					
																																																					
24	Против всех	41	0	0	0	1	0	0	6	7	4	0	0	0	0	6	0	0	0	1	2	0	0	0	1	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	2	0	1	1	3	0	0	0					
		0.23%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.56%	0.99%	0.50%	0.00%	0.00%	0.00%	0.00%	2.11%	0.00%	0.00%	0.00%	0.34%	0.27%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.35%	0.62%	0.00%	0.00%	0.00%	0.00%	0.28%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.38%	0.39%	0.52%	0.00%	0.00%	0.00%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
