Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Полтавская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989					
11	Число полученных открепительных  удостоверений	680	40	70	40	20	10	10	10	10	10	10	30	10	10	10	10	30	10	10	10	10	30	10	10	10	10	30	10	30	10	10	10	30	10	10	10	10	30	10	10	10	10					
12	Число выданных открепительных удостоверений	192	15	34	24	12	0	3	0	0	0	0	16	1	0	1	0	8	1	1	0	0	17	1	0	1	0	19	4	6	0	0	0	20	0	2	1	0	4	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	4	10	7	1	1	2	0	3	1	2	1	1	1	2	1	3	1	2	1	0	1	4	1	0	2	4	1	2	2	3	0	4	1	2	3	2	2	1	2	3	1					
14	Число неиспользованных открепительных удостоверений	488	25	36	16	8	10	7	10	10	10	10	14	9	10	9	10	22	9	9	10	10	13	9	10	9	10	11	6	24	10	10	10	10	10	8	9	10	26	10	9	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	252	40	26	33	5	1	2	1	0	3	0	12	4	9	0	2	10	0	2	3	0	28	3	1	2	0	15	1	10	2	4	1	11	0	7	2	0	6	2	1	0	3					
		1.84%	3.64%	1.69%	2.75%	1.45%	0.95%	1.03%	0.65%	0.00%	1.60%	0.00%	1.61%	2.09%	6.34%	0.00%	2.41%	1.75%	0.00%	0.95%	1.52%	0.00%	3.71%	1.67%	0.45%	1.47%	0.00%	2.04%	0.42%	1.27%	1.46%	2.08%	0.83%	1.96%	0.00%	3.66%	1.69%	0.00%	0.86%	0.74%	0.72%	0.00%	2.08%					
19	. Малышкин Олег Александрович	549	54	65	34	17	4	9	6	3	16	5	38	1	1	4	4	8	10	17	1	8	19	10	7	4	3	16	3	26	3	11	12	30	7	9	9	12	32	10	7	5	9					
		4.01%	4.91%	4.22%	2.83%	4.91%	3.81%	4.64%	3.90%	1.42%	8.56%	8.06%	5.10%	0.52%	0.70%	3.31%	4.82%	1.40%	9.01%	8.06%	0.51%	7.55%	2.52%	5.56%	3.18%	2.94%	1.78%	2.17%	1.25%	3.30%	2.19%	5.73%	9.92%	5.34%	4.07%	4.71%	7.63%	16.00%	4.61%	3.70%	5.04%	6.76%	6.25%					
20	. Миронов Сергей Михайлович	78	9	4	6	2	1	2	1	1	0	0	3	0	3	1	0	4	0	0	0	1	4	0	3	1	0	4	2	12	2	0	1	6	0	0	2	2	1	0	0	0	0					
		0.57%	0.82%	0.26%	0.50%	0.58%	0.95%	1.03%	0.65%	0.47%	0.00%	0.00%	0.40%	0.00%	2.11%	0.83%	0.00%	0.70%	0.00%	0.00%	0.00%	0.94%	0.53%	0.00%	1.36%	0.74%	0.00%	0.54%	0.83%	1.52%	1.46%	0.00%	0.83%	1.07%	0.00%	0.00%	1.69%	2.67%	0.14%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10164	755	1119	898	258	83	123	115	192	133	34	533	146	107	97	59	388	88	170	181	83	454	120	170	118	152	545	210	596	103	163	86	424	153	146	90	46	521	236	112	66	91					
		74.22%	68.70%	72.62%	74.77%	74.57%	79.05%	63.40%	74.68%	90.57%	71.12%	54.84%	71.54%	76.44%	75.35%	80.17%	71.08%	67.71%	79.28%	80.57%	91.88%	78.30%	60.21%	66.67%	77.27%	86.76%	89.94%	73.95%	87.50%	75.54%	75.18%	84.90%	71.07%	75.44%	88.95%	76.44%	76.27%	61.33%	75.07%	87.41%	80.58%	89.19%	63.19%					
22	. Хакамада Ирина Муцуовна	207	23	30	26	4	1	4	1	2	3	1	10	1	3	3	1	7	2	1	2	1	9	4	4	4	0	7	2	16	2	1	0	12	2	1	1	0	8	2	4	0	2					
		1.51%	2.09%	1.95%	2.16%	1.16%	0.95%	2.06%	0.65%	0.94%	1.60%	1.61%	1.34%	0.52%	2.11%	2.48%	1.20%	1.22%	1.80%	0.47%	1.02%	0.94%	1.19%	2.22%	1.82%	2.94%	0.00%	0.95%	0.83%	2.03%	1.46%	0.52%	0.00%	2.14%	1.16%	0.52%	0.85%	0.00%	1.15%	0.74%	2.88%	0.00%	1.39%					
23	. Харитонов Николай Михайлович	2139	188	263	158	54	15	53	28	13	27	21	135	35	17	13	17	125	6	17	5	11	216	39	30	2	13	143	17	113	23	12	20	65	9	27	13	11	114	18	14	1	38					
		15.62%	17.11%	17.07%	13.16%	15.61%	14.29%	27.32%	18.18%	6.13%	14.44%	33.87%	18.12%	18.32%	11.97%	10.74%	20.48%	21.82%	5.41%	8.06%	2.54%	10.38%	28.65%	21.67%	13.64%	1.47%	7.69%	19.40%	7.08%	14.32%	16.79%	6.25%	16.53%	11.57%	5.23%	14.14%	11.02%	14.67%	16.43%	6.67%	10.07%	1.35%	26.39%					
																																																
24	Против всех	194	15	28	37	3	0	1	2	1	2	1	7	4	2	1	0	28	4	1	0	2	6	1	3	4	1	5	3	8	2	1	1	5	1	1	0	4	7	0	1	0	1					
		1.42%	1.36%	1.82%	3.08%	0.87%	0.00%	0.52%	1.30%	0.47%	1.07%	1.61%	0.94%	2.09%	1.41%	0.83%	0.00%	4.89%	3.60%	0.47%	0.00%	1.89%	0.80%	0.56%	1.36%	2.94%	0.59%	0.68%	1.25%	1.01%	1.46%	0.52%	0.83%	0.89%	0.58%	0.52%	0.00%	5.33%	1.01%	0.00%	0.72%	0.00%	0.69%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
