Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Смоленск, Ленинская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702					
		0.70%	0.95%	0.63%	0.51%	0.38%	0.76%	1.24%	0.92%	0.79%	0.51%	0.73%	0.82%	1.01%	0.65%	0.45%	0.91%	1.84%	0.98%	0.44%	0.69%	0.39%	0.31%	0.38%	0.90%	0.84%	0.57%	0.59%	0.83%	0.29%	0.61%	0.58%	0.46%	0.69%	0.00%	0.64%	1.00%	0.63%	0.77%					
21	. Путин Владимир Владимирович	30584	514	306	587	654	618	1027	868	899	949	816	955	992	909	962	890	365	1016	864	808	952	668	771	865	947	763	875	817	1103	981	1042	1034	798	260	695	1372	663	979					
		61.74%	60.76%	64.02%	59.53%	62.46%	58.36%	60.77%	57.29%	58.91%	60.91%	59.35%	60.29%	62.59%	59.06%	61.75%	73.37%	51.77%	62.22%	62.79%	61.73%	61.82%	69.01%	58.94%	55.81%	61.02%	61.63%	57.83%	61.61%	64.20%	66.15%	66.58%	58.88%	61.48%	67.71%	63.76%	68.77%	59.89%	62.48%					
22	. Хакамада Ирина Муцуовна	2440	63	37	63	49	94	95	90	118	58	75	81	95	92	89	52	26	74	76	65	88	40	59	64	56	56	72	46	77	47	35	85	59	9	45	75	50	85					
		4.93%	7.45%	7.74%	6.39%	4.68%	8.88%	5.62%	5.94%	7.73%	3.72%	5.45%	5.11%	5.99%	5.98%	5.71%	4.29%	3.69%	4.53%	5.52%	4.97%	5.71%	4.13%	4.51%	4.13%	3.61%	4.52%	4.76%	3.47%	4.48%	3.17%	2.24%	4.84%	4.55%	2.34%	4.13%	3.76%	4.52%	5.42%					
23	. Харитонов Николай Михайлович	9273	149	67	172	186	177	221	303	314	328	267	309	253	305	277	108	234	306	275	264	302	163	264	396	306	216	357	288	286	262	290	407	243	83	178	255	202	260					
		18.72%	17.61%	14.02%	17.44%	17.77%	16.71%	13.08%	20.00%	20.58%	21.05%	19.42%	19.51%	15.96%	19.82%	17.78%	8.90%	33.19%	18.74%	19.99%	20.17%	19.61%	16.84%	20.18%	25.55%	19.72%	17.45%	23.60%	21.72%	16.65%	17.67%	18.53%	23.18%	18.72%	21.61%	16.33%	12.78%	18.25%	16.59%					
																																												
24	Против всех	2873	55	20	66	58	77	175	89	74	87	87	82	90	96	95	80	29	92	62	67	95	32	82	77	103	66	81	69	106	76	64	76	71	12	74	105	76	127					
		5.80%	6.50%	4.18%	6.69%	5.54%	7.27%	10.36%	5.87%	4.85%	5.58%	6.33%	5.18%	5.68%	6.24%	6.10%	6.60%	4.11%	5.63%	4.51%	5.12%	6.17%	3.31%	6.27%	4.97%	6.64%	5.33%	5.35%	5.20%	6.17%	5.12%	4.09%	4.33%	5.47%	3.12%	6.79%	5.26%	6.87%	8.10%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
