Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Цивильская 																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
		2.18%	3.84%	2.74%	2.68%	1.40%	0.97%	2.25%	0.68%	2.91%	3.74%	1.71%	1.84%	1.48%	1.11%	2.59%	2.33%	1.90%	0.45%	1.23%	1.43%	3.61%	1.23%	1.94%	0.51%	1.53%	3.01%	1.35%	0.40%	0.81%	1.29%	0.28%	1.36%	3.41%	1.24%	3.60%	1.90%	0.77%	2.58%	1.35%	2.73%	0.81%	1.72%	5.30%	2.33%	2.08%	0.62%					
19	. Малышкин Олег Александрович	442	33	78	37	14	4	2	8	12	6	4	3	3	18	0	14	5	4	4	14	5	13	19	6	9	11	8	3	0	1	4	5	14	4	8	6	5	3	2	14	2	2	3	5	25	2					
		2.36%	2.35%	4.85%	2.11%	3.26%	1.93%	2.25%	2.72%	2.49%	2.04%	2.29%	1.84%	1.48%	2.51%	0.00%	2.72%	2.38%	1.80%	0.98%	2.86%	1.51%	2.67%	1.84%	3.06%	4.59%	3.68%	3.60%	1.19%	0.00%	0.65%	1.11%	1.36%	2.81%	2.48%	1.69%	1.63%	1.92%	1.94%	1.35%	2.94%	0.81%	0.69%	1.99%	1.66%	2.08%	1.24%					
20	. Миронов Сергей Михайлович	148	2	14	7	2	1	2	5	11	3	4	1	2	3	0	2	2	1	2	3	0	5	6	2	1	4	1	2	3	2	1	7	5	3	4	5	5	0	2	2	1	0	3	1	16	0					
		0.79%	0.14%	0.87%	0.40%	0.47%	0.48%	2.25%	1.70%	2.29%	1.02%	2.29%	0.61%	0.99%	0.42%	0.00%	0.39%	0.95%	0.45%	0.49%	0.61%	0.00%	1.03%	0.58%	1.02%	0.51%	1.34%	0.45%	0.79%	2.44%	1.29%	0.28%	1.90%	1.00%	1.86%	0.85%	1.36%	1.92%	0.00%	1.35%	0.42%	0.41%	0.00%	1.99%	0.33%	1.33%	0.00%					
21	. Путин Владимир Владимирович	11598	887	1005	1074	251	118	67	144	295	188	115	90	129	448	72	368	128	154	269	314	204	388	620	139	116	180	124	150	72	94	291	251	262	70	260	225	143	107	74	282	149	183	90	226	677	105					
		62.04%	63.04%	62.50%	61.34%	58.51%	57.00%	75.28%	48.98%	61.33%	63.95%	65.71%	55.21%	63.55%	62.40%	62.07%	71.60%	60.95%	69.37%	66.09%	64.08%	61.45%	79.67%	60.02%	70.92%	59.18%	60.20%	55.86%	59.52%	58.54%	60.65%	80.83%	68.02%	52.61%	43.48%	55.08%	61.14%	55.00%	69.03%	50.00%	59.12%	60.57%	63.10%	59.60%	75.08%	56.28%	65.22%					
22	. Хакамада Ирина Муцуовна	328	40	52	35	8	7	0	5	5	5	1	5	1	12	3	7	1	1	6	4	2	0	20	3	3	8	1	2	2	2	2	2	7	2	7	5	2	2	2	11	6	4	4	3	26	2					
		1.75%	2.84%	3.23%	2.00%	1.86%	3.38%	0.00%	1.70%	1.04%	1.70%	0.57%	3.07%	0.49%	1.67%	2.59%	1.36%	0.48%	0.45%	1.47%	0.82%	0.60%	0.00%	1.94%	1.53%	1.53%	2.68%	0.45%	0.79%	1.63%	1.29%	0.56%	0.54%	1.41%	1.24%	1.48%	1.36%	0.77%	1.29%	1.35%	2.31%	2.44%	1.38%	2.65%	1.00%	2.16%	1.24%					
23	. Харитонов Николай Михайлович	5166	334	313	493	135	68	15	119	123	74	46	57	58	214	35	95	66	55	118	133	98	72	316	39	63	84	75	88	42	47	56	94	179	64	155	115	94	37	56	134	84	89	40	55	389	50					
		27.64%	23.74%	19.47%	28.16%	31.47%	32.85%	16.85%	40.48%	25.57%	25.17%	26.29%	34.97%	28.57%	29.81%	30.17%	18.48%	31.43%	24.77%	28.99%	27.14%	29.52%	14.78%	30.59%	19.90%	32.14%	28.09%	33.78%	34.92%	34.15%	30.32%	15.56%	25.47%	35.94%	39.75%	32.84%	31.25%	36.15%	23.87%	37.84%	28.09%	34.15%	30.69%	26.49%	18.27%	32.34%	31.06%					
																																																				
24	Против всех	297	37	60	33	9	3	0	5	12	4	2	2	1	2	1	6	1	1	2	3	6	1	19	1	0	1	3	2	1	2	2	3	6	8	9	2	3	2	4	9	1	6	2	1	18	1					
		1.59%	2.63%	3.73%	1.88%	2.10%	1.45%	0.00%	1.70%	2.49%	1.36%	1.14%	1.23%	0.49%	0.28%	0.86%	1.17%	0.48%	0.45%	0.49%	0.61%	1.81%	0.21%	1.84%	0.51%	0.00%	0.33%	1.35%	0.79%	0.81%	1.29%	0.56%	0.81%	1.20%	4.97%	1.91%	0.54%	1.15%	1.29%	2.70%	1.89%	0.41%	2.07%	1.32%	0.33%	1.50%	0.62%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
