Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Cуджанская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055									
		1.61%	2.86%	2.74%	1.51%	2.11%	2.80%	1.83%	1.46%	1.52%	0.48%	1.14%	0.45%	3.00%	0.17%	0.62%	2.33%	1.86%	1.27%	0.88%	0.00%	1.43%	1.71%	0.00%	2.00%	0.43%	2.73%	0.00%	0.83%	0.75%	1.53%	1.95%	1.24%	1.04%	0.53%	3.42%	1.94%	0.00%									
23	. Харитонов Николай Михайлович	3734	187	200	238	190	85	78	48	34	85	87	28	16	152	48	43	156	54	132	37	69	344	8	287	33	65	14	17	38	38	134	112	231	31	49	313	53									
		21.54%	20.57%	23.87%	22.52%	25.00%	26.40%	28.57%	23.30%	8.59%	20.19%	12.39%	12.61%	16.00%	25.89%	14.91%	25.00%	22.35%	17.20%	23.24%	18.88%	24.64%	22.65%	10.00%	17.89%	14.22%	17.76%	11.02%	14.05%	14.34%	29.01%	43.51%	23.09%	30.04%	16.32%	18.63%	24.26%	21.63%									
																																															
24	Против всех	442	39	37	36	28	4	4	6	6	6	13	5	0	4	3	1	5	8	15	2	4	59	0	36	4	15	0	0	5	1	7	5	13	4	5	60	2									
		2.55%	4.29%	4.42%	3.41%	3.68%	1.24%	1.47%	2.91%	1.52%	1.43%	1.85%	2.25%	0.00%	0.68%	0.93%	0.58%	0.72%	2.55%	2.64%	1.02%	1.43%	3.88%	0.00%	2.24%	1.72%	4.10%	0.00%	0.00%	1.89%	0.76%	2.27%	1.03%	1.69%	2.11%	1.90%	4.65%	0.82%									
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
