Выборы Президента Российской Федерации																																																																																																																																					
																																																																																																																																					
Наименование Избирательной комиссии:    Старооскольская																																																																																																																																					
																																																																																																																																					
Итоги голосования 																																																																																																																																					
																																																																																																																																					
		Сумма	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032					
11	Число полученных открепительных  удостоверений	1900	22	20	20	15	20	15	22	26	26	26	26	8	22	24	15	15	15	22	22	22	22	20	20	20	20	20	20	26	15	0	26	10	8	0	8	8	10	24	8	8	8	8	0	8	8	8	10	8	8	8	8	8	8	10	24	24	24	22	15	26	24	30	20	20	20	25	25	22	24	25	24	26	26	25	24	30	22	24	24	22	20	20	20	30	25	26	26	15	20	25	40	0	6	6	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	6	6	6	6	6	6	6	6	6	6	6	9	6	7					
12	Число выданных открепительных удостоверений	542	5	5	6	7	6	5	6	3	11	10	9	0	14	7	4	4	12	10	4	5	8	3	4	0	3	9	12	12	1	0	12	1	4	0	3	0	3	3	4	0	1	2	0	3	0	2	5	1	2	0	2	2	0	9	5	5	13	3	6	5	4	4	4	11	2	4	6	6	4	5	4	8	5	11	15	10	8	6	3	7	6	12	7	10	6	7	15	5	8	5	14	0	4	5	1	0	0	2	0	0	0	0	0	1	0	1	0	0	4	6	1	3	0	0	1	2	0	0	0	0	0	0	0	2	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	277	2	1	1	2	3	0	1	1	2	3	5	0	1	0	1	2	4	1	1	3	1	2	6	0	2	1	6	1	1	4	2	1	3	0	2	0	3	2	3	0	1	2	1	1	0	4	5	2	1	0	0	1	0	1	2	1	4	3	2	5	3	4	4	2	0	3	1	3	5	3	2	6	1	3	5	3	1	3	3	2	5	2	0	1	8	6	4	0	0	4	1	4	9	2	5	4	4	1	0	2	1	0	6	5	5	2	1	2	1	1	2	4	0	2	1	2	0	0	0	0	1	5	1	2	0	4					
14	Число неиспользованных открепительных удостоверений	1358	17	15	14	8	14	10	16	23	15	16	17	8	8	17	11	11	3	12	18	17	14	17	16	20	17	11	8	14	14	0	14	9	4	0	5	8	7	21	4	8	7	6	0	5	8	6	5	7	6	8	6	6	8	1	19	19	11	19	9	21	20	26	16	9	18	21	19	16	20	20	20	18	21	14	9	20	14	18	21	15	14	8	13	20	19	19	11	10	12	20	26	0	2	1	5	8	6	4	6	6	6	6	6	5	6	5	6	6	2	0	5	5	6	6	5	4	6	6	6	6	6	6	6	7	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																					
18	. Глазьев Сергей Юрьевич	7531	111	78	57	69	67	44	81	96	113	125	133	2	70	110	75	66	50	101	79	107	97	50	85	64	56	59	71	130	44	15	129	35	33	3	40	14	57	96	28	27	17	17	14	17	12	30	50	45	31	14	26	54	25	36	67	74	68	92	45	124	126	121	61	51	55	108	120	85	107	104	113	114	102	115	118	126	90	84	103	94	82	111	77	129	109	136	186	46	138	115	186	12	35	11	18	40	11	21	13	18	25	0	3	7	16	15	13	23	5	19	4	42	11	6	13	49	3	1	9	14	14	16	10	62	21	14					
		6.21%	7.56%	6.81%	4.90%	7.11%	6.20%	5.07%	7.09%	5.68%	7.08%	7.51%	7.32%	1.55%	5.07%	7.28%	8.09%	6.63%	5.35%	8.26%	6.65%	7.85%	7.18%	5.00%	6.08%	5.85%	4.76%	5.64%	5.84%	8.03%	5.77%	3.38%	6.76%	4.48%	5.86%	1.55%	8.13%	3.35%	6.82%	5.59%	6.22%	4.74%	2.99%	4.66%	6.11%	3.20%	2.69%	5.67%	4.82%	6.01%	6.15%	2.89%	5.18%	7.71%	4.84%	4.77%	5.93%	6.98%	5.92%	7.60%	6.77%	8.20%	8.22%	7.09%	7.20%	5.59%	6.57%	7.68%	8.07%	7.07%	8.00%	7.45%	8.19%	7.68%	6.74%	7.75%	8.43%	7.31%	6.86%	5.85%	8.53%	6.93%	7.15%	8.26%	6.57%	8.83%	7.14%	8.40%	10.87%	5.50%	11.02%	8.87%	9.85%	6.38%	6.12%	1.77%	2.36%	4.49%	1.39%	2.74%	5.35%	2.77%	4.00%	0.00%	1.64%	1.49%	3.79%	3.19%	1.83%	7.21%	0.96%	2.63%	1.39%	3.79%	2.52%	2.79%	4.17%	4.18%	0.69%	0.58%	1.39%	2.19%	1.77%	1.58%	2.21%	4.02%	3.53%	1.16%					
19	. Малышкин Олег Александрович	3143	46	43	40	29	26	11	34	41	47	40	40	3	46	41	21	29	22	27	24	38	36	35	29	33	24	29	34	47	16	9	57	22	22	15	13	9	10	48	14	20	7	14	11	15	14	10	19	18	14	10	13	14	7	14	37	27	32	36	14	53	40	73	38	25	30	39	43	39	52	27	30	44	42	17	12	40	35	30	29	29	32	34	28	47	42	50	46	14	43	45	36	7	18	19	31	33	26	22	3	16	14	1	6	10	9	13	15	6	11	15	6	13	20	2	9	18	5	0	18	8	12	22	5	24	7	19					
		2.59%	3.13%	3.75%	3.44%	2.99%	2.41%	1.27%	2.98%	2.43%	2.94%	2.40%	2.20%	2.33%	3.33%	2.72%	2.27%	2.91%	2.36%	2.21%	2.02%	2.79%	2.66%	3.50%	2.07%	3.02%	2.04%	2.77%	2.80%	2.90%	2.10%	2.03%	2.99%	2.81%	3.91%	7.73%	2.64%	2.15%	1.20%	2.80%	3.11%	3.51%	1.23%	3.84%	4.80%	2.82%	3.14%	1.89%	1.83%	2.40%	2.78%	2.07%	2.59%	2.00%	1.36%	1.86%	3.27%	2.55%	2.79%	2.98%	2.11%	3.50%	2.61%	4.28%	4.49%	2.74%	3.58%	2.77%	2.89%	3.24%	3.89%	1.93%	2.17%	2.96%	2.77%	1.15%	0.86%	2.32%	2.67%	2.09%	2.40%	2.14%	2.79%	2.53%	2.39%	3.22%	2.75%	3.09%	2.69%	1.67%	3.43%	3.47%	1.91%	3.72%	3.15%	3.06%	4.06%	3.70%	3.29%	2.87%	1.23%	2.47%	2.24%	1.23%	3.28%	2.12%	2.13%	2.77%	2.11%	1.88%	2.12%	2.08%	2.08%	1.17%	4.59%	0.93%	2.88%	1.53%	1.15%	0.00%	2.79%	1.25%	1.52%	2.17%	1.10%	1.56%	1.18%	1.57%					
20	. Миронов Сергей Михайлович	1110	22	7	16	10	13	7	16	13	15	16	16	1	12	14	11	6	11	9	8	16	10	9	12	6	10	8	12	13	5	2	18	1	5	2	6	4	3	14	4	8	3	1	2	3	5	1	6	5	1	5	6	5	4	6	11	17	7	10	3	16	17	11	15	12	9	13	8	8	9	15	13	11	16	11	7	16	23	8	7	9	12	10	18	10	16	23	17	7	10	13	28	4	1	12	3	11	8	7	7	10	3	1	3	0	7	4	3	3	6	4	2	6	6	1	4	10	10	1	2	2	8	10	1	14	8	18					
		0.92%	1.50%	0.61%	1.37%	1.03%	1.20%	0.81%	1.40%	0.77%	0.94%	0.96%	0.88%	0.78%	0.87%	0.93%	1.19%	0.60%	1.18%	0.74%	0.67%	1.17%	0.74%	0.90%	0.86%	0.55%	0.85%	0.76%	0.99%	0.80%	0.66%	0.45%	0.94%	0.13%	0.89%	1.03%	1.22%	0.96%	0.36%	0.82%	0.89%	1.40%	0.53%	0.27%	0.87%	0.56%	1.12%	0.19%	0.58%	0.67%	0.20%	1.03%	1.20%	0.71%	0.78%	0.80%	0.97%	1.60%	0.61%	0.83%	0.45%	1.06%	1.11%	0.64%	1.77%	1.32%	1.08%	0.92%	0.54%	0.67%	0.67%	1.07%	0.94%	0.74%	1.06%	0.74%	0.50%	0.93%	1.75%	0.56%	0.58%	0.66%	1.05%	0.74%	1.54%	0.68%	1.05%	1.42%	0.99%	0.84%	0.80%	1.00%	1.48%	2.13%	0.17%	1.94%	0.39%	1.23%	1.01%	0.91%	2.88%	1.54%	0.48%	1.23%	1.64%	0.00%	1.66%	0.85%	0.42%	0.94%	1.15%	0.55%	0.69%	0.54%	1.38%	0.47%	1.28%	0.85%	2.31%	0.58%	0.31%	0.31%	1.01%	0.99%	0.22%	0.91%	1.34%	1.49%					
21	. Путин Владимир Владимирович	61020	720	581	618	464	507	431	575	884	815	823	917	79	669	717	429	480	475	626	616	667	702	564	704	606	613	527	614	798	377	251	914	394	276	139	235	245	483	777	228	301	286	156	104	281	240	280	512	378	255	282	245	396	247	364	532	582	593	595	377	724	751	827	434	484	426	661	705	605	651	726	736	725	749	866	834	1039	631	746	590	685	558	660	554	721	732	753	784	422	551	593	907	75	329	336	307	415	366	428	118	304	303	46	91	225	218	302	359	169	242	317	104	661	225	134	173	624	240	82	266	269	340	652	189	894	274	567					
		50.35%	49.01%	50.70%	53.09%	47.79%	46.90%	49.71%	50.35%	52.34%	51.03%	49.46%	50.44%	61.24%	48.41%	47.48%	46.28%	48.19%	50.86%	51.19%	51.85%	48.94%	51.96%	56.34%	50.32%	55.39%	52.13%	50.38%	50.53%	49.32%	49.48%	56.53%	47.90%	50.38%	49.02%	71.65%	47.76%	58.61%	57.78%	45.25%	50.67%	52.81%	50.26%	42.74%	45.41%	52.82%	53.81%	52.93%	49.33%	50.47%	50.60%	58.26%	48.80%	56.57%	47.87%	48.28%	47.08%	54.91%	51.61%	49.17%	56.69%	47.85%	49.02%	48.48%	51.24%	53.07%	50.90%	46.98%	47.41%	50.29%	48.69%	52.01%	53.33%	48.85%	49.47%	58.40%	59.61%	60.27%	48.13%	51.99%	48.84%	50.52%	48.65%	49.11%	47.27%	49.35%	47.94%	46.51%	45.82%	50.48%	44.01%	45.76%	48.04%	39.89%	57.52%	54.19%	40.24%	46.58%	46.33%	55.80%	48.56%	46.84%	48.48%	56.79%	49.73%	47.77%	51.66%	64.26%	50.56%	52.98%	46.54%	43.91%	36.11%	59.66%	51.61%	62.33%	55.45%	53.20%	55.43%	47.40%	41.18%	42.16%	42.93%	64.30%	41.72%	57.94%	46.05%	46.98%					
22	. Хакамада Ирина Муцуовна	5782	79	48	37	39	49	37	48	95	85	91	83	5	69	87	46	43	50	66	48	73	57	41	63	43	48	57	62	60	48	19	100	43	26	7	18	9	58	89	14	27	28	17	8	14	15	31	51	43	18	14	17	26	17	36	68	37	70	58	23	76	83	128	30	58	33	76	96	76	83	72	84	88	109	67	96	105	80	78	84	77	62	88	71	94	107	92	96	75	77	73	168	6	19	17	8	11	18	15	5	12	15	2	9	10	7	10	23	6	4	14	7	38	11	8	14	29	3	2	13	7	6	24	14	22	14	19					
		4.77%	5.38%	4.19%	3.18%	4.02%	4.53%	4.27%	4.20%	5.62%	5.32%	5.47%	4.57%	3.88%	4.99%	5.76%	4.96%	4.32%	5.35%	5.40%	4.04%	5.36%	4.22%	4.10%	4.50%	3.93%	4.08%	5.45%	5.10%	3.71%	6.30%	4.28%	5.24%	5.50%	4.62%	3.61%	3.66%	2.15%	6.94%	5.18%	3.11%	4.74%	4.92%	4.66%	3.49%	2.63%	3.36%	5.86%	4.91%	5.74%	3.57%	2.89%	3.39%	3.71%	3.29%	4.77%	6.02%	3.49%	6.09%	4.79%	3.46%	5.02%	5.42%	7.50%	3.54%	6.36%	3.94%	5.40%	6.46%	6.32%	6.21%	5.16%	6.09%	5.93%	7.20%	4.52%	6.86%	6.09%	6.10%	5.44%	6.95%	5.68%	5.41%	6.55%	6.06%	6.43%	7.01%	5.68%	5.61%	8.97%	6.15%	5.63%	8.90%	3.19%	3.32%	2.74%	1.05%	1.23%	2.28%	1.96%	2.06%	1.85%	2.40%	2.47%	4.92%	2.12%	1.66%	2.13%	3.24%	1.88%	0.77%	1.94%	2.43%	3.43%	2.52%	3.72%	4.49%	2.47%	0.69%	1.16%	2.01%	1.10%	0.76%	2.37%	3.09%	1.43%	2.35%	1.57%					
23	. Харитонов Николай Михайлович	32570	367	276	287	289	331	269	295	371	373	432	436	37	410	400	284	296	245	276	295	354	341	219	398	272	349	282	339	406	201	94	502	220	151	0	144	117	186	545	134	159	195	142	80	162	120	143	303	196	148	136	163	158	185	257	283	232	239	316	137	351	336	343	193	190	192	401	383	244	329	310	284	378	336	283	226	244	322	342	292	354	299	338	284	318	356	392	426	177	333	323	355	69	137	200	379	337	325	259	87	261	239	29	63	206	143	103	273	104	244	322	156	320	139	54	92	374	162	85	254	299	297	253	214	437	220	523					
		26.88%	24.98%	24.08%	24.66%	29.76%	30.62%	31.03%	25.83%	21.97%	23.36%	25.96%	23.98%	28.68%	29.67%	26.49%	30.64%	29.72%	26.23%	22.57%	24.83%	25.97%	25.24%	21.88%	28.45%	24.86%	29.68%	26.96%	27.90%	25.09%	26.38%	21.17%	26.31%	28.13%	26.82%	0.00%	29.27%	27.99%	22.25%	31.74%	29.78%	27.89%	34.27%	38.90%	34.93%	30.45%	26.91%	27.03%	29.19%	26.17%	29.37%	28.10%	32.47%	22.57%	35.85%	34.08%	25.04%	21.89%	20.80%	26.12%	20.60%	23.20%	21.93%	20.11%	22.79%	20.83%	22.94%	28.50%	25.76%	20.28%	24.61%	22.21%	20.58%	25.47%	22.19%	19.08%	16.15%	14.15%	24.56%	23.83%	24.17%	26.11%	26.07%	25.15%	24.23%	21.77%	23.31%	24.21%	24.90%	21.17%	26.60%	24.92%	18.80%	36.70%	23.95%	32.26%	49.67%	37.82%	41.14%	33.77%	35.80%	40.22%	38.24%	35.80%	34.43%	43.74%	33.89%	21.91%	38.45%	32.60%	46.92%	44.60%	54.17%	28.88%	31.88%	25.12%	29.49%	31.88%	37.41%	49.13%	39.32%	46.87%	37.50%	24.95%	47.24%	28.32%	36.97%	43.33%					
																																																																																																																																					
24	Против всех	8673	111	102	99	58	79	52	83	170	125	116	171	1	96	121	52	69	72	109	99	97	97	74	97	63	68	74	74	144	63	48	174	57	46	25	33	13	32	129	22	24	28	12	9	32	29	29	79	50	29	20	25	40	26	29	104	85	131	96	60	159	172	195	69	84	84	94	123	140	101	135	107	117	144	116	93	143	118	124	99	92	84	95	135	135	163	159	145	87	81	110	198	12	28	20	11	35	24	10	9	15	22	2	4	7	18	17	16	7	4	23	8	24	20	8	5	55	5	0	4	3	12	24	12	72	43	41					
		7.16%	7.56%	8.90%	8.51%	5.97%	7.31%	6.00%	7.27%	10.07%	7.83%	6.97%	9.41%	0.78%	6.95%	8.01%	5.61%	6.93%	7.71%	8.91%	8.33%	7.12%	7.18%	7.39%	6.93%	5.76%	5.78%	7.07%	6.09%	8.90%	8.27%	10.81%	9.12%	7.29%	8.17%	12.89%	6.71%	3.11%	3.83%	7.51%	4.89%	4.21%	4.92%	3.29%	3.93%	6.02%	6.50%	5.48%	7.61%	6.68%	5.75%	4.13%	4.98%	5.71%	5.04%	3.85%	9.20%	8.02%	11.40%	7.93%	9.02%	10.51%	11.23%	11.43%	8.15%	9.21%	10.04%	6.68%	8.27%	11.64%	7.55%	9.67%	7.75%	7.88%	9.51%	7.82%	6.65%	8.29%	9.00%	8.64%	8.20%	6.78%	7.32%	7.07%	11.52%	9.24%	10.67%	9.82%	8.47%	10.41%	6.47%	8.49%	10.49%	6.38%	4.90%	3.23%	1.44%	3.93%	3.04%	1.30%	3.70%	2.31%	3.52%	2.47%	2.19%	1.49%	4.27%	3.62%	2.25%	2.19%	0.77%	3.19%	2.78%	2.17%	4.59%	3.72%	1.60%	4.69%	1.15%	0.00%	0.62%	0.47%	1.52%	2.37%	2.65%	4.67%	7.23%	3.40%					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
