Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Кезская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139					
14	Число неиспользованных открепительных удостоверений	30	0	0	3	0	2	0	1	1	0	3	0	0	2	0	5	1	0	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	1	2	0	0	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	2	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	241	0	2	0	12	3	3	1	1	1	3	2	3	4	1	10	4	0	0	0	5	5	1	7	1	9	2	6	3	0	10	10	3	27	12	29	17	22	16	6					
		1.69%	0.00%	1.12%	0.00%	1.45%	0.98%	0.94%	0.99%	0.40%	0.49%	0.97%	0.53%	0.67%	1.52%	0.45%	2.43%	2.84%	0.00%	0.00%	0.00%	1.37%	1.96%	0.78%	3.11%	0.93%	2.69%	0.62%	2.35%	1.13%	0.00%	1.52%	1.90%	2.31%	3.10%	2.97%	3.11%	2.05%	2.24%	2.54%	0.96%					
19	. Малышкин Олег Александрович	308	1	2	0	11	7	12	1	4	3	15	5	10	3	4	11	2	1	2	0	7	3	4	3	3	10	7	16	4	2	18	9	8	17	16	22	16	28	11	10					
		2.16%	0.28%	1.12%	0.00%	1.33%	2.30%	3.77%	0.99%	1.60%	1.46%	4.84%	1.33%	2.23%	1.14%	1.82%	2.68%	1.42%	0.44%	1.44%	0.00%	1.92%	1.18%	3.12%	1.33%	2.80%	2.99%	2.15%	6.27%	1.50%	0.90%	2.73%	1.71%	6.15%	1.95%	3.96%	2.36%	1.93%	2.85%	1.74%	1.59%					
20	. Миронов Сергей Михайлович	104	3	1	0	6	1	0	0	0	1	3	2	4	1	2	5	1	0	1	0	0	2	0	3	1	2	2	2	6	1	6	6	1	9	5	3	12	6	4	2					
		0.73%	0.83%	0.56%	0.00%	0.72%	0.33%	0.00%	0.00%	0.00%	0.49%	0.97%	0.53%	0.89%	0.38%	0.91%	1.22%	0.71%	0.00%	0.72%	0.00%	0.00%	0.78%	0.00%	1.33%	0.93%	0.60%	0.62%	0.78%	2.26%	0.45%	0.91%	1.14%	0.77%	1.03%	1.24%	0.32%	1.45%	0.61%	0.63%	0.32%					
21	. Путин Владимир Владимирович	11752	328	157	36	701	274	272	82	212	167	245	311	376	223	189	328	106	203	128	74	303	215	104	184	85	271	255	196	218	179	543	434	103	681	313	745	674	785	522	530					
		82.39%	91.11%	87.71%	97.30%	84.66%	89.84%	85.53%	81.19%	84.80%	81.46%	79.03%	82.93%	83.93%	84.79%	85.91%	79.81%	75.18%	89.82%	92.09%	97.37%	83.24%	84.31%	81.25%	81.78%	79.44%	80.90%	78.46%	76.86%	81.95%	80.63%	82.40%	82.35%	79.23%	78.28%	77.48%	79.94%	81.40%	80.02%	82.73%	84.39%					
22	. Хакамада Ирина Муцуовна	172	2	2	0	11	3	5	0	0	3	2	2	3	1	2	7	3	1	1	1	7	2	2	3	3	1	2	2	4	3	6	5	4	17	6	14	15	15	5	7					
		1.21%	0.56%	1.12%	0.00%	1.33%	0.98%	1.57%	0.00%	0.00%	1.46%	0.65%	0.53%	0.67%	0.38%	0.91%	1.70%	2.13%	0.44%	0.72%	1.32%	1.92%	0.78%	1.56%	1.33%	2.80%	0.30%	0.62%	0.78%	1.50%	1.35%	0.91%	0.95%	3.08%	1.95%	1.49%	1.50%	1.81%	1.53%	0.79%	1.11%					
23	. Харитонов Николай Михайлович	1296	20	11	1	59	13	24	15	24	26	35	42	39	23	20	43	19	11	4	1	34	17	15	20	9	30	38	26	21	28	69	45	11	98	41	91	68	88	58	59					
		9.09%	5.56%	6.15%	2.70%	7.13%	4.26%	7.55%	14.85%	9.60%	12.68%	11.29%	11.20%	8.71%	8.75%	9.09%	10.46%	13.48%	4.87%	2.88%	1.32%	9.34%	6.67%	11.72%	8.89%	8.41%	8.96%	11.69%	10.20%	7.89%	12.61%	10.47%	8.54%	8.46%	11.26%	10.15%	9.76%	8.21%	8.97%	9.19%	9.39%					
																																														
24	Против всех	206	4	1	0	20	3	1	2	4	2	3	6	6	7	2	2	3	7	2	0	3	9	1	2	5	3	9	4	4	6	3	7	0	13	8	10	12	16	6	10					
		1.44%	1.11%	0.56%	0.00%	2.42%	0.98%	0.31%	1.98%	1.60%	0.98%	0.97%	1.60%	1.34%	2.66%	0.91%	0.49%	2.13%	3.10%	1.44%	0.00%	0.82%	3.53%	0.78%	0.89%	4.67%	0.90%	2.77%	1.57%	1.50%	2.70%	0.46%	1.33%	0.00%	1.49%	1.98%	1.07%	1.45%	1.63%	0.95%	1.59%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
