Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    район Северное Измайлово																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №3290					
		44.31%	29.08%	25.75%	59.41%	51.01%	44.88%	45.09%	51.70%	26.51%	34.75%	26.48%	85.00%	49.34%	35.23%	58.55%	24.39%	29.55%	48.52%	36.36%	51.47%	37.33%	51.92%	46.08%	50.90%	55.32%	32.94%	59.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	262	11	13	9	24	7	12	18	15	7	12	0	3	8	6	7	15	2	13	8	6	8	21	10	18	9	0					
		0.88%	0.91%	1.12%	0.68%	1.86%	0.60%	1.04%	1.53%	1.31%	0.65%	1.22%	0.00%	0.44%	0.71%	0.40%	0.71%	1.11%	0.19%	1.18%	0.64%	0.57%	0.64%	1.47%	0.78%	1.38%	0.76%	0.00%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
