Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Плесецкая																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768					
		79.25%	86.13%	78.24%	79.29%	87.27%	80.20%	80.51%	80.00%	80.99%	75.87%	75.78%	70.60%	74.97%	75.02%	79.65%	76.85%	77.17%	78.32%	76.19%	78.76%	76.88%	81.92%	85.81%	89.10%	83.20%	80.23%	82.24%	79.62%	78.58%	83.48%	81.22%	90.48%	78.10%	84.18%	80.17%	81.41%	89.98%	68.12%	90.72%	80.19%	77.75%	87.12%	78.59%					
22	. Хакамада Ирина Муцуовна	456	5	20	16	7	5	1	0	8	6	15	26	16	27	4	1	56	25	22	21	14	9	1	0	17	14	4	32	32	9	2	1	1	4	14	2	2	3	1	0	4	4	5					
		1.88%	1.45%	2.47%	1.39%	1.31%	2.54%	0.51%	0.00%	1.16%	2.10%	1.47%	2.42%	2.03%	2.41%	3.54%	0.93%	4.23%	2.21%	2.91%	2.37%	2.06%	2.62%	0.65%	0.00%	1.94%	1.22%	1.87%	2.32%	2.40%	2.61%	0.82%	0.79%	0.95%	1.07%	0.97%	1.01%	0.48%	1.09%	0.42%	0.00%	1.13%	0.82%	1.36%					
23	. Харитонов Николай Михайлович	2857	33	107	152	32	19	25	14	75	42	154	181	112	147	9	18	134	128	101	99	83	32	11	14	87	118	22	133	134	40	28	6	16	40	185	25	31	68	10	48	53	39	52					
		11.81%	9.54%	13.23%	13.23%	5.99%	9.64%	12.82%	14.00%	10.89%	14.69%	15.10%	16.84%	14.23%	13.11%	7.96%	16.67%	10.13%	11.33%	13.36%	11.19%	12.22%	9.33%	7.10%	8.97%	9.94%	10.28%	10.28%	9.64%	10.04%	11.59%	11.43%	4.76%	15.24%	10.72%	12.83%	12.56%	7.40%	24.64%	4.22%	15.34%	14.93%	7.98%	14.09%					
																																																	
24	Против всех	382	1	8	15	6	1	4	2	6	6	16	12	16	25	2	2	30	30	14	21	13	4	2	3	8	19	3	36	32	0	0	1	1	3	15	4	1	2	3	0	1	8	6					
		1.58%	0.29%	0.99%	1.31%	1.12%	0.51%	2.05%	2.00%	0.87%	2.10%	1.57%	1.12%	2.03%	2.23%	1.77%	1.85%	2.27%	2.65%	1.85%	2.37%	1.91%	1.17%	1.29%	1.92%	0.91%	1.66%	1.40%	2.61%	2.40%	0.00%	0.00%	0.79%	0.95%	0.80%	1.04%	2.01%	0.24%	0.72%	1.27%	0.00%	0.28%	1.64%	1.63%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
