Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Жирновская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806					
11	Число полученных открепительных  удостоверений	494	18	17	11	19	29	15	14	5	17	20	18	21	16	5	15	19	19	25	9	3	7	4	7	8	11	6	11	5	10	3	15	6	4	13	7	6	6	7	8	15	9	7	4					
12	Число выданных открепительных удостоверений	241	18	17	9	10	29	9	14	0	17	13	14	15	6	2	10	3	4	14	0	2	1	0	0	4	0	0	4	0	0	0	11	0	0	6	4	0	0	4	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	126	1	5	2	6	2	3	9	0	4	7	1	1	2	1	4	2	6	1	0	0	1	2	1	38	2	0	1	2	1	0	8	0	1	5	1	3	0	1	1	0	1	0	0					
14	Число неиспользованных открепительных удостоверений	253	0	0	2	9	0	6	0	5	0	7	4	6	10	3	5	16	15	11	9	1	6	4	7	4	11	6	7	5	10	3	4	6	4	7	3	6	6	3	8	14	9	7	4					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	1	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	844	60	60	58	46	77	31	51	4	49	47	26	40	6	1	14	12	29	45	5	0	2	0	7	8	20	2	38	0	9	0	28	3	0	36	2	0	2	3	4	13	3	3	0					
		3.52%	5.66%	4.54%	6.10%	3.97%	4.45%	3.71%	5.48%	1.48%	5.14%	4.28%	3.23%	3.35%	0.94%	0.71%	1.74%	1.49%	2.97%	3.47%	1.83%	0.00%	1.09%	0.00%	2.31%	2.55%	4.11%	1.41%	8.09%	0.00%	2.98%	0.00%	2.42%	1.57%	0.00%	4.46%	0.88%	0.00%	1.40%	1.66%	1.94%	2.06%	1.17%	1.62%	0.00%					
19	. Малышкин Олег Александрович	808	31	36	35	36	75	35	18	2	40	35	40	56	28	3	24	24	3	35	4	3	4	1	11	7	11	10	14	5	7	1	56	6	3	33	5	1	3	11	9	29	6	9	3					
		3.37%	2.92%	2.73%	3.68%	3.11%	4.33%	4.19%	1.93%	0.74%	4.20%	3.19%	4.97%	4.69%	4.38%	2.14%	2.98%	2.98%	0.31%	2.70%	1.47%	6.38%	2.19%	1.22%	3.63%	2.23%	2.26%	7.04%	2.98%	4.10%	2.32%	2.78%	4.84%	3.14%	5.56%	4.09%	2.19%	0.68%	2.10%	6.08%	4.37%	4.59%	2.33%	4.86%	4.17%					
20	. Миронов Сергей Михайлович	204	10	6	10	6	12	11	13	7	7	4	6	2	3	0	4	1	37	10	0	0	1	2	6	1	4	1	2	0	4	0	15	1	0	3	2	4	0	1	3	2	1	2	0					
		0.85%	0.94%	0.45%	1.05%	0.52%	0.69%	1.32%	1.40%	2.59%	0.73%	0.36%	0.75%	0.17%	0.47%	0.00%	0.50%	0.12%	3.79%	0.77%	0.00%	0.00%	0.55%	2.44%	1.98%	0.32%	0.82%	0.70%	0.43%	0.00%	1.32%	0.00%	1.30%	0.52%	0.00%	0.37%	0.88%	2.70%	0.00%	0.55%	1.46%	0.32%	0.39%	1.08%	0.00%					
21	. Путин Владимир Владимирович	13960	589	711	523	658	1036	457	536	190	527	627	458	682	388	77	528	469	527	736	196	19	89	38	132	152	214	25	253	92	233	27	770	136	33	468	172	98	77	131	109	413	186	123	55					
		58.19%	55.51%	53.82%	54.99%	56.82%	59.82%	54.67%	57.57%	70.37%	55.30%	57.16%	56.89%	57.17%	60.72%	55.00%	65.59%	58.19%	54.00%	56.79%	71.79%	40.43%	48.63%	46.34%	43.56%	48.41%	43.94%	17.61%	53.83%	75.41%	77.15%	75.00%	66.55%	71.20%	61.11%	57.99%	75.44%	66.22%	53.85%	72.38%	52.91%	65.35%	72.37%	66.49%	76.39%					
22	. Хакамада Ирина Муцуовна	735	50	61	43	34	73	34	27	8	41	37	11	30	15	0	16	33	36	27	10	0	6	2	3	2	10	2	11	1	2	2	26	2	2	28	4	4	5	1	13	14	3	6	0					
		3.06%	4.71%	4.62%	4.52%	2.94%	4.21%	4.07%	2.90%	2.96%	4.30%	3.37%	1.37%	2.51%	2.35%	0.00%	1.99%	4.09%	3.69%	2.08%	3.66%	0.00%	3.28%	2.44%	0.99%	0.64%	2.05%	1.41%	2.34%	0.82%	0.66%	5.56%	2.25%	1.05%	3.70%	3.47%	1.75%	2.70%	3.50%	0.55%	6.31%	2.22%	1.17%	3.24%	0.00%					
23	. Харитонов Николай Михайлович	6548	265	359	233	313	367	234	232	55	244	323	225	351	183	50	204	247	317	404	54	24	77	38	134	130	216	96	128	22	38	6	236	39	16	213	38	39	54	34	58	146	53	39	14					
		27.29%	24.98%	27.18%	24.50%	27.03%	21.19%	27.99%	24.92%	20.37%	25.60%	29.44%	27.95%	29.42%	28.64%	35.71%	25.34%	30.65%	32.48%	31.17%	19.78%	51.06%	42.08%	46.34%	44.22%	41.40%	44.35%	67.61%	27.23%	18.03%	12.58%	16.67%	20.40%	20.42%	29.63%	26.39%	16.67%	26.35%	37.76%	18.78%	28.16%	23.10%	20.62%	21.08%	19.44%					
																																																		
24	Против всех	753	51	81	40	58	85	27	49	2	37	24	37	17	12	6	15	16	20	34	4	1	2	1	9	9	11	6	19	1	5	0	19	1	0	23	5	0	0	0	9	11	4	2	0					
		3.14%	4.81%	6.13%	4.21%	5.01%	4.91%	3.23%	5.26%	0.74%	3.88%	2.19%	4.60%	1.42%	1.88%	4.29%	1.86%	1.99%	2.05%	2.62%	1.47%	2.13%	1.09%	1.22%	2.97%	2.87%	2.26%	4.23%	4.04%	0.82%	1.66%	0.00%	1.64%	0.52%	0.00%	2.85%	2.19%	0.00%	0.00%	0.00%	4.37%	1.74%	1.56%	1.08%	0.00%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
