Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Ванинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №6	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505					
		11.81%	3.12%	16.46%	9.34%	16.89%	14.22%	14.67%	12.62%	14.95%	13.80%	15.36%	14.65%	13.63%	7.63%	13.24%	10.43%	3.04%	10.64%	6.57%	6.09%	8.75%	28.12%	7.07%	3.75%	12.40%	11.57%	14.71%					
																																	
24	Против всех	940	2	70	66	10	58	39	58	81	37	69	46	39	29	33	24	9	16	76	50	17	1	13	18	10	14	55					
		4.59%	2.08%	5.49%	4.28%	4.57%	4.97%	5.20%	6.71%	5.61%	6.23%	4.79%	4.38%	4.83%	3.75%	5.60%	3.97%	2.49%	3.78%	5.87%	5.54%	2.76%	3.12%	1.80%	3.55%	2.00%	2.75%	3.91%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
