Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																							
Дата голосования: 04.12.2011																																																																							
																																																																							
Наименование Избирательной комиссии:    Хасавюртовская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563					
		7.16%	4.94%	0.00%	7.40%	7.98%	7.02%	7.47%	10.62%	0.00%	2.05%	0.00%	6.94%	2.10%	17.18%	5.60%	13.97%	8.41%	6.40%	4.87%	6.85%	7.46%	7.93%	4.05%	1.96%	7.61%	8.01%	0.87%	4.94%	4.05%	0.90%	10.33%	14.57%	15.76%	15.49%	8.64%	1.11%	12.56%	8.57%	20.77%	14.99%	1.83%	1.26%	1.04%	7.22%	2.70%	7.06%	4.03%	1.39%	7.33%	7.03%	34.38%	17.34%	1.97%	6.92%	4.45%	5.18%	4.40%	1.07%	1.83%	11.34%	4.26%	4.14%	6.30%	31.09%	1.53%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	0	5	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0					
		0.03%	0.00%	1.16%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.17%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.26%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	80560	1069	425	822	588	1150	1239	1304	1459	1911	323	429	1163	1838	2037	1292	1993	1769	2109	952	1250	1184	710	651	1467	550	2605	962	1086	1410	2170	645	401	250	592	1505	787	160	2067	1774	2680	706	2849	446	1802	1264	2277	142	1151	1626	1321	329	2835	671	451	2049	369	2960	1340	1810	270	1944	1077	552	1541					
		92.71%	94.35%	98.61%	92.15%	92.02%	92.74%	92.53%	89.38%	100.00%	97.85%	100.00%	93.06%	97.81%	82.64%	94.31%	85.96%	91.59%	93.55%	95.09%	93.15%	92.39%	92.07%	95.95%	98.04%	92.26%	91.82%	98.86%	94.97%	95.60%	97.92%	89.67%	85.43%	84.24%	84.18%	91.36%	98.49%	87.44%	91.43%	79.20%	85.00%	98.17%	98.47%	98.92%	91.96%	97.30%	92.94%	95.67%	98.61%	92.67%	92.97%	65.62%	82.66%	98.03%	92.81%	95.55%	94.73%	95.60%	98.93%	98.02%	88.51%	95.74%	95.86%	92.92%	68.66%	98.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%					
																																																																							
																																																																							
																																																																							
