Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Камско-Устьинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685					
18	. Глазьев Сергей Юрьевич	83	1	0	11	4	3	11	2	6	3	0	5	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	14	0	3	3	2	0	0	0	0	0	0	0					
		0.65%	0.13%	0.00%	1.67%	0.46%	0.51%	1.39%	0.31%	0.95%	0.85%	0.00%	1.08%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	0.00%	0.00%	0.00%	1.62%	2.12%	0.00%	0.72%	2.42%	2.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	64	2	0	8	4	2	5	5	8	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	5	1	4	3	3	0	0	0	0	0	0	0					
		0.50%	0.25%	0.00%	1.22%	0.46%	0.34%	0.63%	0.79%	1.27%	1.13%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.72%	0.76%	0.62%	0.95%	2.42%	3.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	96	10	0	34	10	5	4	3	3	2	0	8	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	6	1	2	0	0	0	1	0	0	1	0	0					
		0.75%	1.27%	0.00%	5.18%	1.15%	0.84%	0.51%	0.47%	0.48%	0.56%	0.00%	1.73%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.91%	0.62%	0.48%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.62%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11993	747	789	484	832	560	716	619	571	328	60	430	214	426	152	331	121	155	360	218	163	263	160	125	141	152	122	520	601	153	353	107	80	153	167	152	150	159	84	75					
		93.58%	94.92%	98.87%	73.67%	95.63%	94.28%	90.40%	97.33%	90.78%	92.66%	100.00%	93.07%	90.30%	99.07%	98.70%	95.39%	100.00%	98.10%	99.17%	97.76%	94.77%	100.00%	100.00%	92.59%	94.63%	96.20%	98.39%	93.36%	91.20%	95.03%	84.25%	86.29%	89.89%	90.00%	99.40%	93.25%	99.34%	98.15%	98.82%	100.00%					
22	. Хакамада Ирина Муцуовна	80	3	0	19	6	1	16	2	4	4	0	1	0	2	1	2	0	0	0	0	0	0	0	0	3	0	0	7	6	0	1	0	0	0	0	1	0	1	0	0					
		0.62%	0.38%	0.00%	2.89%	0.69%	0.17%	2.02%	0.31%	0.64%	1.13%	0.00%	0.22%	0.00%	0.47%	0.65%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.01%	0.00%	0.00%	1.26%	0.91%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.62%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	250	6	1	67	0	5	15	5	8	3	0	8	12	2	1	2	0	3	3	4	6	0	0	3	4	2	2	7	16	4	48	5	2	3	0	3	0	0	0	0					
		1.95%	0.76%	0.13%	10.20%	0.00%	0.84%	1.89%	0.79%	1.27%	0.85%	0.00%	1.73%	5.06%	0.47%	0.65%	0.58%	0.00%	1.90%	0.83%	1.79%	3.49%	0.00%	0.00%	2.22%	2.68%	1.27%	1.61%	1.26%	2.43%	2.48%	11.46%	4.03%	2.25%	1.76%	0.00%	1.84%	0.00%	0.00%	0.00%	0.00%					
																																														
24	Против всех	79	2	4	18	0	2	11	0	6	3	0	5	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	6	6	1	7	1	0	3	0	0	0	0	0	0					
		0.62%	0.25%	0.50%	2.74%	0.00%	0.34%	1.39%	0.00%	0.95%	0.85%	0.00%	1.08%	0.42%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	0.91%	0.62%	1.67%	0.81%	0.00%	1.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
