Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Пильнинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №2494					
		2.43%	3.61%	2.27%	3.69%	5.56%	2.16%	1.46%	2.11%	1.49%	1.61%	0.98%	0.00%	2.03%	1.39%	0.00%	1.49%	1.46%	0.91%	1.40%	1.53%	2.92%	0.64%	0.00%	0.00%	6.62%	2.99%	1.88%	4.05%	0.96%	1.16%	1.78%	2.59%	0.41%	3.04%	2.30%	2.35%	2.06%	1.09%	1.61%	2.60%	1.98%	0.00%	5.26%					
19	. Малышкин Олег Александрович	224	14	2	18	18	12	1	0	1	9	6	3	15	1	2	8	5	1	7	13	1	5	2	1	3	1	6	3	5	2	11	8	14	7	10	2	2	2	0	2	0	0	1					
		1.90%	1.63%	0.57%	2.66%	2.04%	2.16%	0.49%	0.00%	1.49%	1.45%	5.88%	1.46%	3.80%	1.39%	1.35%	1.49%	2.44%	0.46%	4.90%	3.98%	0.58%	3.21%	1.23%	1.20%	1.99%	0.43%	2.26%	1.35%	4.81%	2.33%	1.96%	4.15%	5.69%	2.36%	5.75%	0.47%	0.46%	0.55%	0.00%	1.04%	0.00%	0.00%	0.38%					
20	. Миронов Сергей Михайлович	96	5	4	9	6	3	2	0	1	8	2	0	5	0	0	0	3	1	3	5	1	1	1	0	0	4	2	0	0	0	6	2	1	2	3	4	2	1	0	1	1	3	4					
		0.81%	0.58%	1.14%	1.33%	0.68%	0.54%	0.98%	0.00%	1.49%	1.29%	1.96%	0.00%	1.27%	0.00%	0.00%	0.00%	1.46%	0.46%	2.10%	1.53%	0.58%	0.64%	0.61%	0.00%	0.00%	1.71%	0.75%	0.00%	0.00%	0.00%	1.07%	1.04%	0.41%	0.68%	1.72%	0.94%	0.46%	0.27%	0.00%	0.52%	0.50%	5.17%	1.50%					
21	. Путин Владимир Владимирович	7241	517	183	391	512	395	120	78	37	383	74	110	222	58	105	358	135	161	96	215	69	97	102	57	70	145	193	145	80	33	278	98	132	205	139	237	247	264	44	129	150	35	142					
		61.46%	60.26%	51.99%	57.75%	58.12%	71.04%	58.54%	82.11%	55.22%	61.67%	72.55%	53.66%	56.20%	80.56%	70.95%	66.67%	65.85%	73.52%	67.13%	65.75%	40.35%	62.18%	62.58%	68.67%	46.36%	61.97%	72.56%	65.32%	76.92%	38.37%	49.47%	50.78%	53.66%	69.26%	79.89%	55.63%	56.52%	72.13%	70.97%	67.19%	74.26%	60.34%	53.38%					
22	. Хакамада Ирина Муцуовна	164	16	9	10	21	4	5	0	1	11	2	7	4	1	6	6	1	7	3	1	1	0	1	1	4	2	2	2	1	1	0	2	2	1	4	1	5	6	0	5	1	1	6					
		1.39%	1.86%	2.56%	1.48%	2.38%	0.72%	2.44%	0.00%	1.49%	1.77%	1.96%	3.41%	1.01%	1.39%	4.05%	1.12%	0.49%	3.20%	2.10%	0.31%	0.58%	0.00%	0.61%	1.20%	2.65%	0.85%	0.75%	0.90%	0.96%	1.16%	0.00%	1.04%	0.81%	0.34%	2.30%	0.23%	1.14%	1.64%	0.00%	2.60%	0.50%	1.72%	2.26%					
23	. Харитонов Николай Михайлович	3476	256	135	200	246	116	69	13	25	189	15	81	132	8	35	143	52	37	27	88	92	50	57	24	62	69	52	53	15	46	243	64	93	66	12	164	167	73	14	42	43	19	89					
		29.51%	29.84%	38.35%	29.54%	27.92%	20.86%	33.66%	13.68%	37.31%	30.43%	14.71%	39.51%	33.42%	11.11%	23.65%	26.63%	25.37%	16.89%	18.88%	26.91%	53.80%	32.05%	34.97%	28.92%	41.06%	29.49%	19.55%	23.87%	14.42%	53.49%	43.24%	33.16%	37.80%	22.30%	6.90%	38.50%	38.22%	19.95%	22.58%	21.88%	21.29%	32.76%	33.46%					
																																																	
24	Против всех	173	16	10	23	25	6	4	2	1	5	2	0	3	1	0	9	4	3	3	0	0	2	0	0	1	3	1	7	2	1	11	7	1	3	1	3	3	1	2	2	0	0	5					
		1.47%	1.86%	2.84%	3.40%	2.84%	1.08%	1.95%	2.11%	1.49%	0.81%	1.96%	0.00%	0.76%	1.39%	0.00%	1.68%	1.95%	1.37%	2.10%	0.00%	0.00%	1.28%	0.00%	0.00%	0.66%	1.28%	0.38%	3.15%	1.92%	1.16%	1.96%	3.63%	0.41%	1.01%	0.57%	0.70%	0.69%	0.27%	3.23%	1.04%	0.00%	0.00%	1.88%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
