Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Аксубаевская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616					
		0.37%	0.66%	0.36%	0.37%	0.35%	0.00%	2.49%	0.22%	0.86%	0.69%	1.16%	0.00%	1.30%	0.16%	0.71%	0.70%	0.00%	0.34%	0.44%	0.24%	0.33%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.43%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	0.00%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	49	4	9	1	3	0	3	7	3	2	3	3	2	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.24%	0.33%	0.54%	0.09%	0.26%	0.00%	1.24%	1.55%	0.65%	0.46%	0.58%	2.00%	0.52%	0.08%	0.00%	0.00%	0.00%	1.03%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	61	5	15	12	10	0	1	3	2	2	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.29%	0.41%	0.89%	1.11%	0.88%	0.00%	0.41%	0.66%	0.43%	0.46%	0.00%	1.33%	0.26%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	19967	1185	1553	1036	1088	322	166	422	454	401	474	145	360	1219	966	417	134	284	666	404	295	242	192	417	175	381	340	142	268	337	107	424	333	226	306	231	90	321	293	279	365	202	234	189	120	286	198	235	805	238					
		96.13%	97.21%	92.66%	95.75%	95.35%	99.38%	68.88%	93.16%	97.84%	91.97%	91.86%	96.67%	93.26%	98.15%	98.07%	97.89%	97.81%	97.93%	97.94%	98.06%	98.66%	99.18%	96.97%	98.12%	100.00%	98.96%	99.13%	100.00%	90.54%	96.84%	99.07%	100.00%	100.00%	98.26%	97.45%	99.57%	100.00%	96.69%	95.44%	98.24%	96.82%	74.26%	91.41%	93.10%	96.77%	98.62%	100.00%	100.00%	99.63%	100.00%					
22	. Хакамада Ирина Муцуовна	44	2	2	1	6	0	5	2	0	3	4	0	2	3	4	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0					
		0.21%	0.16%	0.12%	0.09%	0.53%	0.00%	2.07%	0.44%	0.00%	0.69%	0.78%	0.00%	0.52%	0.24%	0.41%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.68%	0.29%	0.00%	0.00%	0.00%	0.43%	0.32%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	254	15	45	9	2	1	56	2	1	25	13	0	13	10	8	3	3	1	7	3	1	2	0	5	0	2	2	0	2	1	1	0	0	2	2	1	0	0	0	0	0	3	8	0	2	3	0	0	0	0					
		1.22%	1.23%	2.68%	0.83%	0.18%	0.31%	23.24%	0.44%	0.22%	5.73%	2.52%	0.00%	3.37%	0.81%	0.81%	0.70%	2.19%	0.34%	1.03%	0.73%	0.33%	0.82%	0.00%	1.18%	0.00%	0.52%	0.58%	0.00%	0.68%	0.29%	0.93%	0.00%	0.00%	0.87%	0.64%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	3.12%	0.00%	1.61%	1.03%	0.00%	0.00%	0.00%	0.00%					
																																																								
24	Против всех	122	0	30	11	28	1	2	8	0	0	7	0	3	0	0	3	0	0	4	0	1	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	1	0	0	0	4	10	0	0	0	0	0	3	0					
		0.59%	0.00%	1.79%	1.02%	2.45%	0.31%	0.83%	1.77%	0.00%	0.00%	1.36%	0.00%	0.78%	0.00%	0.00%	0.70%	0.00%	0.00%	0.59%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	1.15%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	1.47%	3.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
