Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Пестречинская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445					
12	Число выданных открепительных удостоверений	286	1	1	60	2	1	0	1	2	0	4	4	14	27	10	8	8	1	4	2	4	6	22	17	25	13	21	3	0	3	1	0	11	2	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	161	3	2	12	0	7	0	1	3	1	2	0	10	14	7	9	5	2	2	5	1	5	6	7	7	5	6	6	1	9	4	1	6	4	3	5					
14	Число неиспользованных открепительных удостоверений	214	3	3	15	2	6	4	3	3	4	0	2	6	3	5	7	7	3	1	3	2	9	8	13	5	17	14	12	4	7	9	5	9	18	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	34	0	1	1	0	0	0	0	0	0	0	0	0	0	1	11	3	1	1	1	1	1	2	2	2	0	2	0	0	0	2	0	0	2	0	0					
		0.17%	0.00%	0.52%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.92%	0.40%	0.49%	0.55%	0.31%	0.25%	0.17%	0.22%	0.17%	0.18%	0.00%	0.21%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.19%	0.00%	0.00%					
19	. Малышкин Олег Александрович	18	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	6	3	0	1	0	0	0	0	0	0	3	0	0					
		0.09%	0.00%	0.00%	0.15%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.52%	0.26%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	54	5	0	4	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	2	0	3	0	3	6	7	4	0	0	6	0	0	0	7	0	0					
		0.27%	2.62%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.17%	0.27%	0.00%	0.00%	0.62%	0.00%	0.52%	0.00%	0.26%	0.53%	0.72%	0.42%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%					
21	. Путин Владимир Владимирович	19529	184	192	660	219	334	111	163	328	224	267	842	1321	436	741	1181	728	202	182	318	393	561	899	1126	1112	954	934	255	192	613	564	376	1223	1023	260	411					
		98.71%	96.34%	99.48%	98.07%	99.10%	99.11%	99.11%	100.00%	99.39%	99.56%	100.00%	99.76%	100.00%	100.00%	99.06%	98.66%	98.11%	99.02%	99.45%	97.85%	99.24%	97.06%	99.23%	98.34%	97.37%	98.15%	97.09%	95.15%	100.00%	98.55%	99.12%	99.47%	99.19%	98.46%	100.00%	100.00%					
22	. Хакамада Ирина Муцуовна	18	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	2	0	2	0	0	1	1	1	1	2	0	0					
		0.09%	0.00%	0.00%	0.15%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.31%	0.25%	0.00%	0.11%	0.17%	0.18%	0.00%	0.21%	0.00%	0.00%	0.16%	0.18%	0.26%	0.08%	0.19%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	99	1	0	3	1	2	1	0	2	1	0	2	0	0	2	0	8	1	0	1	1	4	2	3	10	9	18	13	0	2	2	1	9	0	0	0					
		0.50%	0.52%	0.00%	0.45%	0.45%	0.59%	0.89%	0.00%	0.61%	0.44%	0.00%	0.24%	0.00%	0.00%	0.27%	0.00%	1.08%	0.49%	0.00%	0.31%	0.25%	0.69%	0.22%	0.26%	0.88%	0.93%	1.87%	4.85%	0.00%	0.32%	0.35%	0.26%	0.73%	0.00%	0.00%	0.00%					
																																										
24	Против всех	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	2	2	0	1	0	0	0	0	0	0	2	0	0					
		0.10%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	1.56%	0.00%	0.17%	0.18%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
