Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Селенгинская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	603	76	38	52	27	34	53	38	18	29	19	1	49	6	0	8	0	12	5	1	11	0	10	1	3	7	0	55	2	0	19	3	1	6	8	4	7	0					
		2.79%	5.24%	3.19%	4.57%	2.80%	3.47%	5.12%	2.73%	3.31%	4.02%	1.22%	0.85%	4.16%	3.17%	0.00%	2.73%	0.00%	1.15%	3.07%	0.74%	0.90%	0.00%	2.72%	1.04%	2.97%	1.39%	0.00%	3.10%	1.03%	0.00%	2.73%	2.03%	1.16%	1.75%	1.32%	1.98%	1.37%	0.00%					
19	. Малышкин Олег Александрович	376	30	17	22	23	28	21	31	10	20	35	7	19	7	1	1	0	10	2	1	8	2	2	2	0	2	3	54	1	1	3	2	0	5	4	2	0	0					
		1.74%	2.07%	1.43%	1.93%	2.38%	2.85%	2.03%	2.23%	1.84%	2.77%	2.25%	5.93%	1.61%	3.70%	1.16%	0.34%	0.00%	0.96%	1.23%	0.74%	0.66%	1.85%	0.54%	2.08%	0.00%	0.40%	4.11%	3.05%	0.51%	0.74%	0.43%	1.35%	0.00%	1.46%	0.66%	0.99%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	231	17	10	9	12	11	13	15	13	9	3	2	9	8	5	2	0	9	1	1	6	0	2	0	0	3	2	51	2	1	3	0	1	4	3	1	3	0					
		1.07%	1.17%	0.84%	0.79%	1.24%	1.12%	1.25%	1.08%	2.39%	1.25%	0.19%	1.69%	0.76%	4.23%	5.81%	0.68%	0.00%	0.86%	0.61%	0.74%	0.49%	0.00%	0.54%	0.00%	0.00%	0.60%	2.74%	2.88%	1.03%	0.74%	0.43%	0.00%	1.16%	1.17%	0.50%	0.50%	0.59%	0.00%					
21	. Путин Владимир Владимирович	16110	910	911	819	691	667	747	1016	395	448	1400	98	818	125	67	248	87	803	124	97	913	92	292	76	90	419	61	1239	163	124	578	115	76	285	421	134	390	171					
		74.52%	62.80%	76.49%	72.03%	71.53%	67.99%	72.10%	72.99%	72.61%	62.14%	90.09%	83.05%	69.38%	66.14%	77.91%	84.64%	91.58%	76.77%	76.07%	71.32%	74.96%	85.19%	79.35%	79.17%	89.11%	83.47%	83.56%	69.88%	83.59%	91.18%	82.93%	77.70%	88.37%	83.33%	69.70%	66.34%	76.47%	93.96%					
22	. Хакамада Ирина Муцуовна	834	70	57	47	30	33	56	53	26	20	24	0	55	1	1	6	1	30	0	5	48	3	31	6	1	21	2	57	11	1	30	5	0	16	36	2	44	5					
		3.86%	4.83%	4.79%	4.13%	3.11%	3.36%	5.41%	3.81%	4.78%	2.77%	1.54%	0.00%	4.66%	0.53%	1.16%	2.05%	1.05%	2.87%	0.00%	3.68%	3.94%	2.78%	8.42%	6.25%	0.99%	4.18%	2.74%	3.21%	5.64%	0.74%	4.30%	3.38%	0.00%	4.68%	5.96%	0.99%	8.63%	2.75%					
23	. Харитонов Николай Михайлович	2926	299	119	154	160	190	116	184	51	179	41	7	205	40	7	25	3	172	22	28	217	9	24	10	7	46	5	261	10	7	49	20	5	22	114	54	58	6					
		13.54%	20.63%	9.99%	13.54%	16.56%	19.37%	11.20%	13.22%	9.38%	24.83%	2.64%	5.93%	17.39%	21.16%	8.14%	8.53%	3.16%	16.44%	13.50%	20.59%	17.82%	8.33%	6.52%	10.42%	6.93%	9.16%	6.85%	14.72%	5.13%	5.15%	7.03%	13.51%	5.81%	6.43%	18.87%	26.73%	11.37%	3.30%					
																																												
24	Против всех	352	39	29	23	23	14	21	34	16	10	32	3	14	0	4	2	4	3	2	1	7	2	4	0	0	1	0	43	4	1	3	1	0	2	6	0	4	0					
		1.63%	2.69%	2.43%	2.02%	2.38%	1.43%	2.03%	2.44%	2.94%	1.39%	2.06%	2.54%	1.19%	0.00%	4.65%	0.68%	4.21%	0.29%	1.23%	0.74%	0.57%	1.85%	1.09%	0.00%	0.00%	0.20%	0.00%	2.43%	2.05%	0.74%	0.43%	0.68%	0.00%	0.58%	0.99%	0.00%	0.78%	0.00%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
