Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Бокситогорская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	478	54	58	35	70	58	49	14	2	1	7	3	0	3	1	12	2	3	1	10	6	4	17	16	5	2	0	2	6	0	4	0	0	1	0	2	1	0	1	13	0	0	5	2	1	3	4	0					
		2.72%	3.48%	3.62%	3.02%	4.26%	4.26%	3.33%	1.66%	1.72%	0.96%	2.63%	0.98%	0.00%	4.55%	1.00%	1.90%	2.00%	3.41%	1.47%	3.68%	1.14%	4.65%	2.90%	2.25%	1.89%	3.70%	0.00%	0.80%	1.51%	0.00%	3.67%	0.00%	0.00%	0.79%	0.00%	0.97%	1.61%	0.00%	2.00%	2.75%	0.00%	0.00%	2.44%	1.40%	1.37%	0.93%	1.15%	0.00%					
19	. Малышкин Олег Александрович	255	17	22	22	20	26	21	12	0	1	1	2	1	0	1	14	1	1	0	6	12	1	6	12	5	0	3	1	4	1	2	4	0	3	5	2	1	0	0	8	2	3	2	1	1	7	1	0					
		1.45%	1.09%	1.37%	1.90%	1.22%	1.91%	1.43%	1.42%	0.00%	0.96%	0.38%	0.65%	2.04%	0.00%	1.00%	2.22%	1.00%	1.14%	0.00%	2.21%	2.29%	1.16%	1.02%	1.69%	1.89%	0.00%	3.49%	0.40%	1.01%	1.61%	1.83%	2.03%	0.00%	2.36%	9.26%	0.97%	1.61%	0.00%	0.00%	1.69%	1.65%	3.09%	0.98%	0.70%	1.37%	2.16%	0.29%	0.00%					
20	. Миронов Сергей Михайлович	193	14	12	18	22	22	14	6	1	0	2	3	0	0	1	6	0	0	0	2	6	1	8	16	3	0	0	2	4	0	2	3	0	0	0	0	1	0	0	10	2	2	2	0	0	2	5	1					
		1.10%	0.90%	0.75%	1.55%	1.34%	1.62%	0.95%	0.71%	0.86%	0.00%	0.75%	0.98%	0.00%	0.00%	1.00%	0.95%	0.00%	0.00%	0.00%	0.74%	1.14%	1.16%	1.37%	2.25%	1.14%	0.00%	0.00%	0.80%	1.01%	0.00%	1.83%	1.52%	0.00%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	2.11%	1.65%	2.06%	0.98%	0.00%	0.00%	0.62%	1.43%	3.33%					
21	. Путин Владимир Владимирович	13905	1138	1210	868	1237	1034	1133	703	91	85	218	283	41	53	78	531	85	65	58	227	425	68	481	567	230	44	64	196	305	35	76	164	79	110	41	201	54	69	43	389	104	78	158	120	62	276	300	28					
		78.99%	73.28%	75.58%	74.96%	75.33%	75.92%	77.07%	83.20%	78.45%	81.73%	81.95%	92.48%	83.67%	80.30%	78.00%	84.15%	85.00%	73.86%	85.29%	83.46%	80.95%	79.07%	82.08%	79.75%	87.12%	81.48%	74.42%	78.09%	76.63%	56.45%	69.72%	83.25%	86.81%	86.61%	75.93%	97.10%	87.10%	95.83%	86.00%	82.24%	85.95%	80.41%	77.07%	83.92%	84.93%	85.19%	85.96%	93.33%					
22	. Хакамада Ирина Муцуовна	350	42	51	24	45	35	33	10	2	2	7	3	0	0	4	5	2	1	1	3	14	1	7	16	1	2	2	3	10	0	0	0	1	1	2	0	0	0	0	5	2	1	2	1	2	1	6	0					
		1.99%	2.70%	3.19%	2.07%	2.74%	2.57%	2.24%	1.18%	1.72%	1.92%	2.63%	0.98%	0.00%	0.00%	4.00%	0.79%	2.00%	1.14%	1.47%	1.10%	2.67%	1.16%	1.19%	2.25%	0.38%	3.70%	2.33%	1.20%	2.51%	0.00%	0.00%	0.00%	1.10%	0.79%	3.70%	0.00%	0.00%	0.00%	0.00%	1.06%	1.65%	1.03%	0.98%	0.70%	2.74%	0.31%	1.72%	0.00%					
23	. Харитонов Николай Михайлович	1935	222	189	141	181	133	181	84	17	15	25	6	7	10	12	56	10	14	8	22	47	10	58	70	20	6	15	31	62	23	22	24	9	10	6	1	5	3	6	41	11	12	29	15	3	33	30	0					
		10.99%	14.29%	11.81%	12.18%	11.02%	9.77%	12.31%	9.94%	14.66%	14.42%	9.40%	1.96%	14.29%	15.15%	12.00%	8.87%	10.00%	15.91%	11.76%	8.09%	8.95%	11.63%	9.90%	9.85%	7.58%	11.11%	17.44%	12.35%	15.58%	37.10%	20.18%	12.18%	9.89%	7.87%	11.11%	0.48%	8.06%	4.17%	12.00%	8.67%	9.09%	12.37%	14.15%	10.49%	4.11%	10.19%	8.60%	0.00%					
																																																						
24	Против всех	412	56	45	46	57	51	30	14	3	0	6	4	0	0	3	7	0	4	0	2	12	1	5	10	0	0	2	13	7	2	3	2	1	2	0	1	0	0	0	7	0	1	6	1	4	2	1	1					
		2.34%	3.61%	2.81%	3.97%	3.47%	3.74%	2.04%	1.66%	2.59%	0.00%	2.26%	1.31%	0.00%	0.00%	3.00%	1.11%	0.00%	4.55%	0.00%	0.74%	2.29%	1.16%	0.85%	1.41%	0.00%	0.00%	2.33%	5.18%	1.76%	3.23%	2.75%	1.02%	1.10%	1.57%	0.00%	0.48%	0.00%	0.00%	0.00%	1.48%	0.00%	1.03%	2.93%	0.70%	5.48%	0.62%	0.29%	3.33%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
