Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Семеновская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2488					
		2.77%	2.95%	2.38%	2.85%	2.48%	3.66%	4.13%	2.34%	3.19%	2.94%	2.78%	2.31%	3.31%	3.20%	3.23%	1.91%	1.29%	0.00%	1.35%	4.30%	10.07%	1.09%	4.95%	1.10%	6.32%	1.48%	1.09%	3.76%	1.95%	1.87%	4.23%	4.10%	2.09%	2.47%	0.89%	3.93%	2.17%	4.44%	2.94%	3.92%	0.68%	0.00%	2.84%	0.86%	0.43%	2.41%	3.45%	1.57%	2.67%					
20	. Миронов Сергей Михайлович	164	9	4	11	1	7	5	11	4	6	4	4	2	5	2	0	2	1	2	0	0	0	2	2	2	3	0	2	1	5	1	7	6	1	4	7	1	1	5	6	0	2	0	3	1	1	16	4	1					
		0.70%	1.16%	0.53%	1.21%	0.13%	0.95%	0.56%	1.51%	0.53%	0.65%	0.48%	0.49%	0.22%	0.55%	0.32%	0.00%	1.29%	1.20%	0.39%	0.00%	0.00%	0.00%	1.10%	0.37%	0.70%	0.55%	0.00%	0.58%	0.39%	0.62%	0.47%	1.59%	0.84%	0.62%	1.18%	2.50%	0.43%	0.37%	0.77%	0.87%	0.00%	1.35%	0.00%	0.64%	0.43%	0.34%	1.35%	0.48%	0.67%					
21	. Путин Владимир Владимирович	16436	562	504	606	514	526	615	455	518	602	531	606	620	597	431	120	120	72	365	186	106	136	136	371	193	451	159	201	185	592	156	289	484	126	270	190	190	182	459	479	112	118	118	353	201	209	731	567	122					
		69.71%	72.14%	66.58%	66.52%	67.10%	71.27%	68.72%	62.59%	68.88%	65.58%	64.21%	73.63%	68.51%	65.89%	69.63%	76.43%	77.42%	86.75%	70.33%	72.66%	71.14%	74.32%	74.73%	68.07%	67.72%	83.36%	86.89%	58.09%	71.98%	73.63%	73.24%	65.83%	67.50%	77.78%	79.88%	67.86%	82.61%	67.41%	71.05%	69.52%	75.68%	79.73%	67.05%	75.59%	87.39%	72.07%	61.58%	68.48%	81.33%					
22	. Хакамада Ирина Муцуовна	776	37	44	47	49	25	43	29	27	53	37	34	28	43	11	3	0	0	14	10	3	3	2	25	9	11	2	9	2	14	2	7	10	2	9	2	9	0	23	25	10	5	6	5	0	3	33	10	1					
		3.29%	4.75%	5.81%	5.16%	6.40%	3.39%	4.80%	3.99%	3.59%	5.77%	4.47%	4.13%	3.09%	4.75%	1.78%	1.91%	0.00%	0.00%	2.70%	3.91%	2.01%	1.64%	1.10%	4.59%	3.16%	2.03%	1.09%	2.60%	0.78%	1.74%	0.94%	1.59%	1.39%	1.23%	2.66%	0.71%	3.91%	0.00%	3.56%	3.63%	6.76%	3.38%	3.41%	1.07%	0.00%	1.03%	2.78%	1.21%	0.67%					
23	. Харитонов Николай Михайлович	4015	99	130	153	88	100	113	143	125	158	155	104	173	175	112	21	28	8	103	33	24	30	29	111	43	48	17	85	47	151	38	71	174	23	35	55	21	64	101	112	18	20	39	81	19	55	272	193	18					
		17.03%	12.71%	17.17%	16.79%	11.49%	13.55%	12.63%	19.67%	16.62%	17.21%	18.74%	12.64%	19.12%	19.32%	18.09%	13.38%	18.06%	9.64%	19.85%	12.89%	16.11%	16.39%	15.93%	20.37%	15.09%	8.87%	9.29%	24.57%	18.29%	18.78%	17.84%	16.17%	24.27%	14.20%	10.36%	19.64%	9.13%	23.70%	15.63%	16.26%	12.16%	13.51%	22.16%	17.34%	8.26%	18.97%	22.91%	23.31%	12.00%					
																																																							
24	Против всех	646	25	28	30	50	23	38	37	25	27	33	25	10	27	15	4	1	0	13	5	0	4	0	17	15	7	1	11	10	8	2	6	10	1	6	3	1	3	20	15	2	0	2	8	2	6	44	26	0					
		2.74%	3.21%	3.70%	3.29%	6.53%	3.12%	4.25%	5.09%	3.32%	2.94%	3.99%	3.04%	1.10%	2.98%	2.42%	2.55%	0.65%	0.00%	2.50%	1.95%	0.00%	2.19%	0.00%	3.12%	5.26%	1.29%	0.55%	3.18%	3.89%	1.00%	0.94%	1.37%	1.39%	0.62%	1.78%	1.07%	0.43%	1.11%	3.10%	2.18%	1.35%	0.00%	1.14%	1.71%	0.87%	2.07%	3.71%	3.14%	0.00%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
