Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Приморская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811					
		2.64%	2.61%	3.85%	4.98%	1.42%	2.30%	4.19%	4.18%	0.96%	3.64%	2.56%	2.03%	3.66%	0.62%	0.00%	2.08%	0.00%	3.71%	2.91%	2.86%	4.90%	2.43%	0.73%	2.27%	3.61%	1.77%	2.54%	5.23%	2.08%	3.00%	3.80%	2.01%	3.85%	2.20%	0.00%	1.69%	2.00%	4.48%	0.59%	1.15%	0.69%	0.00%	1.76%	0.00%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
