Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Вурнарская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195					
14	Число неиспользованных открепительных удостоверений	347	19	38	6	11	4	18	0	22	9	5	14	7	12	0	7	5	4	0	2	0	0	5	0	0	8	0	0	4	2	12	0	9	1	2	11	7	5	3	0	4	0	1	1	14	7	0	4	5	0	13	13	10	15	8					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	320	38	27	31	28	2	8	5	6	2	4	5	0	3	0	3	0	0	4	0	6	7	4	2	6	2	12	1	6	5	3	2	8	7	0	6	0	9	3	5	9	4	0	1	3	1	2	2	10	4	3	8	5	5	3					
		1.57%	3.37%	2.68%	3.48%	2.17%	0.79%	1.95%	1.59%	1.47%	0.98%	1.68%	1.38%	0.00%	0.90%	0.00%	1.83%	0.00%	0.00%	0.82%	0.00%	1.35%	1.89%	0.78%	0.93%	0.88%	0.97%	1.50%	0.36%	1.85%	2.05%	0.72%	0.58%	2.17%	2.45%	0.00%	1.54%	0.00%	1.81%	1.06%	1.14%	1.68%	1.31%	0.00%	0.50%	0.87%	0.44%	0.60%	1.31%	2.39%	1.15%	0.84%	2.37%	1.09%	1.17%	1.75%					
19	. Малышкин Олег Александрович	423	19	15	15	41	2	10	7	6	9	6	2	4	4	6	3	2	6	19	1	9	3	15	4	16	2	7	7	6	3	4	13	11	3	2	9	8	7	4	4	11	4	2	8	13	7	2	1	6	5	3	13	14	16	4					
		2.07%	1.68%	1.49%	1.68%	3.18%	0.79%	2.44%	2.23%	1.47%	4.41%	2.52%	0.55%	2.26%	1.20%	3.28%	1.83%	1.39%	7.23%	3.88%	1.75%	2.02%	0.81%	2.91%	1.86%	2.36%	0.97%	0.87%	2.52%	1.85%	1.23%	0.96%	3.76%	2.99%	1.05%	1.80%	2.31%	3.40%	1.41%	1.41%	0.91%	2.05%	1.31%	1.12%	4.02%	3.78%	3.08%	0.60%	0.65%	1.43%	1.43%	0.84%	3.86%	3.06%	3.74%	2.34%					
20	. Миронов Сергей Михайлович	149	7	7	1	13	5	0	1	1	0	1	3	2	5	2	2	1	0	8	1	4	8	3	0	2	1	9	3	0	0	2	3	4	3	2	3	2	4	2	2	4	4	0	0	3	0	3	4	0	2	2	3	3	1	3					
		0.73%	0.62%	0.69%	0.11%	1.01%	1.97%	0.00%	0.32%	0.25%	0.00%	0.42%	0.83%	1.13%	1.50%	1.09%	1.22%	0.69%	0.00%	1.63%	1.75%	0.90%	2.16%	0.58%	0.00%	0.29%	0.48%	1.12%	1.08%	0.00%	0.00%	0.48%	0.87%	1.09%	1.05%	1.80%	0.77%	0.85%	0.80%	0.71%	0.46%	0.74%	1.31%	0.00%	0.00%	0.87%	0.00%	0.90%	2.61%	0.00%	0.57%	0.56%	0.89%	0.66%	0.23%	1.75%					
21	. Путин Владимир Владимирович	13887	657	648	599	894	167	279	204	267	159	137	256	131	183	124	88	105	57	340	36	312	264	301	164	432	128	576	176	178	190	304	278	237	235	97	276	156	315	203	357	419	186	143	150	222	151	256	111	302	227	219	240	340	294	117					
		68.11%	58.24%	64.22%	67.15%	69.25%	65.75%	68.05%	64.97%	65.44%	77.94%	57.56%	70.52%	74.01%	54.79%	67.76%	53.66%	72.92%	68.67%	69.39%	63.16%	70.11%	71.35%	58.45%	76.28%	63.62%	61.84%	71.82%	63.31%	54.94%	77.87%	73.25%	80.35%	64.40%	82.17%	87.39%	70.77%	66.38%	63.25%	71.73%	81.51%	78.03%	60.78%	79.89%	75.38%	64.53%	66.52%	77.11%	72.55%	72.08%	65.04%	61.17%	71.22%	74.24%	68.69%	68.42%					
22	. Хакамада Ирина Муцуовна	284	24	23	17	26	2	8	3	6	4	6	2	2	4	0	3	3	1	10	3	4	4	10	1	8	1	13	0	7	1	4	4	0	3	2	8	2	4	0	7	4	7	1	1	1	2	6	2	3	5	3	3	5	9	2					
		1.39%	2.13%	2.28%	1.91%	2.01%	0.79%	1.95%	0.96%	1.47%	1.96%	2.52%	0.55%	1.13%	1.20%	0.00%	1.83%	2.08%	1.20%	2.04%	5.26%	0.90%	1.08%	1.94%	0.47%	1.18%	0.48%	1.62%	0.00%	2.16%	0.41%	0.96%	1.16%	0.00%	1.05%	1.80%	2.05%	0.85%	0.80%	0.00%	1.60%	0.74%	2.29%	0.56%	0.50%	0.29%	0.88%	1.81%	1.31%	0.72%	1.43%	0.84%	0.89%	1.09%	2.10%	1.17%					
23	. Харитонов Николай Михайлович	4517	338	252	208	244	65	96	88	111	28	72	88	33	115	43	61	29	19	90	11	87	69	165	39	195	63	157	58	112	33	84	36	76	30	6	39	54	148	57	50	70	83	22	33	99	59	54	27	56	100	123	55	72	80	35					
		22.15%	29.96%	24.98%	23.32%	18.90%	25.59%	23.41%	28.03%	27.21%	13.73%	30.25%	24.24%	18.64%	34.43%	23.50%	37.20%	20.14%	22.89%	18.37%	19.30%	19.55%	18.65%	32.04%	18.14%	28.72%	30.43%	19.58%	20.86%	34.57%	13.52%	20.24%	10.40%	20.65%	10.49%	5.41%	10.00%	22.98%	29.72%	20.14%	11.42%	13.04%	27.12%	12.29%	16.58%	28.78%	25.99%	16.27%	17.65%	13.37%	28.65%	34.36%	16.32%	15.72%	18.69%	20.47%					
																																																													
24	Против всех	220	13	20	11	20	2	3	1	2	1	4	3	4	2	3	1	0	0	4	3	3	2	6	1	9	3	15	4	3	0	4	8	5	2	0	5	1	3	4	4	4	4	2	1	1	0	3	2	1	3	3	3	4	10	0					
		1.08%	1.15%	1.98%	1.23%	1.55%	0.79%	0.73%	0.32%	0.49%	0.49%	1.68%	0.83%	2.26%	0.60%	1.64%	0.61%	0.00%	0.00%	0.82%	5.26%	0.67%	0.54%	1.17%	0.47%	1.33%	1.45%	1.87%	1.44%	0.93%	0.00%	0.96%	2.31%	1.36%	0.70%	0.00%	1.28%	0.43%	0.60%	1.41%	0.91%	0.74%	1.31%	1.12%	0.50%	0.29%	0.00%	0.90%	1.31%	0.24%	0.86%	0.84%	0.89%	0.87%	2.34%	0.00%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
