Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Рузаевская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591					
11	Число полученных открепительных  удостоверений	987	25	25	35	45	15	15	25	20	25	25	20	25	30	25	15	25	25	25	25	20	20	25	25	25	25	32	20	5	15	10	10	15	25	10	20	20	15	20	10	5	20	20	15	15	10	5	10	10	10	5	5	5	15	0	0					
12	Число выданных открепительных удостоверений	553	12	22	28	45	6	15	18	7	11	13	5	21	30	25	4	14	22	15	17	11	6	11	11	21	13	32	7	0	5	1	3	5	24	8	10	5	0	15	2	0	12	8	1	4	1	0	0	2	1	0	1	2	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	324	7	20	6	13	2	4	4	2	4	6	4	8	15	28	0	8	1	4	6	2	4	0	3	4	0	8	2	4	4	0	4	0	7	4	3	0	1	1	2	1	1	2	2	3	0	2	5	6	0	4	1	5	1	38	58					
14	Число неиспользованных открепительных удостоверений	434	13	3	7	0	9	0	7	13	14	12	15	4	0	0	11	11	3	10	8	9	14	14	14	4	12	0	13	5	10	9	7	10	1	2	10	15	15	5	8	5	8	12	14	11	9	5	10	8	9	5	4	3	14	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	764	8	30	15	64	16	6	32	11	12	55	17	17	14	25	6	26	10	51	7	18	11	30	33	48	35	24	6	3	6	3	3	4	5	3	3	12	7	19	5	0	7	17	13	3	3	2	2	1	3	0	0	3	2	0	8					
		1.55%	0.53%	2.14%	1.01%	4.16%	1.92%	0.95%	2.29%	1.43%	0.97%	3.08%	2.01%	1.46%	0.84%	1.80%	1.42%	2.17%	0.58%	3.27%	0.36%	2.09%	1.46%	1.89%	2.24%	2.97%	2.63%	1.31%	0.68%	1.02%	1.10%	0.51%	0.59%	0.78%	0.92%	0.92%	0.42%	1.32%	1.36%	1.52%	1.30%	0.00%	0.58%	1.32%	1.48%	0.52%	1.17%	1.16%	0.40%	0.21%	0.95%	0.00%	0.00%	0.96%	0.33%	0.00%	4.68%					
19	. Малышкин Олег Александрович	579	4	10	19	38	4	16	26	4	7	19	9	12	13	35	3	19	10	33	11	9	13	16	31	25	20	16	13	1	2	8	1	2	10	3	2	17	4	26	1	0	3	9	20	4	4	0	4	7	4	0	0	2	4	3	3					
		1.18%	0.26%	0.71%	1.28%	2.47%	0.48%	2.53%	1.86%	0.52%	0.57%	1.06%	1.06%	1.03%	0.78%	2.52%	0.71%	1.59%	0.58%	2.12%	0.57%	1.05%	1.72%	1.01%	2.11%	1.55%	1.50%	0.87%	1.48%	0.34%	0.37%	1.35%	0.20%	0.39%	1.85%	0.92%	0.28%	1.86%	0.78%	2.08%	0.26%	0.00%	0.25%	0.70%	2.28%	0.69%	1.56%	0.00%	0.80%	1.48%	1.27%	0.00%	0.00%	0.64%	0.66%	4.23%	1.75%					
20	. Миронов Сергей Михайлович	173	2	7	7	5	3	6	10	3	5	5	5	10	4	5	2	7	7	10	6	2	2	2	3	9	2	9	3	0	2	3	0	0	2	0	0	6	1	4	0	0	2	6	4	0	0	0	0	0	1	0	0	0	0	0	1					
		0.35%	0.13%	0.50%	0.47%	0.33%	0.36%	0.95%	0.72%	0.39%	0.40%	0.28%	0.59%	0.86%	0.24%	0.36%	0.47%	0.58%	0.41%	0.64%	0.31%	0.23%	0.26%	0.13%	0.20%	0.56%	0.15%	0.49%	0.34%	0.00%	0.37%	0.51%	0.00%	0.00%	0.37%	0.00%	0.00%	0.66%	0.19%	0.32%	0.00%	0.00%	0.17%	0.47%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%					
21	. Путин Владимир Владимирович	42048	1460	1223	1287	1024	758	568	1075	699	1112	1392	655	1050	1490	1136	340	923	1540	1176	1724	664	590	1333	1147	1410	1072	1662	702	280	504	545	470	494	489	275	674	829	437	1048	323	195	1105	1186	688	547	233	149	454	426	280	94	86	296	555	53	121					
		85.51%	95.99%	87.17%	86.67%	66.58%	91.00%	89.73%	76.95%	91.13%	90.04%	77.90%	77.33%	89.97%	89.01%	81.79%	80.57%	77.11%	89.28%	75.43%	89.28%	77.12%	78.15%	83.94%	77.97%	87.31%	80.66%	90.57%	80.14%	94.92%	92.48%	92.22%	92.52%	95.92%	90.22%	84.10%	95.06%	90.90%	85.19%	83.91%	84.11%	92.42%	92.01%	92.08%	78.36%	93.99%	90.66%	86.63%	90.98%	90.06%	88.89%	78.99%	95.56%	95.18%	92.04%	74.65%	70.76%					
22	. Хакамада Ирина Муцуовна	375	3	15	8	36	5	1	15	3	6	19	13	9	12	20	0	19	5	17	3	9	4	15	14	13	12	14	16	1	2	1	0	2	3	2	0	7	3	7	0	0	3	8	8	4	2	0	1	4	0	1	1	2	3	1	3					
		0.76%	0.20%	1.07%	0.54%	2.34%	0.60%	0.16%	1.07%	0.39%	0.49%	1.06%	1.53%	0.77%	0.72%	1.44%	0.00%	1.59%	0.29%	1.09%	0.16%	1.05%	0.53%	0.94%	0.95%	0.80%	0.90%	0.76%	1.83%	0.34%	0.37%	0.17%	0.00%	0.39%	0.55%	0.61%	0.00%	0.77%	0.58%	0.56%	0.00%	0.00%	0.25%	0.62%	0.91%	0.69%	0.78%	0.00%	0.20%	0.85%	0.00%	0.84%	1.11%	0.64%	0.50%	1.41%	1.75%					
23	. Харитонов Николай Михайлович	4166	39	103	111	314	34	17	185	38	79	261	135	54	121	128	66	167	117	220	173	81	103	147	210	103	153	88	111	8	19	23	17	10	33	22	26	30	54	79	19	16	70	49	110	17	10	13	33	28	25	21	2	7	38	7	22					
		8.47%	2.56%	7.34%	7.47%	20.42%	4.08%	2.69%	13.24%	4.95%	6.40%	14.61%	15.94%	4.63%	7.23%	9.22%	15.64%	13.95%	6.78%	14.11%	8.96%	9.41%	13.64%	9.26%	14.28%	6.38%	11.51%	4.80%	12.67%	2.71%	3.49%	3.89%	3.35%	1.94%	6.09%	6.73%	3.67%	3.29%	10.53%	6.33%	4.95%	7.58%	5.83%	3.80%	12.53%	2.92%	3.89%	7.56%	6.61%	5.92%	7.94%	17.65%	2.22%	2.25%	6.30%	9.86%	12.87%					
																																																														
24	Против всех	645	3	13	30	49	9	18	46	7	8	27	11	8	14	28	3	32	22	45	4	14	20	17	25	7	29	18	17	0	2	8	6	0	0	7	0	9	7	24	0	0	6	8	19	1	0	2	5	2	2	3	0	0	1	3	6					
		1.31%	0.20%	0.93%	2.02%	3.19%	1.08%	2.84%	3.29%	0.91%	0.65%	1.51%	1.30%	0.69%	0.84%	2.02%	0.71%	2.67%	1.28%	2.89%	0.21%	1.63%	2.65%	1.07%	1.70%	0.43%	2.18%	0.98%	1.94%	0.00%	0.37%	1.35%	1.18%	0.00%	0.00%	2.14%	0.00%	0.99%	1.36%	1.92%	0.00%	0.00%	0.50%	0.62%	2.16%	0.17%	0.00%	1.16%	1.00%	0.42%	0.63%	2.52%	0.00%	0.00%	0.17%	4.23%	3.51%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
