Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Лениногорская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879					
11	Число полученных открепительных  удостоверений	399	17	20	20	6	0	9	15	12	12	5	14	14	10	8	21	17	12	14	6	5	16	6	5	22	10	14	18	6	5	14	6	6	8	10	10	6					
12	Число выданных открепительных удостоверений	255	4	13	19	1	0	4	12	12	7	5	14	6	10	5	21	17	10	8	6	2	14	6	2	12	6	6	5	3	2	7	0	0	3	3	8	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	227	11	3	4	4	1	4	2	6	2	0	5	7	3	4	8	9	2	7	4	3	3	2	4	9	62	15	8	7	1	10	1	1	4	7	1	3					
14	Число неиспользованных открепительных удостоверений	144	13	7	1	5	0	5	3	0	5	0	0	8	0	3	0	0	2	6	0	3	2	0	3	10	4	8	13	3	3	7	6	6	5	7	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	204	9	15	6	0	4	6	10	31	10	0	20	0	9	20	10	0	0	0	6	2	13	4	2	9	1	0	0	0	4	9	0	1	0	3	0	0					
		1.25%	2.09%	2.45%	1.53%	0.00%	3.54%	2.31%	1.86%	4.91%	1.74%	0.00%	2.15%	0.00%	3.38%	3.08%	1.43%	0.00%	0.00%	0.00%	1.03%	1.27%	2.43%	0.75%	0.81%	1.27%	0.40%	0.00%	0.00%	0.00%	3.54%	1.42%	0.00%	0.37%	0.00%	0.60%	0.00%	0.00%					
19	. Малышкин Олег Александрович	134	19	19	0	0	0	0	8	24	2	0	15	0	3	5	9	0	2	0	0	1	0	0	0	1	0	0	2	0	1	20	0	0	0	3	0	0					
		0.82%	4.41%	3.10%	0.00%	0.00%	0.00%	0.00%	1.49%	3.80%	0.35%	0.00%	1.61%	0.00%	1.13%	0.77%	1.29%	0.00%	1.02%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.28%	0.00%	0.88%	3.15%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	123	0	6	0	0	0	3	5	3	3	0	15	1	2	12	8	0	0	10	0	2	4	0	0	9	0	3	0	0	2	11	0	0	0	24	0	0					
		0.76%	0.00%	0.98%	0.00%	0.00%	0.00%	1.15%	0.93%	0.48%	0.52%	0.00%	1.61%	0.27%	0.75%	1.85%	1.14%	0.00%	0.00%	1.31%	0.00%	1.27%	0.75%	0.00%	0.00%	1.27%	0.00%	0.41%	0.00%	0.00%	1.77%	1.74%	0.00%	0.00%	0.00%	4.79%	0.00%	0.00%					
21	. Путин Владимир Владимирович	14571	376	517	363	113	103	247	453	504	514	413	771	346	207	549	565	594	177	660	547	142	461	507	228	638	248	675	701	327	88	515	227	268	340	461	335	391					
		89.47%	87.24%	84.34%	92.37%	95.76%	91.15%	95.00%	84.36%	79.87%	89.24%	95.16%	82.73%	92.02%	77.82%	84.46%	80.83%	92.81%	90.31%	86.61%	93.99%	89.87%	86.01%	94.94%	92.68%	90.11%	98.80%	93.23%	97.23%	95.06%	77.88%	81.23%	99.13%	98.17%	99.42%	92.02%	91.28%	98.99%					
22	. Хакамада Ирина Муцуовна	204	5	6	8	0	0	0	9	16	10	0	12	1	6	6	19	8	4	25	3	0	0	3	0	10	0	6	1	0	3	25	1	2	1	0	14	0					
		1.25%	1.16%	0.98%	2.04%	0.00%	0.00%	0.00%	1.68%	2.54%	1.74%	0.00%	1.29%	0.27%	2.26%	0.92%	2.72%	1.25%	2.04%	3.28%	0.52%	0.00%	0.00%	0.56%	0.00%	1.41%	0.00%	0.83%	0.14%	0.00%	2.65%	3.94%	0.44%	0.73%	0.29%	0.00%	3.81%	0.00%					
23	. Харитонов Николай Михайлович	819	13	35	16	5	6	4	37	33	35	21	75	28	28	42	67	21	11	50	18	11	44	17	16	30	1	37	16	17	11	48	1	2	0	9	10	4					
		5.03%	3.02%	5.71%	4.07%	4.24%	5.31%	1.54%	6.89%	5.23%	6.08%	4.84%	8.05%	7.45%	10.53%	6.46%	9.59%	3.28%	5.61%	6.56%	3.09%	6.96%	8.21%	3.18%	6.50%	4.24%	0.40%	5.11%	2.22%	4.94%	9.73%	7.57%	0.44%	0.73%	0.00%	1.80%	2.72%	1.01%					
																																											
24	Против всех	177	7	10	0	0	0	0	10	16	2	0	15	0	8	13	12	17	2	17	6	0	14	1	0	8	1	0	1	0	1	6	0	0	1	1	8	0					
		1.09%	1.62%	1.63%	0.00%	0.00%	0.00%	0.00%	1.86%	2.54%	0.35%	0.00%	1.61%	0.00%	3.01%	2.00%	1.72%	2.66%	1.02%	2.23%	1.03%	0.00%	2.61%	0.19%	0.00%	1.13%	0.40%	0.00%	0.14%	0.00%	0.88%	0.95%	0.00%	0.00%	0.29%	0.20%	2.18%	0.00%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
