Выборы Президента Российской Федерации																																													
																																													
"Наименование Избирательной комиссии:    Прокопьевск, Центральная"																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917					
		80.04%	86.12%	74.25%	100.00%	100.00%	67.96%	86.29%	82.67%	81.97%	88.32%	100.00%	100.00%	74.76%	82.52%	72.78%	71.84%	100.00%	81.19%	74.72%	100.00%	86.05%	86.27%	67.26%	81.98%	74.64%	76.01%	89.75%	100.00%	79.31%	90.59%	88.80%	75.13%	76.59%	94.00%	79.83%	69.26%	67.75%	85.33%	75.54%					
22	. Хакамада Ирина Муцуовна	652	6	42	0	0	53	8	8	29	5	0	0	40	10	9	48	0	16	37	0	4	3	12	13	18	33	15	0	34	10	2	9	16	0	40	46	45	11	30					
		1.65%	0.52%	2.79%	0.00%	0.00%	3.68%	0.47%	0.52%	1.45%	0.91%	0.00%	0.00%	3.26%	0.59%	2.58%	2.96%	0.00%	1.87%	3.01%	0.00%	0.45%	0.37%	1.26%	1.13%	1.63%	2.55%	1.01%	0.00%	2.05%	0.56%	0.12%	1.52%	1.46%	0.00%	1.94%	4.84%	4.17%	0.73%	1.71%					
23	. Харитонов Николай Михайлович	3406	127	160	0	0	189	144	160	124	25	0	0	105	116	25	198	0	32	106	0	70	52	191	73	81	135	68	0	116	112	100	69	102	1	164	127	139	121	174					
		8.62%	10.95%	10.62%	0.00%	0.00%	13.13%	8.51%	10.31%	6.19%	4.56%	0.00%	0.00%	8.55%	6.83%	7.16%	12.20%	0.00%	3.74%	8.62%	0.00%	7.81%	6.49%	19.98%	6.33%	7.34%	10.45%	4.56%	0.00%	7.00%	6.27%	5.87%	11.68%	9.29%	0.67%	7.95%	13.37%	12.88%	8.00%	9.92%					
																																													
24	Против всех	950	6	60	0	0	59	35	8	59	13	0	0	64	43	6	73	0	16	54	0	4	8	23	24	40	33	11	0	46	7	10	19	37	1	56	29	54	15	37					
		2.40%	0.52%	3.98%	0.00%	0.00%	4.10%	2.07%	0.52%	2.95%	2.37%	0.00%	0.00%	5.21%	2.53%	1.72%	4.50%	0.00%	1.87%	4.39%	0.00%	0.45%	1.00%	2.41%	2.08%	3.62%	2.55%	0.74%	0.00%	2.77%	0.39%	0.59%	3.21%	3.37%	0.67%	2.72%	3.05%	5.00%	0.99%	2.11%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
