Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Новошешминская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №106	УИК №107	УИК №108	УИК  2328	УИК  2329	УИК  2330	УИК  2331	УИК  2332	УИК  2333	УИК  2334	УИК  2335	УИК  2336	УИК  2337	УИК  2338	УИК  2339	УИК  2340	УИК  2341	УИК  2342	УИК  2343	УИК  2344	УИК  2345	УИК  2346	УИК  2347	УИК  2348	УИК  2349	УИК  2350	УИК  2351					
12	Число выданных открепительных удостоверений	121	12	5	0	2	0	1	4	2	18	1	0	2	2	0	11	4	4	22	0	0	0	6	3	7	2	0	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	0	2	3	1	2	3	3	4	2	1	3	2	1	4	2	3	2	1	2	6	0	3	4	4	2	1	3					
14	Число неиспользованных открепительных удостоверений	379	23	23	5	11	10	19	15	29	21	11	17	5	4	15	17	10	20	0	6	23	5	25	23	9	18	7	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	20	2	3	0	0	0	0	2	5	3	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0					
		0.20%	0.33%	0.55%	0.00%	0.00%	0.00%	0.00%	0.48%	0.88%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.19%	0.00%	0.00%	0.20%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	21	1	2	0	0	0	0	1	3	7	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	0	1	0					
		0.21%	0.16%	0.37%	0.00%	0.00%	0.00%	0.00%	0.24%	0.53%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.44%	0.00%	0.00%	0.98%	0.00%	0.00%	0.59%	0.00%	0.68%	0.00%					
20	. Миронов Сергей Михайлович	25	5	4	0	1	0	0	2	5	3	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0					
		0.24%	0.82%	0.74%	0.00%	0.35%	0.00%	0.00%	0.48%	0.88%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.45%	0.00%	0.30%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	9980	580	514	101	267	208	416	404	534	730	236	341	160	130	313	581	285	502	445	113	499	100	653	549	331	400	143	445					
		97.51%	95.55%	94.83%	98.06%	94.35%	98.58%	99.05%	97.58%	93.68%	97.07%	97.93%	97.99%	98.16%	98.48%	99.37%	98.81%	97.94%	96.91%	97.80%	98.26%	99.60%	98.04%	98.20%	98.04%	98.22%	98.04%	97.95%	99.33%					
22	. Хакамада Ирина Муцуовна	38	2	6	2	0	2	2	2	8	2	0	0	0	1	0	2	1	0	0	0	0	0	2	3	0	2	1	0					
		0.37%	0.33%	1.11%	1.94%	0.00%	0.95%	0.48%	0.48%	1.40%	0.27%	0.00%	0.00%	0.00%	0.76%	0.00%	0.34%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.54%	0.00%	0.49%	0.68%	0.00%					
23	. Харитонов Николай Михайлович	78	12	6	0	0	1	2	3	0	4	2	5	3	0	0	2	1	7	8	0	1	1	5	6	0	5	1	3					
		0.76%	1.98%	1.11%	0.00%	0.00%	0.47%	0.48%	0.72%	0.00%	0.53%	0.83%	1.44%	1.84%	0.00%	0.00%	0.34%	0.34%	1.35%	1.76%	0.00%	0.20%	0.98%	0.75%	1.07%	0.00%	1.23%	0.68%	0.67%					
																																		
24	Против всех	13	0	2	0	3	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0					
		0.13%	0.00%	0.37%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.25%	0.00%	0.00%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
