Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Рыбно-Слободская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496					
11	Число полученных открепительных  удостоверений	500	10	5	5	5	3	3	10	5	10	10	5	5	5	5	5	5	5	5	10	5	15	5	15	10	5	10	15	10	10	10	25	25	19	25	35	25	10	10	5	5	5	5	5	5	15	5	10	10	10	10	10					
12	Число выданных открепительных удостоверений	212	0	1	0	1	0	0	2	1	9	0	0	3	0	2	0	1	2	0	3	1	4	0	8	6	0	10	3	1	4	0	20	13	9	12	35	25	2	7	0	3	0	1	0	0	0	0	10	1	7	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	0	1	0	3	1	0	2	1	0	4	3	0	1	0	0	0	1	1	1	2	1	2	2	4	1	3	0	2	1	2	8	6	2	1	7	3	3	3	0	1	3	1	0	2	1	1	0	2	1	1	4					
14	Число неиспользованных открепительных удостоверений	288	10	4	5	4	3	3	8	4	1	10	5	2	5	3	5	4	3	5	7	4	11	5	7	4	5	0	12	9	6	10	5	12	10	13	0	0	8	3	5	2	5	4	5	5	15	5	0	9	3	9	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	106	3	2	0	0	0	0	4	0	0	2	0	1	0	1	1	2	4	0	15	0	0	0	3	1	0	8	2	0	0	2	21	8	2	0	0	5	0	6	3	1	0	1	0	0	0	0	0	8	0	0	0					
		0.49%	0.57%	0.58%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.50%	0.00%	0.27%	0.00%	0.32%	0.37%	0.70%	1.06%	0.00%	3.37%	0.00%	0.00%	0.00%	0.32%	0.24%	0.00%	1.40%	0.32%	0.00%	0.00%	0.56%	2.03%	0.90%	0.25%	0.00%	0.00%	0.54%	0.00%	2.17%	1.53%	0.66%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	1.84%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	3	0	0	0	3	7	4	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.11%	0.47%	0.00%	0.52%	0.00%	0.00%	0.00%	0.84%	0.68%	0.45%	0.00%	0.00%	0.12%	0.32%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%					
20	. Миронов Сергей Михайлович	39	0	3	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	1	0	3	3	10	0	0	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	2					
		0.18%	0.00%	0.87%	0.00%	0.51%	0.00%	0.00%	0.31%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.24%	0.00%	0.84%	0.29%	1.12%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	1.02%	0.66%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%					
21	. Путин Владимир Владимирович	21136	523	326	286	192	108	175	633	392	817	401	107	363	160	311	269	279	365	184	412	125	940	102	897	413	244	539	600	413	557	332	943	825	784	843	808	885	461	266	180	148	191	156	198	179	321	165	378	412	428	553	547					
		96.81%	99.05%	94.77%	94.39%	98.46%	93.91%	98.31%	98.60%	99.49%	95.56%	99.50%	97.27%	98.11%	99.38%	99.68%	99.26%	98.24%	96.82%	99.46%	92.58%	100.00%	98.33%	98.08%	94.62%	97.41%	97.99%	94.07%	96.31%	98.10%	98.06%	93.26%	91.20%	92.80%	98.12%	98.60%	97.94%	95.37%	98.29%	96.03%	91.84%	98.01%	97.45%	99.36%	100.00%	100.00%	100.00%	98.80%	96.43%	94.93%	98.17%	99.64%	98.56%					
22	. Хакамада Ирина Муцуовна	121	0	1	0	1	0	0	3	1	10	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	0	3	0	1	4	4	41	12	13	5	8	0	3	0	2	1	0	0	0	0	0	0	1	0	0	0	1					
		0.55%	0.00%	0.29%	0.00%	0.51%	0.00%	0.00%	0.47%	0.25%	1.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.21%	0.24%	0.00%	0.52%	0.00%	0.24%	0.70%	1.12%	3.97%	1.35%	1.63%	0.58%	0.97%	0.00%	0.64%	0.00%	1.02%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.18%					
23	. Харитонов Николай Михайлович	245	2	12	13	1	7	0	0	0	18	0	0	6	0	0	0	2	4	1	10	0	10	2	31	7	5	14	15	1	3	10	6	12	0	2	3	22	2	0	7	0	3	0	0	0	0	0	3	8	0	1	2					
		1.12%	0.38%	3.49%	4.29%	0.51%	6.09%	0.00%	0.00%	0.00%	2.11%	0.00%	0.00%	1.62%	0.00%	0.00%	0.00%	0.70%	1.06%	0.54%	2.25%	0.00%	1.05%	1.92%	3.27%	1.65%	2.01%	2.44%	2.41%	0.24%	0.53%	2.81%	0.58%	1.35%	0.00%	0.23%	0.36%	2.37%	0.43%	0.00%	3.57%	0.00%	1.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	1.84%	0.00%	0.18%	0.36%					
																																																										
24	Против всех	81	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	3	1	1	4	2	9	9	0	2	2	8	0	5	2	0	0	0	0	0	0	1	4	6	0	1	2					
		0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.52%	0.16%	0.24%	0.70%	0.56%	0.87%	1.01%	0.00%	0.23%	0.24%	0.86%	0.00%	1.81%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	1.02%	1.38%	0.00%	0.18%	0.36%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
