Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Ишимская городская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	1202	23	34	43	41	29	19	61	31	27	95	37	43	49	25	30	27	40	95	37	48	40	55	18	44	25	35	14	15	21	19	18	41	20	3	0					
		3.21%	2.03%	2.71%	3.72%	4.13%	2.91%	1.65%	4.56%	3.00%	2.11%	6.32%	2.21%	2.68%	2.95%	3.21%	2.84%	3.25%	2.97%	6.77%	3.12%	3.71%	5.94%	4.31%	2.34%	2.37%	3.29%	2.49%	2.01%	1.71%	2.30%	2.32%	2.09%	4.12%	2.97%	1.50%	0.00%					
19	. Малышкин Олег Александрович	1185	33	25	17	39	34	45	65	40	40	35	48	44	49	66	31	30	43	43	36	35	15	24	23	50	29	34	20	32	33	30	29	46	18	3	1					
		3.16%	2.92%	1.99%	1.47%	3.93%	3.41%	3.90%	4.86%	3.88%	3.13%	2.33%	2.87%	2.74%	2.95%	8.46%	2.94%	3.61%	3.19%	3.06%	3.04%	2.70%	2.23%	1.88%	2.99%	2.69%	3.82%	2.42%	2.87%	3.64%	3.61%	3.67%	3.36%	4.62%	2.67%	1.50%	3.33%					
20	. Миронов Сергей Михайлович	416	6	11	9	8	11	4	46	5	21	12	9	10	17	13	9	8	6	9	6	11	23	93	4	11	5	6	7	3	6	4	4	8	8	1	2					
		1.11%	0.53%	0.88%	0.78%	0.81%	1.10%	0.35%	3.44%	0.48%	1.64%	0.80%	0.54%	0.62%	1.02%	1.67%	0.85%	0.96%	0.45%	0.64%	0.51%	0.85%	3.42%	7.29%	0.52%	0.59%	0.66%	0.43%	1.00%	0.34%	0.66%	0.49%	0.46%	0.80%	1.19%	0.50%	6.67%					
21	. Путин Владимир Владимирович	26921	896	913	838	650	743	888	814	751	951	994	1373	1187	1181	492	745	520	824	900	817	935	506	969	595	1353	520	1061	544	685	684	617	664	660	498	133	20					
		71.82%	79.15%	72.81%	72.55%	65.52%	74.52%	76.88%	60.84%	72.77%	74.47%	66.18%	81.97%	73.91%	71.14%	63.08%	70.55%	62.58%	61.17%	64.10%	68.89%	72.20%	75.19%	76.00%	77.27%	72.74%	68.42%	75.57%	78.05%	78.02%	74.92%	75.43%	77.03%	66.27%	74.00%	66.50%	66.67%					
22	. Хакамада Ирина Муцуовна	1030	23	28	36	30	27	21	64	27	50	33	16	57	34	24	27	38	49	54	49	32	28	13	24	54	15	31	18	19	18	20	10	32	19	8	2					
		2.75%	2.03%	2.23%	3.12%	3.02%	2.71%	1.82%	4.78%	2.62%	3.92%	2.20%	0.96%	3.55%	2.05%	3.08%	2.56%	4.57%	3.64%	3.85%	4.13%	2.47%	4.16%	1.02%	3.12%	2.90%	1.97%	2.21%	2.58%	2.16%	1.97%	2.44%	1.16%	3.21%	2.82%	4.00%	6.67%					
23	. Харитонов Николай Михайлович	5671	131	212	189	199	128	154	197	158	144	264	161	230	299	121	191	179	348	250	201	194	40	101	86	291	151	205	81	94	123	109	123	189	89	39	0					
		15.13%	11.57%	16.91%	16.36%	20.06%	12.84%	13.33%	14.72%	15.31%	11.28%	17.58%	9.61%	14.32%	18.01%	15.51%	18.09%	21.54%	25.84%	17.81%	16.95%	14.98%	5.94%	7.92%	11.17%	15.65%	19.87%	14.60%	11.62%	10.71%	13.47%	13.33%	14.27%	18.98%	13.22%	19.50%	0.00%					
																																										
24	Против всех	799	13	31	15	13	21	13	64	17	37	55	20	35	31	29	15	21	32	45	32	34	6	15	14	34	11	21	9	19	25	13	11	20	14	11	3					
		2.13%	1.15%	2.47%	1.30%	1.31%	2.11%	1.13%	4.78%	1.65%	2.90%	3.66%	1.19%	2.18%	1.87%	3.72%	1.42%	2.53%	2.38%	3.21%	2.70%	2.63%	0.89%	1.18%	1.82%	1.83%	1.45%	1.50%	1.29%	2.16%	2.74%	1.59%	1.28%	2.01%	2.08%	5.50%	10.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
