Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Спасская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641					
		0.51%	1.72%	1.33%	1.66%	0.18%	0.00%	0.00%	0.88%	2.44%	0.68%	1.36%	7.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.60%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.41%	0.00%	0.00%	0.00%	0.27%					
20	. Миронов Сергей Михайлович	37	5	1	2	3	0	0	2	3	1	6	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0					
		0.24%	0.86%	0.19%	0.41%	0.55%	0.00%	0.00%	0.29%	0.49%	0.14%	0.81%	0.00%	0.00%	1.55%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.19%	0.45%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	14845	532	447	404	509	654	567	591	538	705	674	60	439	123	441	114	178	159	341	329	82	674	98	114	328	134	525	216	506	133	242	258	206	238	71	248	303	415	426	470	312	108	213	720					
		95.34%	91.25%	84.98%	83.82%	93.57%	99.54%	98.10%	87.17%	87.62%	96.05%	91.33%	77.92%	98.65%	95.35%	97.78%	98.28%	97.80%	96.36%	98.55%	98.21%	100.00%	98.25%	98.00%	98.28%	97.91%	98.53%	99.24%	97.30%	97.50%	99.25%	97.98%	98.85%	100.00%	99.17%	100.00%	98.02%	98.70%	100.00%	95.09%	97.31%	96.00%	98.18%	92.61%	97.96%					
22	. Хакамада Ирина Муцуовна	82	7	8	6	2	0	2	9	10	2	12	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	3	4	0	0	2	5					
		0.53%	1.20%	1.52%	1.24%	0.37%	0.00%	0.35%	1.33%	1.63%	0.27%	1.63%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.90%	0.00%	0.00%	0.45%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.83%	0.00%	0.00%	0.87%	0.68%					
23	. Харитонов Николай Михайлович	339	18	28	33	17	0	8	51	29	14	18	8	4	4	10	0	0	3	5	6	0	2	2	1	2	1	2	4	10	0	3	3	0	2	0	2	4	0	11	4	13	2	11	4					
		2.18%	3.09%	5.32%	6.85%	3.12%	0.00%	1.38%	7.52%	4.72%	1.91%	2.44%	10.39%	0.90%	3.10%	2.22%	0.00%	0.00%	1.82%	1.45%	1.79%	0.00%	0.29%	2.00%	0.86%	0.60%	0.74%	0.38%	1.80%	1.93%	0.00%	1.21%	1.15%	0.00%	0.83%	0.00%	0.79%	1.30%	0.00%	2.46%	0.83%	4.00%	1.82%	4.78%	0.54%					
																																																		
24	Против всех	52	2	11	8	5	1	0	4	5	1	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	3	3					
		0.33%	0.34%	2.09%	1.66%	0.92%	0.15%	0.00%	0.59%	0.81%	0.14%	0.27%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	1.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	1.30%	0.41%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
